"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"HCP_WM","lContA_IPS_1","allcov",0.00603589573089431,0.0109533466394791,0.99450824700478,0.0056,4.97775627701644e-05,0.0104972099667727
"HCP_WM","lContA_PFCl_1","allcov",1.43960857166229e-05,0.0241159060367988,0.987868459848375,0,-2.12120577899141e-05,4.64389861826546e-05
"HCP_WM","lContA_PFCl_2","allcov",1.78685845676349e-05,0.0236622450016191,0.988098049283765,0,2.54437577549353e-05,5.49802602081075e-05
"HCP_WM","lContB_PFClv_1","allcov",8.20143852590603e-09,0.0393628295921477,0.980120997840497,0,2.46922074480157e-05,2.01481579899912e-07
"HCP_WM","lContC_Cingp_1","allcov",1.25514173318474e-07,0.0338787020011146,0.98291469517903,0,-1.22869064916196e-05,8.96529809417669e-07
"HCP_WM","lContC_pCun_1","allcov",0.000168063036474359,0.0188965051312583,0.990506685928339,2e-04,1.60705255094917e-06,0.000436527367465868
"HCP_WM","lContC_pCun_2","allcov",0.000737530426296718,0.0156774671038354,0.992130300361885,8e-04,-9.49864202262985e-05,0.00167620551431072
"HCP_WM","lDefaultA_pCunPCC_1","allcov",3.35175877753062e-06,0.0271533288931322,0.986329899732776,0,-3.30048022433189e-05,1.26481463303042e-05
"HCP_WM","lDefaultA_PFCd_1","allcov",0.00242178831028578,0.0130317125842753,0.993462776059438,0.0022,-3.77330041740186e-05,0.00484357662057157
"HCP_WM","lDefaultA_PFCm_1","allcov",8.79927575068195e-07,0.0299098115636889,0.984931565356858,0,2.40114856243789e-05,4.63119776351681e-06
"HCP_WM","lDefaultB_IPL_1","allcov",1.31993122606789e-05,0.0242978635027552,0.987776359555767,0,-5.25506017073403e-05,4.32764336415702e-05
"HCP_WM","lDefaultB_PFCd_1","allcov",0.00173435762604003,0.0137808191869302,0.993085686541232,0.0014,3.34223676533093e-05,0.00361324505425006
"HCP_WM","lDefaultB_PFCl_1","allcov",4.93640323971926e-06,0.0263501114318812,0.98673699057455,0,-7.33314369270084e-05,1.7001443143818e-05
"HCP_WM","lDefaultB_PFCv_1","allcov",2.11490210957731e-06,0.0281054989360405,0.985847098217548,0,1.62398572707549e-05,8.81209212323878e-06
"HCP_WM","lDefaultB_PFCv_2","allcov",1.99166071536511e-08,0.0375880942358862,0.981025945510165,0,-1.99728700449971e-05,2.93710099821086e-07
"HCP_WM","lDefaultB_Temp_1","allcov",3.89205316593629e-10,0.0454020503810206,0.977035285759414,0,3.85084137776428e-06,3.89205316593629e-08
"HCP_WM","lDefaultB_Temp_2","allcov",1.9104376114759e-06,0.0283152948231687,0.985740688607725,0,-2.09880901105059e-05,8.49083382878179e-06
"HCP_WM","lDefaultC_PHC_1","allcov",7.30919290081807e-07,0.0302901258150727,0.984738480097598,0,6.45946362226405e-05,4.0606627226767e-06
"HCP_WM","lDefaultC_Rsp_1","allcov",1.18336134277182e-05,0.0245266387109824,0.987660549626752,0,-5.6790596093656e-05,3.94453780923938e-05
"HCP_WM","lDorsAttnA_ParOcc_1","allcov",6.90812055753927e-05,0.0208011139517085,0.989544787287716,0,-1.08560938765507e-05,0.000194594945282796
"HCP_WM","lDorsAttnA_SPL_1","allcov",1.7444062482739e-05,0.0237127707363539,0.988072481786456,0,2.20633028852291e-05,5.45126952585593e-05
"HCP_WM","lDorsAttnA_TempOcc_1","allcov",2.15060155829007e-08,0.0374341310418143,0.981104412872649,0,1.28461963342908e-05,2.93710099821086e-07
"HCP_WM","lDorsAttnB_FEF_1","allcov",0.00452472348172088,0.011614245917834,0.994175917070096,0.005,1.35649693436219e-05,0.00830224492058877
"HCP_WM","lDorsAttnB_PostC_1","allcov",0.00862564425331246,0.0101272021996547,0.994923513542798,0.0076,4.19893481953963e-05,0.0143760737555208
"HCP_WM","lDorsAttnB_PostC_2","allcov",0.250811090000226,0.00157765174359548,0.99921086275941,0.6028,2.67475003874689e-05,0.268247155080456
"HCP_WM","lDorsAttnB_PostC_3","allcov",0.00187734760103116,0.0136035339813931,0.99317494230302,0.001,4.90937695176936e-05,0.00383132163475747
"HCP_WM","lLimbicA_TempPole_1","allcov",1.60709035672302e-08,0.0380179855231174,0.980806818123163,0,2.15794877444546e-05,2.92198246676912e-07
"HCP_WM","lLimbicA_TempPole_2","allcov",3.63260825334699e-06,0.0269865925684636,0.986414419719996,0,-4.35447913134611e-05,1.34541046420259e-05
"HCP_WM","lLimbicB_OFC_1","allcov",5.43440784825161e-08,0.0355701897292602,0.982053873405497,0,-9.22301540051216e-06,5.27403283493875e-07
"HCP_WM","lSalVentAttnA_FrMed_1","allcov",0.00255481329364678,0.0129112413542111,0.993523406189199,0.0028,-2.7523298415508e-05,0.00505903622504313
"HCP_WM","lSalVentAttnA_Ins_1","allcov",3.93774932072971e-06,0.0268193500998517,0.986499189001262,0,-5.99422273772761e-06,1.41715963039004e-05
"HCP_WM","lSalVentAttnA_Ins_2","allcov",1.90215344864845e-06,0.0283242580565091,0.985736142151383,0,-4.79122014519287e-06,8.49083382878179e-06
"HCP_WM","lSalVentAttnA_ParMed_1","allcov",0.0177127787949366,0.00843336591637156,0.995774389148279,0.0164,-5.0162183394733e-05,0.0262411537702764
"HCP_WM","lSalVentAttnA_ParOper_1","allcov",0.000192808812783046,0.0186003625772266,0.990656165085936,2e-04,-5.01891702787779e-05,0.000494381571238581
"HCP_WM","lSalVentAttnB_PFCl_1","allcov",8.05025451087385e-07,0.0300922348272386,0.984838953927373,0,2.67022469255448e-05,4.35148892479667e-06
"HCP_WM","lSalVentAttnB_PFCmp_1","allcov",7.35411511094762e-08,0.0349598527771238,0.982364569405308,0,-4.10316023370816e-06,6.12842925912302e-07
"HCP_WM","lSomMotA_1","allcov",1.01183269949104e-10,0.0480454998541602,0.975681556731416,0,-1.10711339586045e-05,2.02366539898208e-08
"HCP_WM","lSomMotA_2","allcov",0.00187687716529549,0.0136040952620931,0.993174659734081,0.0024,2.85260931209696e-05,0.00383132163475747
"HCP_WM","lSomMotB_Aud_1","allcov",9.25391812434609e-07,0.029806462825023,0.984984028893351,0,3.99019821599109e-05,4.7455990381262e-06
"HCP_WM","lSomMotB_Cent_1","allcov",6.59093466486005e-07,0.0305019433782934,0.984630924063279,0,2.9284185696827e-05,3.87702039109415e-06
"HCP_WM","lSomMotB_S2_1","allcov",3.96804696509211e-06,0.0268034519972513,0.986507246807011,0,1.43226994356748e-05,1.41715963039004e-05
"HCP_WM","lSomMotB_S2_2","allcov",2.01255038577664e-07,0.0329209292813166,0.983401784988559,0,-4.71709315807057e-05,1.34170025718442e-06
"HCP_WM","lTempPar_1","allcov",0.000209118947776088,0.0184250381565269,0.990744650171513,0,3.8677971411849e-05,0.00052279736944022
"HCP_WM","lVisCent_ExStr_1","allcov",5.96135290172653e-08,0.0353835801006638,0.982148878683541,0,-1.65009969904054e-05,5.4194117288423e-07
"HCP_WM","lVisCent_ExStr_2","allcov",0.000458508016852726,0.0167197698035357,0.991604876045123,6e-04,4.11256458227207e-05,0.00109168575441125
"HCP_WM","lVisCent_ExStr_3","allcov",5.38680867622703e-05,0.0213304731625602,0.98927727500304,0,3.01240046906742e-05,0.000154212426409573
"HCP_WM","lVisCent_Striate_1","allcov",0.000657752767026502,0.0159292258438548,0.992003414387342,0.001,2.08113413161347e-05,0.00151207532649771
"HCP_WM","lVisPeri_ExStrInf_1","allcov",2.77280520543172e-06,0.027545844434694,0.986130901840778,0,6.27527663574469e-05,1.08737459036538e-05
"HCP_WM","lVisPeri_ExStrSup_1","allcov",1.11430333302761e-06,0.0294250491514197,0.985177624009285,0,1.16001498798195e-05,5.43562601476884e-06
"HCP_WM","lVisPeri_StriCal_1","allcov",1.67225195361634e-05,0.0238015090838425,0.988027575989738,0,2.20426672094632e-05,5.30873636068679e-05
"HCP_WM","rContA_IPS_1","allcov",0.861437067262991,-0.00300990275062052,1.00150382063706,0.2916,1.70961473991642e-05,0.870138451780799
"HCP_WM","rContA_PFCl_1","allcov",7.10121405953242e-07,0.0303492542630147,0.984708457228324,0,-9.67621865446475e-06,4.0578366054471e-06
"HCP_WM","rContA_PFCl_2","allcov",5.39743492433506e-05,0.0213262849706045,0.98927939179455,2e-04,-1.84045776189676e-05,0.000154212426409573
"HCP_WM","rContB_IPL_1","allcov",0.0003663712392626,0.0172090123164375,0.99135815308271,0,-4.78707257102039e-05,0.000882822263283373
"HCP_WM","rContB_PFCld_1","allcov",0.00346409555640878,0.0122225260799235,0.993869948192457,0.0032,-6.12025332551969e-05,0.00679234422825252
"HCP_WM","rContB_PFClv_1","allcov",4.54167795952813e-08,0.035931761278522,0.981869766680632,0,-4.46057980169881e-05,4.78071364160856e-07
"HCP_WM","rContB_Temp_1","allcov",1.09176210794827e-08,0.0387914930480899,0.98041241676751,0,-3.65883712520997e-05,2.18352421589653e-07
"HCP_WM","rContC_Cingp_1","allcov",4.00188904312739e-07,0.0315215795191395,0.984113012047326,0,6.32146776439372e-05,2.50118065195462e-06
"HCP_WM","rContC_pCun_1","allcov",0.000158251295920898,0.0190260308959883,0.99044130018089,2e-04,3.60139590582233e-05,0.000416450778739206
"HCP_WM","rDefaultA_IPL_1","allcov",6.43249508937677e-07,0.0305517497005034,0.984605631864604,0,3.70069887612102e-05,3.87702039109415e-06
"HCP_WM","rDefaultA_pCunPCC_1","allcov",5.00511943048889e-06,0.0263213838921262,0.986751547304525,0,-4.01805821121358e-05,1.7001443143818e-05
"HCP_WM","rDefaultA_PFCd_1","allcov",0.000327579078374259,0.0174524868974065,0.991235346980016,4e-04,-1.28226859085396e-05,0.000798973361888438
"HCP_WM","rDefaultA_PFCm_1","allcov",2.26319428097723e-07,0.0326824041589644,0.983523053029788,0,2.11192682410451e-05,1.46012534256595e-06
"HCP_WM","rDefaultB_PFCd_1","allcov",0.000154655855493132,0.0190754892932042,0.990416332007301,0,-2.88709404869227e-05,0.000412415614648351
"HCP_WM","rDefaultB_PFCv_1","allcov",6.54921754757631e-09,0.0398115532504325,0.979892058723596,0,2.37499615233575e-05,1.87120501359323e-07
