"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"BSNIP_RS_adj","lContA_IPS_1","allcov",0.0423943490292017,0.0388968944320659,0.980358661698837,0.0424,-3.40898858647122e-05,0.142147842601679
"BSNIP_RS_adj","lContA_PFCl_1","allcov",0.392830049033251,0.00135305116465678,0.99932324541929,0.9428,0.00019361947500365,0.484975369176853
"BSNIP_RS_adj","lContA_PFCl_2","allcov",0.117302876138475,0.0230178716539815,0.988424063014463,0.1788,0.000122537705721612,0.232282923046486
"BSNIP_RS_adj","lContB_PFClv_1","allcov",0.165489608608194,0.0172757692088776,0.99132448309881,0.3396,8.91524553581306e-05,0.282888219843067
"BSNIP_RS_adj","lContC_Cingp_1","allcov",0.778112761838813,-0.0151951703828483,1.00756894075932,0.4048,-8.0856817592928e-05,0.81053412691543
"BSNIP_RS_adj","lContC_pCun_1","allcov",0.247426056608233,0.0102043283537921,0.994884752946897,0.5754,0.000236502521446864,0.353465795154618
"BSNIP_RS_adj","lContC_pCun_2","allcov",0.448705367082508,-0.00141178352020166,1.00070564279422,0.9426,-0.000165369852987189,0.527888667155891
"BSNIP_RS_adj","lDefaultA_pCunPCC_1","allcov",0.453818584165143,-0.00165349721045582,1.00082640713086,0.9394,-0.000368684858612907,0.528443313892113
"BSNIP_RS_adj","lDefaultA_PFCd_1","allcov",0.203063101509809,0.0137351185567856,0.993108695684019,0.4542,3.86870709370308e-05,0.315017791862516
"BSNIP_RS_adj","lDefaultA_PFCm_1","allcov",0.235552086613936,0.0110945787123112,0.994437238486014,0.5638,9.33842540201271e-05,0.338923865631563
"BSNIP_RS_adj","lDefaultB_IPL_1","allcov",0.204372262193021,0.0136221267166646,0.993165582007016,0.4774,0.000423208699632227,0.315017791862516
"BSNIP_RS_adj","lDefaultB_PFCd_1","allcov",0.031796898342914,0.0431662733155113,0.978178780532725,0.0346,-0.00011938644735571,0.124693718991819
"BSNIP_RS_adj","lDefaultB_PFCl_1","allcov",0.738370683247366,-0.0135835417111716,1.00676886210846,0.4596,0.000209422212513784,0.777232298155122
"BSNIP_RS_adj","lDefaultB_PFCv_1","allcov",0.00717438706904408,0.0642187895148761,0.967357850273167,0.0068,-0.000796875183638502,0.0918678903504331
"BSNIP_RS_adj","lDefaultB_PFCv_2","allcov",0.180915997912163,0.0157465776696416,0.99209547037085,0.3808,0.000455163379032886,0.301526663186938
"BSNIP_RS_adj","lDefaultB_Temp_1","allcov",0.0692289069172837,0.0314164545465822,0.984166421624624,0.0702,-3.05856197536023e-05,0.179815342642295
"BSNIP_RS_adj","lDefaultB_Temp_2","allcov",0.220771425543381,0.0122557285673665,0.993853244414201,0.5128,-0.000363737560971448,0.327987674908449
"BSNIP_RS_adj","lDefaultC_PHC_1","allcov",0.0716395345410937,0.030883550163499,0.984437123353493,0.0658,-0.000545717334001438,0.181365910230617
"BSNIP_RS_adj","lDefaultC_Rsp_1","allcov",0.305899703416036,0.00626283491169843,0.996863664243161,0.744,0.000188305918653118,0.410603628746356
"BSNIP_RS_adj","lDorsAttnA_ParOcc_1","allcov",0.763946567079059,-0.0146167537322557,1.00728186409379,0.4282,0.000482923196939182,0.799944049297444
"BSNIP_RS_adj","lDorsAttnA_SPL_1","allcov",0.0706522226108826,0.0310997941150568,0.984327285959778,0.0696,-0.000346488153510695,0.181159545156109
"BSNIP_RS_adj","lDorsAttnA_TempOcc_1","allcov",0.44294651596728,-0.0011374945091851,1.00056858560979,0.951,-8.17716748152091e-05,0.524197060316308
"BSNIP_RS_adj","lDorsAttnB_FEF_1","allcov",0.157399560187353,0.0181275163207684,0.990894789409669,0.3234,-0.000434634916926737,0.273738365543223
"BSNIP_RS_adj","lDorsAttnB_PostC_1","allcov",0.630905756403362,-0.00928049261059516,1.00462953003114,0.6262,-4.65592805244453e-05,0.676324070987429
"BSNIP_RS_adj","lDorsAttnB_PostC_2","allcov",0.227799580482238,0.0116958598909859,0.994134870180608,0.5358,0.000198554308946513,0.332554132090858
"BSNIP_RS_adj","lDorsAttnB_PostC_3","allcov",0.373758877546096,0.0023572160345261,0.998820696604488,0.9018,-0.000320948089999474,0.46719859693262
"BSNIP_RS_adj","lLimbicA_TempPole_1","allcov",0.369923565754723,0.00256347781796151,0.998717438609159,0.9014,-0.000169525095702175,0.46719859693262
"BSNIP_RS_adj","lLimbicA_TempPole_2","allcov",0.632363006373246,-0.00933936846984618,1.00465883187769,0.6214,-0.000122160896264307,0.676324070987429
"BSNIP_RS_adj","lLimbicB_OFC_1","allcov",0.161858224283577,0.0176535301276827,0.991133931349501,0.3318,0.000421328357171074,0.279065903937202
"BSNIP_RS_adj","lSalVentAttnA_FrMed_1","allcov",0.0675162441335206,0.0318054969624044,0.983968751047306,0.0754,0.000239874180962221,0.179815342642295
"BSNIP_RS_adj","lSalVentAttnA_Ins_1","allcov",0.301693587152051,0.00652559420190379,0.996731862537812,0.738,0.000341038294204914,0.410603628746356
"BSNIP_RS_adj","lSalVentAttnA_Ins_2","allcov",0.10755863332668,0.0244291074221331,0.987709923296241,0.1492,-0.000428163933673757,0.221770377993155
"BSNIP_RS_adj","lSalVentAttnA_ParMed_1","allcov",0.086448078746288,0.0279297745257321,0.985936217751568,0.0846,-0.000114745816652731,0.201042043596019
"BSNIP_RS_adj","lSalVentAttnA_ParOper_1","allcov",0.429076030668233,-0.000467485391590472,1.00023371538435,0.9808,-7.65899129781085e-05,0.513863509782314
"BSNIP_RS_adj","lSalVentAttnB_PFCl_1","allcov",0.175683324030721,0.0162522912418777,0.991840566199085,0.3628,-0.000328653588673559,0.295365797718348
"BSNIP_RS_adj","lSalVentAttnB_PFCmp_1","allcov",0.0312122445437039,0.0434390596291395,0.97803933477691,0.0302,0.000328616231744377,0.124693718991819
"BSNIP_RS_adj","lSomMotA_1","allcov",0.556242876008128,-0.00620302215108737,1.00309671624978,0.7512,0.000186463290206178,0.607915711484293
"BSNIP_RS_adj","lSomMotA_2","allcov",0.111644557375319,0.0238239890351883,0.988016199748168,0.1582,-0.000129823197894144,0.225544560354179
"BSNIP_RS_adj","lSomMotB_Aud_1","allcov",0.105360960037377,0.0247631430950833,0.987540812779359,0.1348,0.000136861399876045,0.221770377993155
"BSNIP_RS_adj","lSomMotB_Cent_1","allcov",0.388440120105928,0.00158114251147767,0.999209115995507,0.9332,0.000263278685083879,0.482534310690594
"BSNIP_RS_adj","lSomMotB_S2_1","allcov",0.253548130408423,0.00975882774259285,0.995108623345918,0.607,-5.24339077557987e-05,0.359642738167976
"BSNIP_RS_adj","lSomMotB_S2_2","allcov",0.14898291584491,0.0190549822867275,0.990426684673466,0.2742,-8.16248894930134e-05,0.270878028808926
"BSNIP_RS_adj","lTempPar_1","allcov",0.487385638882704,-0.00320113149209522,1.00159928688677,0.8772,-8.6845741935839e-05,0.54153959875856
"BSNIP_RS_adj","lVisCent_ExStr_1","allcov",0.118611668804043,0.0228363582074415,0.98851587837149,0.18,7.71686613152574e-05,0.232571899615771
"BSNIP_RS_adj","lVisCent_ExStr_2","allcov",0.796764062515332,-0.01596604041292,1.00795140776375,0.3754,0.000240791992398336,0.817193910272136
"BSNIP_RS_adj","lVisCent_ExStr_3","allcov",0.0877144043968352,0.0276990728469254,0.98605320705988,0.1022,0.000496587864208375,0.201642308958242
"BSNIP_RS_adj","lVisCent_Striate_1","allcov",0.837244605874388,-0.0176923668129534,1.0088073982743,0.3316,0.000319771233054764,0.854331230484069
"BSNIP_RS_adj","lVisPeri_ExStrInf_1","allcov",0.543741561205196,-0.00567225844754793,1.00283211877539,0.7736,-0.000284853293367534,0.597518199126589
"BSNIP_RS_adj","lVisPeri_ExStrSup_1","allcov",0.58404720960412,-0.00736548876877707,1.00367598794072,0.702,0.00033462024655783,0.634833923482739
"BSNIP_RS_adj","lVisPeri_StriCal_1","allcov",0.854737054662577,-0.0184706939854213,1.00919309053591,0.2914,-0.000223040023804965,0.866537952833769
"BSNIP_RS_adj","rContA_IPS_1","allcov",0.123303959330781,0.0221999056584127,0.988837749249889,0.1968,0.000430567802472554,0.23942516374909
"BSNIP_RS_adj","rContA_PFCl_1","allcov",0.198047081946141,0.0141737990195921,0.992887808858789,0.4364,0.000256887312513838,0.315017791862516
"BSNIP_RS_adj","rContA_PFCl_2","allcov",0.0834247605630863,0.0284932180209717,0.985650435995961,0.087,-0.0001922977649672,0.196293554266085
"BSNIP_RS_adj","rContB_IPL_1","allcov",0.309641925620346,0.00603137802374765,0.996979750033195,0.7618,0.000388055153287962,0.412855900827127
"BSNIP_RS_adj","rContB_PFCld_1","allcov",0.00256358715427704,0.0779981318772713,0.960209283501638,0.0034,-0.000401348977349271,0.0760993115148698
"BSNIP_RS_adj","rContB_PFClv_1","allcov",0.304217373414474,0.00636759569931367,0.99681111766507,0.751,-9.37144962423319e-05,0.410603628746356
"BSNIP_RS_adj","rContB_Temp_1","allcov",0.210288313657977,0.0131189709501003,0.993418858815303,0.4828,0.000551194995047367,0.32105086054653
"BSNIP_RS_adj","rContC_Cingp_1","allcov",0.3285452544607,0.00489368793602274,0.997550155162124,0.803,-4.70914752264701e-06,0.429470920863661
"BSNIP_RS_adj","rContC_pCun_1","allcov",0.152968623309538,0.0186102453022037,0.990651177104129,0.278,-0.000357784673057772,0.27315825590989
"BSNIP_RS_adj","rDefaultA_IPL_1","allcov",0.139645556697383,0.0201390371297547,0.989879266815022,0.2538,0.000494606849144961,0.260053056411281
"BSNIP_RS_adj","rDefaultA_pCunPCC_1","allcov",0.78833377128095,-0.0156161238937054,1.00777781474574,0.3982,-0.000108079712010907,0.812715228124691
"BSNIP_RS_adj","rDefaultA_PFCd_1","allcov",0.304672160485338,0.00633923170823514,0.996825344928471,0.7444,-0.000406100980777294,0.410603628746356
"BSNIP_RS_adj","rDefaultA_PFCm_1","allcov",0.538313969864138,-0.00544007309411754,1.0027163472758,0.7752,0.000101959809407982,0.594822066148219
"BSNIP_RS_adj","rDefaultB_PFCd_1","allcov",0.424093694008046,-0.000223426964493845,1.00011170724299,0.9906,-1.99823008169288e-05,0.513863509782314
"BSNIP_RS_adj","rDefaultB_PFCv_1","allcov",0.040429363935256,0.0396068395639295,0.979996510420354,0.0378,-0.000269224142824772,0.139411599776745
"BSNIP_RS_adj","rDefaultB_PFCv_2","allcov",0.192639455316135,0.0146573599492048,0.992644266618608,0.4274,0.000321759267967599,0.311171666178368
"BSNIP_RS_adj","rDefaultC_PHC_1","allcov",0.419413236018816,7.55023851783942e-06,0.999996224873615,1,-1.02869593780956e-05,0.511479556120507
"BSNIP_RS_adj","rDefaultC_Rsp_1","allcov",0.286953783230933,0.00746938707869882,0.996258306324871,0.6928,7.09974336942889e-05,0.395798321697838
"BSNIP_RS_adj","rDorsAttnA_ParOcc_1","allcov",0.469736670211231,-0.00239554408949294,1.00119705557372,0.9022,-0.000136036876251227,0.532442331918532
"BSNIP_RS_adj","rDorsAttnA_SPL_1","allcov",0.103256342700356,0.0250889446297105,0.987375843015358,0.1342,0.000161713463486921,0.221770377993155
