"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"UCLA_SCAP_adj","lContA_IPS_1","allcov",0.597931601132239,-0.0115057913053542,1.00573644226773,0.6844,0.000157620604383126,0.829765043905584
"UCLA_SCAP_adj","lContA_PFCl_1","allcov",0.0536286548488133,0.0513799924377261,0.97397125602467,0.0538,-5.3700950581836e-05,0.592413685013076
"UCLA_SCAP_adj","lContA_PFCl_2","allcov",0.313952919662296,0.00854374054850049,0.995718966100124,0.7662,0.00124241766228578,0.713529362868855
"UCLA_SCAP_adj","lContB_PFClv_1","allcov",0.0780929417756401,0.0430101922187144,0.978258558756981,0.0792,0.00024211063662478,0.592413685013076
"UCLA_SCAP_adj","lContC_Cingp_1","allcov",0.574369361916435,-0.0100760725349505,1.00502540890017,0.7184,0.000541076097256994,0.829765043905584
"UCLA_SCAP_adj","lContC_pCun_1","allcov",0.328697088821362,0.00725635711613737,0.996365215613162,0.795,0.000430246152258175,0.714558888742092
"UCLA_SCAP_adj","lContC_pCun_2","allcov",0.260084983073733,0.0136803552174343,0.993136266975769,0.6238,-1.41359524681243e-05,0.642185143391933
"UCLA_SCAP_adj","lDefaultA_pCunPCC_1","allcov",0.20325261695733,0.0201176661347038,0.989890061504456,0.4514,0.000269154228887096,0.635164427991657
"UCLA_SCAP_adj","lDefaultA_PFCd_1","allcov",0.0283321018897357,0.0650278142390499,0.966939597783104,0.0306,0.000616258080143893,0.592413685013076
"UCLA_SCAP_adj","lDefaultA_PFCm_1","allcov",0.172022551413746,0.0243211044269357,0.987764595221485,0.3648,-0.000258573978070003,0.617143776416551
"UCLA_SCAP_adj","lDefaultB_IPL_1","allcov",0.182001905662827,0.0229124792281489,0.98847737494181,0.3992,-0.000144091670765528,0.617143776416551
"UCLA_SCAP_adj","lDefaultB_PFCd_1","allcov",0.0149459338027403,0.0781369915932369,0.960136973773411,0.013,0.000149423702423472,0.592413685013076
"UCLA_SCAP_adj","lDefaultB_PFCl_1","allcov",0.829659336222019,-0.025365201372066,1.01260318060535,0.3376,-0.000269045976013573,0.887336188472748
"UCLA_SCAP_adj","lDefaultB_PFCv_1","allcov",0.246467657812395,0.015110081601318,0.992416202204842,0.598,0.000612492015781499,0.642185143391933
"UCLA_SCAP_adj","lDefaultB_PFCv_2","allcov",0.401852847253017,0.00142263086464534,0.999288431402743,0.9598,-0.000147845028630699,0.785215842475459
"UCLA_SCAP_adj","lDefaultB_Temp_1","allcov",0.778662364909513,-0.0222066873105173,1.01104237661461,0.4104,6.62552641752023e-05,0.870013815541356
"UCLA_SCAP_adj","lDefaultB_Temp_2","allcov",0.419146174447416,0.000152426250604187,0.999923783970256,0.9956,2.29566441311132e-06,0.785215842475459
"UCLA_SCAP_adj","lDefaultC_PHC_1","allcov",0.248242820170634,0.014920171787557,0.992511878121589,0.602,-0.000375655763647227,0.642185143391933
"UCLA_SCAP_adj","lDefaultC_Rsp_1","allcov",0.61367494807527,-0.0124505098681,1.00620599773014,0.6626,-0.000103276890096347,0.832644712574924
"UCLA_SCAP_adj","lDorsAttnA_ParOcc_1","allcov",0.0730293155393332,0.0445240210271133,0.977484515976026,0.0738,0.00042473147877684,0.592413685013076
"UCLA_SCAP_adj","lDorsAttnA_SPL_1","allcov",0.420090475724371,8.40615843418213e-05,0.999957968324498,0.9976,-0.000166112366305079,0.785215842475459
"UCLA_SCAP_adj","lDorsAttnA_TempOcc_1","allcov",0.255414744673717,0.0141638154590055,0.992892836383159,0.6074,-7.67339857728155e-06,0.642185143391933
"UCLA_SCAP_adj","lDorsAttnB_FEF_1","allcov",0.673023939885205,-0.0159608135380309,1.00794881493954,0.5662,0.000486859239897001,0.857355337433382
"UCLA_SCAP_adj","lDorsAttnB_PostC_1","allcov",0.252429336368203,0.0144765680099256,0.992735328267346,0.6176,-0.000575022130866618,0.642185143391933
"UCLA_SCAP_adj","lDorsAttnB_PostC_2","allcov",0.0853428085505387,0.0409904198180644,0.979290345189789,0.0838,-0.000361248341546394,0.592413685013076
"UCLA_SCAP_adj","lDorsAttnB_PostC_3","allcov",0.253655226320703,0.0143477876723658,0.9928001875139,0.606,0.000249554944146605,0.642185143391933
"UCLA_SCAP_adj","lLimbicA_TempPole_1","allcov",0.589340644147687,-0.0109868792436547,1.00547843300772,0.6894,-0.000421478189514776,0.829765043905584
"UCLA_SCAP_adj","lLimbicA_TempPole_2","allcov",0.525181849512353,-0.00701199324588186,1.00349987207069,0.804,0.000282491533764781,0.829765043905584
"UCLA_SCAP_adj","lLimbicB_OFC_1","allcov",0.0174334670267136,0.0750269791176614,0.961755177205893,0.0184,-1.70383986014095e-05,0.592413685013076
"UCLA_SCAP_adj","lSalVentAttnA_FrMed_1","allcov",0.588780123230445,-0.010952932156018,1.00546155180396,0.698,0.000362180269147785,0.829765043905584
"UCLA_SCAP_adj","lSalVentAttnA_Ins_1","allcov",0.127877275151735,0.0315471761032751,0.984100007060627,0.2122,-0.000350712962829376,0.617143776416551
"UCLA_SCAP_adj","lSalVentAttnA_Ins_2","allcov",0.134019102038091,0.0304228685482513,0.984671077797936,0.2362,0.000591036089404057,0.617143776416551
"UCLA_SCAP_adj","lSalVentAttnA_ParMed_1","allcov",0.391630446725498,0.00219064311740269,0.998904077918695,0.9408,0.000209121771880728,0.783260893450995
"UCLA_SCAP_adj","lSalVentAttnA_ParOper_1","allcov",0.141276447439726,0.0291509467181421,0.985316727393714,0.2618,8.20491130508205e-05,0.617143776416551
"UCLA_SCAP_adj","lSalVentAttnB_PFCl_1","allcov",0.178318039551012,0.0234246615908684,0.988218264559572,0.3788,8.30483524181838e-05,0.617143776416551
"UCLA_SCAP_adj","lSalVentAttnB_PFCmp_1","allcov",0.52164789657989,-0.0067868530515296,1.00338768830972,0.8194,0.000814239437076388,0.829765043905584
"UCLA_SCAP_adj","lSomMotA_1","allcov",0.0665627203330211,0.0466022475180924,0.976420889003256,0.0682,-1.92301698440514e-05,0.592413685013076
"UCLA_SCAP_adj","lSomMotA_2","allcov",0.0451789307707383,0.0551111483731814,0.972053934525661,0.0412,-7.66531814734279e-05,0.592413685013076
"UCLA_SCAP_adj","lSomMotB_Aud_1","allcov",0.042941238635209,0.0562070587745286,0.971490062340049,0.0458,0.000201352839143979,0.592413685013076
"UCLA_SCAP_adj","lSomMotB_Cent_1","allcov",0.21981826960062,0.0181033926374972,0.99090696201132,0.5136,0.000805786987257732,0.642185143391933
"UCLA_SCAP_adj","lSomMotB_S2_1","allcov",0.151865565329371,0.0273933626644919,0.986208211959071,0.2912,-3.64858948288156e-05,0.617143776416551
"UCLA_SCAP_adj","lSomMotB_S2_2","allcov",0.0857964690200937,0.0408692406611111,0.979352214138963,0.0942,4.58421874131102e-05,0.592413685013076
"UCLA_SCAP_adj","lTempPar_1","allcov",0.171134614594557,0.0244497785486647,0.987699459072108,0.3712,0.000162251318592399,0.617143776416551
"UCLA_SCAP_adj","lVisCent_ExStr_1","allcov",0.5980159046447,-0.0115108709071106,1.00573896757912,0.6844,-0.000300428273853582,0.829765043905584
"UCLA_SCAP_adj","lVisCent_ExStr_2","allcov",0.16297646579321,0.0256594592568185,0.987086896247327,0.3254,-0.000233346614458565,0.617143776416551
"UCLA_SCAP_adj","lVisCent_ExStr_3","allcov",0.0302833689771821,0.0636321254141852,0.967661032896238,0.0304,-0.000179613397246145,0.592413685013076
"UCLA_SCAP_adj","lVisCent_Striate_1","allcov",0.249590116374513,0.0147767621770669,0.992584121282893,0.5954,0.000750997046816524,0.642185143391933
"UCLA_SCAP_adj","lVisPeri_ExStrInf_1","allcov",0.692701032519324,-0.0171154405735598,1.00852141304662,0.532,0.000900753449548312,0.869770194049348
"UCLA_SCAP_adj","lVisPeri_ExStrSup_1","allcov",0.307161027456875,0.00915207977602295,0.995413441854176,0.7386,0.000329320031365975,0.706117304498563
"UCLA_SCAP_adj","lVisPeri_StriCal_1","allcov",0.725598375528055,-0.0190478090809771,1.00947897901887,0.486,0.00010252816034061,0.869770194049348
"UCLA_SCAP_adj","rContA_IPS_1","allcov",0.1167751059608,0.0337056211912354,0.983002735911129,0.1756,-0.00022679692188708,0.617143776416551
"UCLA_SCAP_adj","rContA_PFCl_1","allcov",0.033253541042792,0.0616608386059314,0.96867908070427,0.0332,-0.000250009136529568,0.592413685013076
"UCLA_SCAP_adj","rContA_PFCl_2","allcov",0.26772088044901,0.0129045294691427,0.993526784002755,0.6472,5.62586434369391e-05,0.645110555298821
"UCLA_SCAP_adj","rContB_IPL_1","allcov",0.0237840552273049,0.0686657098650638,0.965056625351557,0.0232,-0.000351615988222648,0.592413685013076
"UCLA_SCAP_adj","rContB_PFCld_1","allcov",0.144356303094954,0.028628291211255,0.985581913789384,0.27,-0.000459652897023182,0.617143776416551
"UCLA_SCAP_adj","rContB_PFClv_1","allcov",0.133406528608487,0.0305329578074797,0.984615174671059,0.222,0.000359052690940199,0.617143776416551
"UCLA_SCAP_adj","rContB_Temp_1","allcov",0.784384041420939,-0.0225532022371184,1.01121372727882,0.3958,0.000316128709072189,0.871537823801043
"UCLA_SCAP_adj","rContC_Cingp_1","allcov",0.698172100195411,-0.0174363780267639,1.00868051335731,0.524,0.000234728942354869,0.869770194049348
"UCLA_SCAP_adj","rContC_pCun_1","allcov",0.323386300067185,0.00771501046675749,0.996135025753659,0.7814,0.000196616759600505,0.714558888742092
"UCLA_SCAP_adj","rDefaultA_IPL_1","allcov",0.328141482019284,0.0073040822478162,0.996341265707781,0.8034,8.67798998249553e-05,0.714558888742092
"UCLA_SCAP_adj","rDefaultA_pCunPCC_1","allcov",0.13289058514402,0.0306260242980448,0.984567913199468,0.2252,-0.000605520389853586,0.617143776416551
"UCLA_SCAP_adj","rDefaultA_PFCd_1","allcov",0.46019730872386,-0.00273443914645166,1.00136628620423,0.9228,-0.00022911312135199,0.821780908435464
"UCLA_SCAP_adj","rDefaultA_PFCm_1","allcov",0.0873133897774669,0.040468194080535,0.979556943683962,0.0964,0.000116010975698706,0.592413685013076
"UCLA_SCAP_adj","rDefaultB_PFCd_1","allcov",0.125347623540247,0.0320240534660616,0.983857686118241,0.1972,-0.000600312563248992,0.617143776416551
"UCLA_SCAP_adj","rDefaultB_PFCv_1","allcov",0.0644100518762655,0.047334975330943,0.976045605834613,0.059,-0.000450166707308208,0.592413685013076
