"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"DNS_FI_adj","lContA_IPS_1","allcov",0.873160072007679,-0.00248366316811754,1.00124106146728,0.2772,4.04890110522903e-05,0.928671069503648
"DNS_FI_adj","lContA_PFCl_1","allcov",0.148199372689585,0.0024613383357972,0.998768572625412,0.2784,2.20731226560802e-05,0.322172549325186
"DNS_FI_adj","lContA_PFCl_2","allcov",0.0422071774922294,0.00507558528959995,0.99745897896124,0.0396,-6.04080179203653e-05,0.136152185458804
"DNS_FI_adj","lContB_PFClv_1","allcov",0.00243042856167166,0.0104612408634572,0.99475562784864,0.0028,9.62847492577556e-05,0.0392697018475112
"DNS_FI_adj","lContC_Cingp_1","allcov",0.0242012376679962,0.00616893502213955,0.99691076078948,0.026,1.55783164102596e-05,0.0953710914433752
"DNS_FI_adj","lContC_pCun_1","allcov",0.0543361711566955,0.00456843838150156,0.997713166004387,0.0576,6.13987302799657e-06,0.165120457483879
"DNS_FI_adj","lContC_pCun_2","allcov",0.508277641400532,-0.00055096381114339,1.00027544397088,0.8278,-2.36306692921646e-05,0.666043680277001
"DNS_FI_adj","lDefaultA_pCunPCC_1","allcov",0.0243196283180607,0.00615946431122927,0.996915510807596,0.023,-1.01775870467092e-05,0.0953710914433752
"DNS_FI_adj","lDefaultA_PFCd_1","allcov",0.00835153773326208,0.00819248978044629,0.995895330955796,0.0082,-2.66369120625505e-05,0.0668123018660966
"DNS_FI_adj","lDefaultA_PFCm_1","allcov",0.0129635491930181,0.00736539600880426,0.996310495774884,0.0126,-8.5260925007635e-06,0.0704362694093248
"DNS_FI_adj","lDefaultB_IPL_1","allcov",0.413929293947004,1.55638602431507e-05,0.999992218039599,0.995,-1.26568431692829e-05,0.595581717909358
"DNS_FI_adj","lDefaultB_PFCd_1","allcov",4.3059694826887e-05,0.0175313766814654,0.991195552511478,0,-4.00930261764372e-05,0.00685035406491493
"DNS_FI_adj","lDefaultB_PFCl_1","allcov",0.203896239158421,0.00174656192935974,0.999126337392144,0.4702,-3.17727892264972e-05,0.404144643646603
"DNS_FI_adj","lDefaultB_PFCv_1","allcov",0.00496631514709375,0.00915642176376685,0.995411260854645,0.0064,3.07798256609588e-05,0.0584272370246323
"DNS_FI_adj","lDefaultB_PFCv_2","allcov",0.00271028627293722,0.0102636099895073,0.994854959283258,0.0042,-2.53911766790124e-05,0.0392697018475112
"DNS_FI_adj","lDefaultB_Temp_1","allcov",0.000130120666064224,0.0156309664450809,0.992153734838971,0,-3.82736386778283e-05,0.00685035406491493
"DNS_FI_adj","lDefaultB_Temp_2","allcov",0.240379415438914,0.0013652171584374,0.999317158284377,0.5786,-1.98940214059848e-05,0.441487181158855
"DNS_FI_adj","lDefaultC_PHC_1","allcov",0.0124047852009598,0.0074488080223406,0.996268634444375,0.0126,-2.63344113789961e-05,0.0704362694093248
"DNS_FI_adj","lDefaultC_Rsp_1","allcov",0.0125607727965603,0.00742516279858041,0.996280501265291,0.0132,7.3109368802e-05,0.0704362694093248
"DNS_FI_adj","lDorsAttnA_ParOcc_1","allcov",0.11298115395158,0.00304909449608692,0.998474288854707,0.1594,-1.4852792151182e-05,0.270503803805609
"DNS_FI_adj","lDorsAttnA_SPL_1","allcov",0.17543297913179,0.00208700941741502,0.998955950271375,0.3804,-1.95054768636445e-05,0.36548537319123
"DNS_FI_adj","lDorsAttnA_TempOcc_1","allcov",0.0113410212978066,0.00761816210319755,0.99618363663373,0.0126,4.20542121186851e-05,0.0704362694093248
"DNS_FI_adj","lDorsAttnB_FEF_1","allcov",0.00117293212129149,0.0117712354866045,0.994096959312016,0.0014,-4.30929493834871e-06,0.0335123463226139
"DNS_FI_adj","lDorsAttnB_PostC_1","allcov",0.131174566198982,0.00272768596761785,0.998635225711762,0.2242,4.19811702729464e-05,0.294774306065128
"DNS_FI_adj","lDorsAttnB_PostC_2","allcov",0.231783849799667,0.00145042928716987,0.999274522197394,0.5546,-4.06760059286626e-06,0.435572819287736
"DNS_FI_adj","lDorsAttnB_PostC_3","allcov",0.0813857229254998,0.00374028917564706,0.998128103413762,0.0754,-5.19770757737199e-05,0.211391488118181
"DNS_FI_adj","lLimbicA_TempPole_1","allcov",0.000161053077908173,0.0152616941212539,0.992339813712393,4e-04,-5.03661914443055e-05,0.00685035406491493
"DNS_FI_adj","lLimbicA_TempPole_2","allcov",0.0120301468584718,0.00750679204101923,0.99623953342506,0.0128,-3.78855146107878e-05,0.0704362694093248
"DNS_FI_adj","lLimbicB_OFC_1","allcov",0.0626101716116532,0.00428046699964968,0.997857471285529,0.0666,1.56558619089642e-05,0.176366680596206
"DNS_FI_adj","lSalVentAttnA_FrMed_1","allcov",0.116114725887461,0.00299054870799587,0.998503606048573,0.1622,-9.52266268092437e-07,0.271381375253574
"DNS_FI_adj","lSalVentAttnA_Ins_1","allcov",0.00620249374833403,0.00874588828778256,0.995617452494791,0.007,4.56567228021093e-05,0.0596651047804447
"DNS_FI_adj","lSalVentAttnA_Ins_2","allcov",0.00215454951564445,0.0106791927684734,0.994646071339714,0.0022,3.45951358979505e-05,0.0392697018475112
"DNS_FI_adj","lSalVentAttnA_ParMed_1","allcov",0.225869574605612,0.00151061089424209,0.999244409094071,0.5386,6.2476660944918e-05,0.434364566549254
"DNS_FI_adj","lSalVentAttnA_ParOper_1","allcov",0.205580750117002,0.00172772646942465,0.999135763312762,0.4784,7.75802397831251e-06,0.404144643646603
"DNS_FI_adj","lSalVentAttnB_PFCl_1","allcov",0.00690856147296207,0.0085458788682431,0.995717892342885,0.0072,1.69324851409511e-05,0.0628051042996552
"DNS_FI_adj","lSalVentAttnB_PFCmp_1","allcov",0.0212234163105107,0.00642301640841048,0.996783318275135,0.0244,-1.09928781689519e-05,0.0904099944804349
"DNS_FI_adj","lSomMotA_1","allcov",0.477740362380673,-0.000375262863241632,1.00018761383215,0.8826,1.02932591300743e-05,0.641262231383454
"DNS_FI_adj","lSomMotA_2","allcov",0.00222376474433909,0.0106220472478354,0.99467479748517,0.0024,-1.71415643958577e-05,0.0392697018475112
"DNS_FI_adj","lSomMotB_Aud_1","allcov",0.0160292155682921,0.00696172346065793,0.996513058890521,0.013,1.68850128768832e-05,0.0745544910153121
"DNS_FI_adj","lSomMotB_Cent_1","allcov",0.275458009886827,0.00104164140569452,0.999479043599367,0.6802,-1.23982514258306e-05,0.47492760325315
"DNS_FI_adj","lSomMotB_S2_1","allcov",0.275154289424735,0.00104429462939271,0.999477716295169,0.6744,-3.09640088196154e-05,0.47492760325315
"DNS_FI_adj","lSomMotB_S2_2","allcov",0.369872819763428,0.000309796962871478,0.999845089519936,0.902,-5.2314924417122e-05,0.572630395574757
"DNS_FI_adj","lTempPar_1","allcov",0.116693991359037,0.00297988310965946,0.998508946825386,0.1762,4.45884742381312e-05,0.271381375253574
"DNS_FI_adj","lVisCent_ExStr_1","allcov",0.00329929357670812,0.00990580768812199,0.995034769398476,0.0042,1.54702135641118e-05,0.0412411697088515
"DNS_FI_adj","lVisCent_ExStr_2","allcov",0.0616917710382415,0.00431061264811727,0.997842365983667,0.057,-8.09678156034135e-05,0.176366680596206
"DNS_FI_adj","lVisCent_ExStr_3","allcov",0.241854163727308,0.00135085350072295,0.999324344994796,0.5828,-1.18370910984113e-05,0.441487181158855
"DNS_FI_adj","lVisCent_Striate_1","allcov",0.00606911269993852,0.00878614689827883,0.995597234378301,0.0056,-1.51985985051277e-05,0.0596651047804447
"DNS_FI_adj","lVisPeri_ExStrInf_1","allcov",0.00134444013136127,0.0115272433762502,0.994219672217237,0.0014,5.65659284670337e-06,0.0336110032840317
"DNS_FI_adj","lVisPeri_ExStrSup_1","allcov",0.00599957200777731,0.00880747917691138,0.995586521013161,0.0082,1.56136171937777e-05,0.0596651047804447
"DNS_FI_adj","lVisPeri_StriCal_1","allcov",0.0672864917330016,0.00413309599245437,0.997931312269309,0.0688,-6.61630226072896e-05,0.184429765692884
"DNS_FI_adj","rContA_IPS_1","allcov",0.941977058059078,-0.00294783177168312,1.00147283126987,0.1774,2.03436862614422e-05,0.978359841296609
"DNS_FI_adj","rContA_PFCl_1","allcov",0.0168923308987723,0.00686150777276917,0.996563340800388,0.0186,1.08347712643648e-06,0.076783322267147
"DNS_FI_adj","rContA_PFCl_2","allcov",0.0320264721495624,0.00562186750117399,0.997185104430881,0.0318,-7.54382755391254e-06,0.114380257677008
