"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"DNS_NUMLS_adj","lContA_IPS_1","allcov",0.1122096636779,0.0133318676526143,0.993311699491849,0.1474,-0.000238302107655728,0.602695457535896
"DNS_NUMLS_adj","lContA_PFCl_1","allcov",0.439281128178127,-0.000583771972361147,1.0002918433999,0.9602,-6.67083586092537e-05,0.693907080994215
"DNS_NUMLS_adj","lContA_PFCl_2","allcov",0.137195275959124,0.0114596696556052,0.994253654931374,0.24,0.000135218942447539,0.604378238000353
"DNS_NUMLS_adj","lContB_PFClv_1","allcov",0.351800388244602,0.00195163831889755,0.999023704263869,0.8502,-4.24092718479571e-05,0.672447360455162
"DNS_NUMLS_adj","lContC_Cingp_1","allcov",0.0372442601387875,0.0230476819772858,0.988408983175848,0.0402,0.000150635396708834,0.504121146706378
"DNS_NUMLS_adj","lContC_pCun_1","allcov",0.849892511976467,-0.010234372431724,1.00510415999125,0.3032,3.67427277988264e-05,0.939107748040295
"DNS_NUMLS_adj","lContC_pCun_2","allcov",0.427216885049949,-0.000255925704994775,1.0001279546663,0.9868,0.000175080136598441,0.693907080994215
"DNS_NUMLS_adj","lDefaultA_pCunPCC_1","allcov",0.275876809160471,0.00456152200355608,0.99771663211377,0.6766,-0.000101191556306806,0.637301243266186
"DNS_NUMLS_adj","lDefaultA_PFCd_1","allcov",0.388087939004779,0.000851948053196883,0.999573935207798,0.932,-0.000360026525826439,0.683337774359529
"DNS_NUMLS_adj","lDefaultA_PFCm_1","allcov",0.0544004045374384,0.0197975331604563,0.990051749576528,0.053,-0.00016769499859981,0.504121146706378
"DNS_NUMLS_adj","lDefaultB_IPL_1","allcov",0.166392279143199,0.00962231338150177,0.995177213675282,0.3522,0.000149010339625922,0.627895392993204
"DNS_NUMLS_adj","lDefaultB_PFCd_1","allcov",0.0511390274370747,0.0203332811991209,0.989781146921318,0.0502,3.25176457100892e-05,0.504121146706378
"DNS_NUMLS_adj","lDefaultB_PFCl_1","allcov",0.531852763347925,-0.00293486016387434,1.00146635498347,0.7814,0.000203119697069995,0.787930019774703
"DNS_NUMLS_adj","lDefaultB_PFCv_1","allcov",0.0900404637484431,0.015339232283107,0.992300744591524,0.1038,0.000198169589295877,0.580906217731891
"DNS_NUMLS_adj","lDefaultB_PFCv_2","allcov",0.103324933307342,0.0140890273256379,0.992930497403702,0.1236,-0.000100186286510937,0.602695457535896
"DNS_NUMLS_adj","lDefaultB_Temp_1","allcov",0.0303096967007623,0.0247845288683114,0.987529984927895,0.0344,0.000262277404302198,0.504121146706378
"DNS_NUMLS_adj","lDefaultB_Temp_2","allcov",0.224743298504424,0.00666342157166766,0.996662720496925,0.5262,-2.77954155986447e-05,0.632109891160314
"DNS_NUMLS_adj","lDefaultC_PHC_1","allcov",0.0294179669687886,0.0250346413026348,0.987403341445311,0.0318,5.36919557792606e-05,0.504121146706378
"DNS_NUMLS_adj","lDefaultC_Rsp_1","allcov",0.188290364987372,0.00842092965993502,0.995780633643809,0.4132,-9.12136075819001e-05,0.632109891160314
"DNS_NUMLS_adj","lDorsAttnA_ParOcc_1","allcov",0.162914167231053,0.00982561361159129,0.995075065705301,0.3176,-0.000173910748063853,0.626592950888665
"DNS_NUMLS_adj","lDorsAttnA_SPL_1","allcov",0.327397776046018,0.00273886148094382,0.998629630302975,0.8046,-0.000173605259500293,0.671359123875258
"DNS_NUMLS_adj","lDorsAttnA_TempOcc_1","allcov",0.0478312786475686,0.0209102765704512,0.989489627752383,0.0498,-0.000180865388373991,0.504121146706378
"DNS_NUMLS_adj","lDorsAttnB_FEF_1","allcov",0.33302454442374,0.00255353723727936,0.998722415269989,0.813,-1.54178270108368e-05,0.672447360455162
"DNS_NUMLS_adj","lDorsAttnB_PostC_1","allcov",0.440630996431326,-0.000620091207702567,1.00030999755461,0.9544,-4.84158254863713e-05,0.693907080994215
"DNS_NUMLS_adj","lDorsAttnB_PostC_2","allcov",0.9834975190071,-0.0147338863738897,1.00734000534769,0.1086,-7.01677550721971e-05,0.993330259725707
"DNS_NUMLS_adj","lDorsAttnB_PostC_3","allcov",0.0967125063583638,0.0146917977182083,0.992626919986453,0.1098,8.18425112210138e-05,0.591514388380636
"DNS_NUMLS_adj","lLimbicA_TempPole_1","allcov",0.390521439272399,0.000780867804958563,0.999609489848431,0.9426,8.56890797365864e-05,0.683337774359529
"DNS_NUMLS_adj","lLimbicA_TempPole_2","allcov",0.244669651705255,0.00580182708690058,0.997094866556387,0.587,3.7451186598778e-05,0.632109891160314
"DNS_NUMLS_adj","lLimbicB_OFC_1","allcov",0.221489046986215,0.00681011745335125,0.996589124236588,0.5274,-5.21164216776657e-05,0.632109891160314
"DNS_NUMLS_adj","lSalVentAttnA_FrMed_1","allcov",0.0261308297213298,0.0260232031593203,0.986902627841612,0.0276,0.000111805416354506,0.504121146706378
"DNS_NUMLS_adj","lSalVentAttnA_Ins_1","allcov",0.178087340411064,0.00896477625678926,0.995507520686414,0.3758,-0.000374661291413657,0.632109891160314
"DNS_NUMLS_adj","lSalVentAttnA_Ins_2","allcov",0.292263554769886,0.00395485429128795,0.998020613869629,0.7254,-7.63099569993029e-06,0.644409876553222
"DNS_NUMLS_adj","lSalVentAttnA_ParMed_1","allcov",0.521852060185997,-0.00269249698078,1.0013453435158,0.812,-0.000163203179368764,0.778883671919398
"DNS_NUMLS_adj","lSalVentAttnA_ParOper_1","allcov",0.250255386363677,0.00557072107724255,0.997210749502209,0.6112,-0.000314657796814394,0.632109891160314
"DNS_NUMLS_adj","lSalVentAttnB_PFCl_1","allcov",0.406585975743919,0.000319178261901532,0.999840398132671,0.9762,-0.00034205026429696,0.683337774359529
"DNS_NUMLS_adj","lSalVentAttnB_PFCmp_1","allcov",0.0554533261377016,0.0196309533551364,0.990135872819919,0.0538,-0.00018651760348172,0.504121146706378
"DNS_NUMLS_adj","lSomMotA_1","allcov",0.46216874425797,-0.00119032046335033,1.00059498322915,0.9168,0.00027428830307317,0.716540688772046
"DNS_NUMLS_adj","lSomMotA_2","allcov",0.306698372921304,0.00344226260400182,0.998277384996774,0.7612,0.000206778876124392,0.666735593307182
"DNS_NUMLS_adj","lSomMotB_Aud_1","allcov",0.0753077822473888,0.0169402088731057,0.991493717139395,0.0726,-0.000147163758245086,0.553597323415584
"DNS_NUMLS_adj","lSomMotB_Cent_1","allcov",0.878677745666679,-0.0109734730400763,1.00547176640624,0.2684,-9.08219636837666e-05,0.955084506159433
"DNS_NUMLS_adj","lSomMotB_S2_1","allcov",0.0365781268447856,0.0232006314034355,0.988331608619579,0.0396,0.000508114477941836,0.504121146706378
"DNS_NUMLS_adj","lSomMotB_S2_2","allcov",0.564223295853777,-0.00370458781997729,1.00185058158389,0.7374,0.000301560260239934,0.811832080365147
"DNS_NUMLS_adj","lTempPar_1","allcov",0.293206493831716,0.0039207716010734,0.998037688866972,0.7124,5.02792166422858e-05,0.644409876553222
"DNS_NUMLS_adj","lVisCent_ExStr_1","allcov",0.177988638513684,0.0089701670936998,0.995504813100519,0.3766,-0.000174682297459801,0.632109891160314
"DNS_NUMLS_adj","lVisCent_ExStr_2","allcov",0.217535419283753,0.00699078755681015,0.996498475886035,0.5044,-7.92730061513705e-05,0.632109891160314
"DNS_NUMLS_adj","lVisCent_ExStr_3","allcov",0.406073202464358,0.0003337198034018,0.999833126174862,0.9758,-9.81470115343703e-05,0.683337774359529
"DNS_NUMLS_adj","lVisCent_Striate_1","allcov",0.205030972207854,0.00758099667624201,0.996202290362634,0.4656,-0.000284641204851641,0.632109891160314
"DNS_NUMLS_adj","lVisPeri_ExStrInf_1","allcov",0.0256080352186623,0.0261912112298829,0.986817505301825,0.0232,-0.000135485968673278,0.504121146706378
"DNS_NUMLS_adj","lVisPeri_ExStrSup_1","allcov",0.0403628505737323,0.0223642314694348,0.988754655377443,0.038,-1.75649559099131e-05,0.504121146706378
"DNS_NUMLS_adj","lVisPeri_StriCal_1","allcov",0.218255937187022,0.00695765779250834,0.996515098835683,0.5078,4.44644600352355e-06,0.632109891160314
"DNS_NUMLS_adj","rContA_IPS_1","allcov",0.226865727581785,0.00656869921150116,0.996710239130962,0.5464,0.000182641922026785,0.632109891160314
"DNS_NUMLS_adj","rContA_PFCl_1","allcov",0.449483193544618,-0.000856528857743566,1.00042817276291,0.9396,0.000288883803886756,0.702317489913465
"DNS_NUMLS_adj","rContA_PFCl_2","allcov",0.277226040820791,0.00451050414817977,0.997742199093443,0.6796,-8.81298533330411e-05,0.637301243266186
"DNS_NUMLS_adj","rContB_IPL_1","allcov",0.704297827210296,-0.00687554434218174,1.00343188325974,0.5244,-0.000233657221370452,0.874904133180492
"DNS_NUMLS_adj","rContB_PFCld_1","allcov",0.649882812960159,-0.00566237023829275,1.0028271886214,0.597,-2.19525690881384e-05,0.855189603900585
"DNS_NUMLS_adj","rContB_PFClv_1","allcov",0.193614198817234,0.00814713340428985,0.995918102353657,0.4318,-9.79189909961321e-05,0.632109891160314
"DNS_NUMLS_adj","rContB_Temp_1","allcov",0.0100160520627592,0.0338260030418714,0.982941502307298,0.008,-0.000190762490164109,0.504121146706378
"DNS_NUMLS_adj","rContC_Cingp_1","allcov",0.0775036252781817,0.0166842742749931,0.991622773903971,0.0706,-0.000211424510450474,0.553597323415584
"DNS_NUMLS_adj","rContC_pCun_1","allcov",0.645492536467411,-0.00556392519085902,1.00277810366544,0.6114,3.5391755031119e-05,0.855189603900585
"DNS_NUMLS_adj","rDefaultA_IPL_1","allcov",0.328965970698876,0.00268697054219547,0.998655611038062,0.8086,-7.18357110388825e-05,0.671359123875258
"DNS_NUMLS_adj","rDefaultA_pCunPCC_1","allcov",0.0895153704086775,0.0153920241505433,0.992274143495363,0.0964,-7.27958975529802e-05,0.580906217731891
"DNS_NUMLS_adj","rDefaultA_PFCd_1","allcov",0.361483798888879,0.00165045970478783,0.999174429364169,0.8898,0.000224772191528213,0.672447360455162
"DNS_NUMLS_adj","rDefaultA_PFCm_1","allcov",0.034138833212278,0.0237840662958307,0.988036403025804,0.0348,-9.61100222775535e-05,0.504121146706378
"DNS_NUMLS_adj","rDefaultB_PFCd_1","allcov",0.119192078356351,0.0127738349830785,0.993592554831668,0.1908,0.000328655530624121,0.602695457535896
"DNS_NUMLS_adj","rDefaultB_PFCv_1","allcov",0.0671731578908728,0.0179524087051028,0.990983143799579,0.062,-0.000284821881832371,0.524044096647707
"DNS_NUMLS_adj","rDefaultB_PFCv_2","allcov",0.260098724252473,0.00517352116784542,0.997409885068398,0.6278,9.38898671042776e-05,0.634387132323105
"DNS_NUMLS_adj","rDefaultC_PHC_1","allcov",0.196889465430677,0.00798187289789654,0.996001067821769,0.4286,-0.000177275967175022,0.632109891160314
"DNS_NUMLS_adj","rDefaultC_Rsp_1","allcov",0.772438414189197,-0.00840378986867241,1.00419310387429,0.4188,-0.000222384470399368,0.892524074356368
"DNS_NUMLS_adj","rDorsAttnA_ParOcc_1","allcov",0.040418121910813,0.0223525724638173,0.988760551163012,0.0416,-0.000262853071981942,0.504121146706378
"DNS_NUMLS_adj","rDorsAttnA_SPL_1","allcov",0.0633808780897868,0.0184636165548493,0.990725180584985,0.0624,0.000125643258319788,0.524044096647707
"DNS_NUMLS_adj","rDorsAttnA_TempOcc_1","allcov",0.00938345361360638,0.0343457124584653,0.982677102379787,0.0086,-8.19535256289803e-05,0.504121146706378
"DNS_NUMLS_adj","rDorsAttnB_FEF_1","allcov",0.347491640798524,0.0020876124910596,0.998955648419358,0.8528,-0.000211876318362726,0.672447360455162
"DNS_NUMLS_adj","rDorsAttnB_PostC_1","allcov",0.208828187398011,0.00739862832653804,0.996293817944015,0.4882,-2.81896119666622e-06,0.632109891160314
"DNS_NUMLS_adj","rDorsAttnB_PostC_2","allcov",0.0681257325642019,0.0178282008056225,0.991045810845481,0.0738,0.000335476951208387,0.524044096647707
"DNS_NUMLS_adj","rLimbicA_TempPole_1","allcov",0.0294878731333671,0.0250147765000602,0.987413400506566,0.032,0.000233331126470932,0.504121146706378
"DNS_NUMLS_adj","rLimbicB_OFC_1","allcov",0.259184709908587,0.0052098835789558,0.99739165648257,0.6292,-4.67490165315684e-05,0.634387132323105
"DNS_NUMLS_adj","rSalVentAttnA_FrMed_1","allcov",0.175758446457548,0.00909266825253552,0.995443284043579,0.3738,0.000239904252721869,0.632109891160314
"DNS_NUMLS_adj","rSalVentAttnA_Ins_1","allcov",0.119487351686928,0.0127508898472024,0.993604101316414,0.1784,8.56372511199599e-05,0.602695457535896
"DNS_NUMLS_adj","rSalVentAttnA_ParMed_1","allcov",0.15958317138867,0.0100238960973027,0.994975428793444,0.315,0.000193664098653119,0.626592950888665
"DNS_NUMLS_adj","rSalVentAttnA_ParOper_1","allcov",0.28251937925605,0.00431224229375904,0.997841549398621,0.6972,0.000129489394807268,0.642089498309204
"DNS_NUMLS_adj","rSalVentAttnB_IPL_1","allcov",0.0289243792036092,0.0251761866669546,0.987331663289011,0.0256,-0.000144529475611565,0.504121146706378
"DNS_NUMLS_adj","rSalVentAttnB_PFCl_1","allcov",0.347841302336067,0.00207653166301547,0.998961194610173,0.8562,8.29381879161196e-05,0.672447360455162
"DNS_NUMLS_adj","rSalVentAttnB_PFCmp_1","allcov",0.0873337321414399,0.0156144337852168,0.992162066506669,0.0916,-0.000109807479109295,0.580906217731891
"DNS_NUMLS_adj","rSomMotA_1","allcov",0.390511746241506,0.000781150314292267,0.999609348538572,0.9472,-0.000150485167483502,0.683337774359529
"DNS_NUMLS_adj","rSomMotA_2","allcov",0.114735632819837,0.0131264795748091,0.993415079624419,0.1668,-4.11159920014135e-05,0.602695457535896
"DNS_NUMLS_adj","rSomMotA_3","allcov",0.10725347071812,0.0137472615203869,0.993102582052636,0.1476,7.76473866507174e-05,0.602695457535896
"DNS_NUMLS_adj","rSomMotA_4","allcov",0.142028885930083,0.0111330452212088,0.994417897454984,0.2544,-2.60023052586402e-05,0.604378238000353
"DNS_NUMLS_adj","rSomMotB_Aud_1","allcov",0.202007139467116,0.00772828005087489,0.996128365196537,0.457,0.000398718081335253,0.632109891160314
"DNS_NUMLS_adj","rSomMotB_Cent_1","allcov",0.364229186398659,0.00156614370313413,0.999216621307345,0.8866,1.08560324488509e-05,0.672447360455162
"DNS_NUMLS_adj","rSomMotB_S2_1","allcov",0.0501742219268228,0.020497888742694,0.989697989922838,0.0516,-7.2970835731103e-05,0.504121146706378
"DNS_NUMLS_adj","rSomMotB_S2_2","allcov",0.0539086422162926,0.0198763651001689,0.990011936746134,0.054,5.03583627295726e-05,0.504121146706378
"DNS_NUMLS_adj","rTempPar_1","allcov",0.252843956464126,0.00546504981966389,0.997263731507537,0.6138,0.000271269835910631,0.632109891160314
"DNS_NUMLS_adj","rTempPar_2","allcov",0.128490012946109,0.0120745812128841,0.993944374090983,0.2076,0.000101611022597814,0.602695457535896
"DNS_NUMLS_adj","rTempPar_3","allcov",0.198129914720996,0.00791989510247582,0.996032180653579,0.4458,5.13858243580173e-06,0.632109891160314
"DNS_NUMLS_adj","rVisCent_ExStr_1","allcov",0.0667272445741812,0.01801111271497,0.990953524281048,0.0638,-0.000231841803342049,0.524044096647707
"DNS_NUMLS_adj","rVisCent_ExStr_2","allcov",0.0305015273091743,0.0247316354719638,0.987556765218099,0.0304,-8.03299200834336e-05,0.504121146706378
"DNS_NUMLS_adj","rVisCent_ExStr_3","allcov",0.683855732894956,-0.00642068335731616,1.00320520500908,0.5464,0.000145728974206635,0.874904133180492
"DNS_NUMLS_adj","rVisPeri_ExStrInf_1","allcov",0.745699115687559,-0.00779980908141109,1.00389232942652,0.4554,7.74666434382759e-05,0.883186846852417
"DNS_NUMLS_adj","rVisPeri_ExStrSup_1","allcov",0.485716846991689,-0.00179551168871783,1.00089735322296,0.8684,-0.000118568522797759,0.735934616654074
"DNS_NUMLS_adj","rVisPeri_StriCal_1","allcov",0.270569769702437,0.0047641531576631,0.997615079498269,0.6616,-0.000166827673733871,0.637301243266186
