"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"HCP_FACES","lContA_IPS_1","allcov",0.150984362171058,0.00301697443491122,0.998490373296152,0.2938,-3.42845241811254e-05,0.314550754523037
"HCP_FACES","lContA_PFCl_1","allcov",0.238084778822762,0.00173038004516068,0.999134435376361,0.582,-3.29515993017974e-05,0.445018278173386
"HCP_FACES","lContA_PFCl_2","allcov",0.0324031198460366,0.00697494423533151,0.996506425350418,0.0332,-1.5764453125426e-05,0.105534612692166
"HCP_FACES","lContB_PFClv_1","allcov",0.0759000602825644,0.00484115081464842,0.997576487887195,0.0796,7.77256298802031e-05,0.192907312821518
"HCP_FACES","lContC_Cingp_1","allcov",0.0032319394894847,0.0123798622028636,0.993790791765116,0.0026,-7.5269729676302e-05,0.0269328290790392
"HCP_FACES","lContC_pCun_1","allcov",0.154755155932082,0.00294921976350815,0.998524301274882,0.3016,6.26523597054766e-05,0.319082795736252
"HCP_FACES","lContC_pCun_2","allcov",0.0160334670344269,0.00867041892329712,0.995655352557652,0.0146,-0.000121509222491204,0.0654427225894977
"HCP_FACES","lDefaultA_pCunPCC_1","allcov",0.0651704670028682,0.00523159504850446,0.997380772298873,0.0672,8.78241969066285e-06,0.174583675446822
"HCP_FACES","lDefaultA_PFCd_1","allcov",0.191251635394223,0.00235917170216848,0.998819717615662,0.4226,-2.97759199381615e-05,0.38636694019035
"HCP_FACES","lDefaultA_PFCm_1","allcov",0.0516803696147994,0.00581814844889528,0.997086682064857,0.054,4.7166595359165e-05,0.14979817279652
"HCP_FACES","lDefaultB_IPL_1","allcov",0.0109850842512408,0.00956259338490251,0.995207217927552,0.0116,-1.30794835882946e-05,0.0546757568553546
"HCP_FACES","lDefaultB_PFCd_1","allcov",0.0326465202994488,0.00695662241747208,0.996515618333465,0.0348,4.50513588052408e-05,0.105534612692166
"HCP_FACES","lDefaultB_PFCl_1","allcov",0.116468487546173,0.00371906560021362,0.998138735046279,0.1666,-4.30944374966348e-05,0.2742797612403
"HCP_FACES","lDefaultB_PFCv_1","allcov",0.00408590621821025,0.0118470320033034,0.994058835279229,0.0042,-2.68332471411554e-05,0.0313869768464267
"HCP_FACES","lDefaultB_PFCv_2","allcov",0.0241671209554625,0.00768787240580571,0.996148647338435,0.0224,-8.69267277103745e-05,0.0878804398380454
"HCP_FACES","lDefaultB_Temp_1","allcov",5.98635152446332e-06,0.0259490742636653,0.986940183464193,2e-04,5.92815291665939e-05,0.000399090101630888
"HCP_FACES","lDefaultB_Temp_2","allcov",0.0114819089396245,0.00945882773942841,0.995259349245498,0.0118,-5.50652532721046e-05,0.0546757568553546
"HCP_FACES","lDefaultC_PHC_1","allcov",0.0808304120808438,0.00467866091957414,0.99765792688698,0.0788,3.58607617940902e-05,0.197147346538643
"HCP_FACES","lDefaultC_Rsp_1","allcov",0.0365989831193545,0.00667597794264085,0.996656421269315,0.036,4.85088620562697e-06,0.116187247997951
"HCP_FACES","lDorsAttnA_ParOcc_1","allcov",0.0149088855935357,0.00884292608718817,0.995568718830002,0.0172,-2.61168838347734e-05,0.0642547867148386
"HCP_FACES","lDorsAttnA_SPL_1","allcov",0.00693772886255976,0.0106321282943679,0.994669729963485,0.0084,-2.97769122233681e-05,0.0398375285256653
"HCP_FACES","lDorsAttnA_TempOcc_1","allcov",1.68444186493718e-05,0.0237862543213015,0.988035295765641,0,-4.13491178239363e-05,0.000561480621645728
"HCP_FACES","lDorsAttnB_FEF_1","allcov",0.313787352616302,0.000903466686323129,0.999548164579215,0.7814,-1.78671160067524e-05,0.514405496092298
"HCP_FACES","lDorsAttnB_PostC_1","allcov",0.127506944446342,0.00347625963506848,0.998260357003588,0.2008,-6.57930979539922e-06,0.286532459429982
"HCP_FACES","lDorsAttnB_PostC_2","allcov",0.221873411869605,0.00193512148566244,0.999031970716822,0.519,-1.63187393795115e-05,0.434189106463307
"HCP_FACES","lDorsAttnB_PostC_3","allcov",0.0126254897204206,0.00923558276968339,0.99537149709559,0.0126,1.43595602927695e-05,0.0587232080019563
"HCP_FACES","lLimbicA_TempPole_1","allcov",8.17444194981302e-06,0.0252998494193258,0.987269036575479,0,0.000113188947830099,0.000408722097490651
"HCP_FACES","lLimbicA_TempPole_2","allcov",0.00799043797367205,0.0103049381422103,0.994834188122719,0.0066,6.79633264074519e-06,0.0431915566144435
"HCP_FACES","lLimbicB_OFC_1","allcov",0.14142530328915,0.003195708948868,0.99840086691225,0.2626,-1.69346606564556e-05,0.300904900615214
