"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"HCP_RS","lContA_IPS_1","allcov",3.1071841523537e-05,0.0224964263163836,0.988687803952095,0,1.98277684530445e-05,0.000345242683594856
"HCP_RS","lContA_PFCl_1","allcov",0.00352095895329786,0.0121855600554842,0.993888545031341,0.0024,1.8024600559893e-09,0.00891382013493129
"HCP_RS","lContA_PFCl_2","allcov",0.00222878363006375,0.0132185439350415,0.993368741236082,0.0026,7.75097661232734e-05,0.00636795322875358
"HCP_RS","lContB_PFClv_1","allcov",0.000280326111353157,0.0177907228289574,0.991064718961907,4e-04,-5.68624717155186e-06,0.00136744444562516
"HCP_RS","lContC_Cingp_1","allcov",0.000193264547846642,0.018595267973529,0.990658736410511,0,-2.56975042957972e-06,0.0011128251673687
"HCP_RS","lContC_pCun_1","allcov",0.00284275591059394,0.0126702136783405,0.993644698230539,0.0014,-2.31683070251737e-05,0.00748093660682615
"HCP_RS","lContC_pCun_2","allcov",0.00326119490351521,0.0123594382416453,0.99380106749709,0.003,1.19107905461165e-05,0.00836203821414157
"HCP_RS","lDefaultA_pCunPCC_1","allcov",0.000238831646533521,0.0181377834952912,0.990889608636961,2e-04,-8.12435341982201e-06,0.00122477767453088
"HCP_RS","lDefaultA_PFCd_1","allcov",0.00213651400101503,0.0133135318378695,0.993320929086934,0.002,4.10096092979517e-05,0.00619279420584066
"HCP_RS","lDefaultA_PFCm_1","allcov",0.0053171066392519,0.0112447652912081,0.994361722266496,0.0048,3.2934126433072e-06,0.0126597777125045
"HCP_RS","lDefaultB_IPL_1","allcov",8.92049964123045e-05,0.0202554987412048,0.989820438897276,2e-04,-2.7287455872755e-06,0.000637178545802175
"HCP_RS","lDefaultB_PFCd_1","allcov",0.00155372596838518,0.014026470287386,0.992961998121083,0.0024,-4.03231883275723e-05,0.00468633207148131
"HCP_RS","lDefaultB_PFCl_1","allcov",0.0824724093563105,0.00462657558181934,0.997684030351384,0.0852,-1.40716179748084e-05,0.164944818712621
"HCP_RS","lDefaultB_PFCv_1","allcov",0.000727265706429144,0.0157083153840281,0.992114753753804,4e-04,8.67264951961195e-06,0.00264460256883325
"HCP_RS","lDefaultB_PFCv_2","allcov",0.00229984384599337,0.013147978212614,0.993404258993984,0.0028,5.96381353962803e-05,0.00647843336899542
"HCP_RS","lDefaultB_Temp_1","allcov",9.34284856877661e-06,0.025020899121258,0.987410300168447,0,-8.13879398576589e-06,0.000141591699338381
"HCP_RS","lDefaultB_Temp_2","allcov",0.049541502870354,0.00592413339664932,0.997033533339451,0.0538,-2.84475169869047e-06,0.105407452915647
"HCP_RS","lDefaultC_PHC_1","allcov",3.36824201426239e-05,0.0223258952049337,0.988774041323429,0,-2.22804515113187e-05,0.00034784933006315
"HCP_RS","lDefaultC_Rsp_1","allcov",0.000707838264860186,0.0157678903513981,0.992084729067332,2e-04,1.59836883581575e-05,0.00262162320318588
"HCP_RS","lDorsAttnA_ParOcc_1","allcov",0.00020796912855929,0.0184369482634575,0.990738639468827,2e-04,-5.64781475293867e-06,0.0011128251673687
"HCP_RS","lDorsAttnA_SPL_1","allcov",0.000148138280302366,0.0191681099205413,0.990369572472549,2e-04,-3.91660534259768e-05,0.000929999261403819
"HCP_RS","lDorsAttnA_TempOcc_1","allcov",6.57208256763592e-05,0.0209073542362325,0.989491104438927,0,1.63272777222014e-05,0.000520788939282163
"HCP_RS","lDorsAttnB_FEF_1","allcov",0.0329694682575853,0.00693251220063407,0.996527715519928,0.0376,0.000108937295434286,0.0724603697968907
"HCP_RS","lDorsAttnB_PostC_1","allcov",0.000343840609870016,0.0173471363360468,0.99128848659911,0,-3.73781110015132e-05,0.00159925865055821
"HCP_RS","lDorsAttnB_PostC_2","allcov",0.00302609714614083,0.0125288883671349,0.993715810296317,0.0028,1.83844988981e-05,0.00785999258737879
"HCP_RS","lDorsAttnB_PostC_3","allcov",4.75594153511073e-06,0.026427486501555,0.986697782250698,0,-2.20227748341987e-05,0.000129949451594353
"HCP_RS","lLimbicA_TempPole_1","allcov",3.0424778098147e-05,0.0225408881224772,0.988665318435679,0,3.0697939522747e-05,0.000345242683594856
"HCP_RS","lLimbicA_TempPole_2","allcov",1.30611028576098e-05,0.0243199216368649,0.987765193941928,0,-2.84584708003558e-05,0.000163263785720123
"HCP_RS","lLimbicB_OFC_1","allcov",0.00236510916309905,0.0130850221494939,0.993435945519643,0.0028,-2.80230950521665e-05,0.00647975113177823
"HCP_RS","lSalVentAttnA_FrMed_1","allcov",0.0528845205579927,0.00576028055682865,0.997115700128712,0.048,-6.31974136507986e-05,0.111335832753669
