"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"LIBD_FI","lContA_IPS_1","allcov",0.0481147576199961,0.0159106418830443,0.992012781226611,0.049,0.00014989766347627,0.292987377646872
"LIBD_FI","lContA_PFCl_1","allcov",0.269571498975203,0.00364812195112008,0.998174272383776,0.6616,4.06944828255828e-05,0.497480257595365
"LIBD_FI","lContA_PFCl_2","allcov",0.264405992078412,0.00380127175191969,0.998097554474551,0.6508,-7.27978981945368e-05,0.497480257595365
"LIBD_FI","lContB_PFClv_1","allcov",0.0637450876046098,0.0140394987491094,0.992955437696421,0.058,-0.000172674249851613,0.29387325827581
"LIBD_FI","lContC_Cingp_1","allcov",0.12099539367702,0.00962336479074277,0.995176685422874,0.1798,-0.000104912826203936,0.354333964118106
"LIBD_FI","lContC_pCun_1","allcov",0.0590184003949715,0.0145554953014345,0.992695575037265,0.0578,0.000100846398242027,0.29387325827581
"LIBD_FI","lContC_pCun_2","allcov",0.0756916916170343,0.0128785977522812,0.993539834253121,0.0756,-8.32761916109008e-05,0.29387325827581
"LIBD_FI","lDefaultA_pCunPCC_1","allcov",0.111847884539601,0.010178696754408,0.994897634556235,0.1518,-0.000332746489140981,0.344147337044925
"LIBD_FI","lDefaultA_PFCd_1","allcov",0.364880946933614,0.00116696296991547,0.999416348190325,0.8832,0.00014485046566917,0.588517656344538
"LIBD_FI","lDefaultA_PFCm_1","allcov",0.097097444579179,0.011167256015409,0.994400695889032,0.1184,3.62006732703913e-05,0.323393886961085
"LIBD_FI","lDefaultB_IPL_1","allcov",0.1986387416903,0.00600574546081833,0.996992605057421,0.438,-0.000112656873598017,0.459454678512196
"LIBD_FI","lDefaultB_PFCd_1","allcov",0.288379172628592,0.00310969639053238,0.998443941145154,0.693,-0.000192351699420824,0.510405615271844
"LIBD_FI","lDefaultB_PFCl_1","allcov",0.781842100011412,-0.00656538220838354,1.00327732068874,0.397,5.66825219441776e-05,0.887971011573694
"LIBD_FI","lDefaultB_PFCv_1","allcov",0.0219090601618228,0.0209826003103847,0.98945308109562,0.0254,0.000159770227766218,0.292987377646872
"LIBD_FI","lDefaultB_PFCv_2","allcov",0.0903065553210938,0.0116691808716212,0.994148288299275,0.103,0.000121027716045683,0.311401914900323
"LIBD_FI","lDefaultB_Temp_1","allcov",0.247190084047814,0.00432992075330452,0.997832691009217,0.5824,-0.000118735548272701,0.477788865288004
"LIBD_FI","lDefaultB_Temp_2","allcov",0.148932331650343,0.00813358974808154,0.995924901913753,0.2744,-5.78217469811018e-06,0.397152884400913
"LIBD_FI","lDefaultC_PHC_1","allcov",0.220748183795648,0.00520430733489219,0.997394451892083,0.517,-0.00018190240977394,0.464291498649356
"LIBD_FI","lDefaultC_Rsp_1","allcov",0.0855061181841671,0.0120452493033172,0.993959129288867,0.084,-8.46725171013144e-05,0.300179209763612
"LIBD_FI","lDorsAttnA_ParOcc_1","allcov",0.356589676044924,0.00136174535211009,0.999318895372188,0.876,1.28819645335653e-05,0.580445178387058
"LIBD_FI","lDorsAttnA_SPL_1","allcov",0.0472509987454681,0.0160299679839045,0.991952635974166,0.0458,-5.05471411153075e-05,0.292987377646872
"LIBD_FI","lDorsAttnA_TempOcc_1","allcov",0.0341536118960428,0.0181465573864027,0.990885181347263,0.0328,3.33408111590264e-05,0.292987377646872
"LIBD_FI","lDorsAttnB_FEF_1","allcov",0.0674630556067338,0.0136580210020936,0.99314751119756,0.0676,-5.85796856902597e-05,0.29387325827581
"LIBD_FI","lDorsAttnB_PostC_1","allcov",0.292868026798749,0.00298533991129046,0.998506214346566,0.7274,-0.000108509620434143,0.513803555787278
"LIBD_FI","lDorsAttnB_PostC_2","allcov",0.318816280288743,0.00229439029587075,0.99885214606774,0.7878,-2.1232860185787e-05,0.541494504095844
"LIBD_FI","lDorsAttnB_PostC_3","allcov",0.124016887441337,0.00944821577576727,0.99526468048667,0.194,-5.69271772011401e-05,0.354333964118106
"LIBD_FI","lLimbicA_TempPole_1","allcov",0.0293539508318115,0.0191210650330493,0.990393323365495,0.0318,0.000109039066781528,0.292987377646872
"LIBD_FI","lLimbicA_TempPole_2","allcov",0.660735140404783,-0.00450320102665214,1.00224907135235,0.5816,6.11351048320872e-06,0.836373595449093
"LIBD_FI","lLimbicB_OFC_1","allcov",0.0256906968173544,0.0199725978251438,0.989963333752749,0.0252,-6.30924766889163e-05,0.292987377646872
"LIBD_FI","lSalVentAttnA_FrMed_1","allcov",0.0647109968205419,0.0139384467022128,0.993006320875042,0.0734,9.52398896244115e-05,0.29387325827581
"LIBD_FI","lSalVentAttnA_Ins_1","allcov",0.0137004278010888,0.0239193200335087,0.98796795492895,0.015,4.34194314199646e-05,0.292987377646872
"LIBD_FI","lSalVentAttnA_Ins_2","allcov",0.120046438179654,0.00967918400907231,0.995148640149263,0.1856,-0.000141357955625348,0.354333964118106
"LIBD_FI","lSalVentAttnA_ParMed_1","allcov",0.110080023210174,0.0102907215033323,0.994841333327414,0.1514,4.18554141387993e-05,0.344147337044925
"LIBD_FI","lSalVentAttnA_ParOper_1","allcov",0.00151306295830566,0.0370899451236774,0.981279804579878,0.0016,-0.000109018233728958,0.222276906788035
"LIBD_FI","lSalVentAttnB_PFCl_1","allcov",0.320437450542657,0.00225268905333298,0.99887302043186,0.7938,-0.000179392562719774,0.541494504095844
"LIBD_FI","lSalVentAttnB_PFCmp_1","allcov",0.174015373680761,0.00699354573989919,0.996497091947639,0.3646,4.51364550334283e-05,0.446193265848105
"LIBD_FI","lSomMotA_1","allcov",0.0585563394579899,0.0146079821937809,0.99266913813527,0.0528,-0.000103975771617541,0.29387325827581
"LIBD_FI","lSomMotA_2","allcov",0.010792395889181,0.0253905532643197,0.987223098765259,0.0124,-2.19333040324438e-05,0.292987377646872
"LIBD_FI","lSomMotB_Aud_1","allcov",0.0855510747826295,0.0120416385788658,0.993960945621675,0.088,-0.000160861935776796,0.300179209763612
"LIBD_FI","lSomMotB_Cent_1","allcov",0.134570667487208,0.00886501364163417,0.995557625835072,0.2232,-0.000118263602990197,0.368686760238927
"LIBD_FI","lSomMotB_S2_1","allcov",0.227502834338184,0.00497297758741067,0.997510412182544,0.5222,-0.000119789328275267,0.464291498649356
"LIBD_FI","lSomMotB_S2_2","allcov",0.0558860422512775,0.0149190891572553,0.992512423520605,0.0544,-0.000150139606921467,0.29387325827581
"LIBD_FI","lTempPar_1","allcov",0.116765648907203,0.00987527118549048,0.995050113720163,0.171,-6.89814348351042e-05,0.353835299718796
"LIBD_FI","lVisCent_ExStr_1","allcov",0.0273429794498504,0.0195751198953482,0.990164067265952,0.0274,0.00016628258956546,0.292987377646872
"LIBD_FI","lVisCent_ExStr_2","allcov",0.0404071017397714,0.0170551873443258,0.991435732993155,0.0456,0.000160852714140094,0.292987377646872
"LIBD_FI","lVisCent_ExStr_3","allcov",0.0477518070012651,0.0159605359054968,0.991987633035061,0.0472,3.23045453113952e-05,0.292987377646872
"LIBD_FI","lVisCent_Striate_1","allcov",0.0512296978244035,0.0154963780165036,0.992221558918922,0.0468,-4.90786437802945e-05,0.29387325827581
"LIBD_FI","lVisPeri_ExStrInf_1","allcov",0.0295912810524393,0.0190694406386031,0.990419385594505,0.0276,-2.02959789882734e-05,0.292987377646872
"LIBD_FI","lVisPeri_ExStrSup_1","allcov",0.0686584472420645,0.0135395049413026,0.993207176302456,0.0736,0.000122517616471443,0.29387325827581
"LIBD_FI","lVisPeri_StriCal_1","allcov",0.0707368852528393,0.013337916072805,0.993308654914068,0.076,0.000145829342432722,0.29387325827581
"LIBD_FI","rContA_IPS_1","allcov",0.011807718427788,0.0248376737446259,0.987503076580207,0.0126,-0.00016527305985364,0.292987377646872
"LIBD_FI","rContA_PFCl_1","allcov",0.532179847658206,-0.00225012126286361,1.00112442846175,0.7916,-3.96388297883608e-05,0.744307479242246
"LIBD_FI","rContA_PFCl_2","allcov",0.491640596417843,-0.00149095460678561,1.00074519964214,0.8662,2.01976512687113e-05,0.709349654080784
"LIBD_FI","rContB_IPL_1","allcov",0.012597616935942,0.0244383332085021,0.987705252993775,0.0132,6.31956986779456e-06,0.292987377646872
"LIBD_FI","rContB_PFCld_1","allcov",0.478994731049846,-0.0012470633584396,1.00062333740446,0.8796,3.25415264071297e-05,0.709349654080784
"LIBD_FI","rContB_PFClv_1","allcov",0.122630517198197,0.00952809960685563,0.995224547724354,0.1868,-0.000265577056358859,0.354333964118106
"LIBD_FI","rContB_Temp_1","allcov",0.3846080676852,0.000716065861586235,0.999641902952459,0.9264,-0.000249505415773117,0.610488996325714
"LIBD_FI","rContC_Cingp_1","allcov",0.0668683925321375,0.0137177049247957,0.993117462878991,0.065,-0.000130296502210142,0.29387325827581
"LIBD_FI","rContC_pCun_1","allcov",0.0641882355854162,0.0139929619957441,0.992978870875033,0.0658,0.000124447045185633,0.29387325827581
"LIBD_FI","rDefaultA_IPL_1","allcov",0.0263958071032713,0.0198000846595628,0.990050461007133,0.0282,2.62351148223398e-05,0.292987377646872
"LIBD_FI","rDefaultA_pCunPCC_1","allcov",0.0390780293679662,0.0172731033423621,0.991325827696241,0.0446,0.000248835243665931,0.292987377646872
"LIBD_FI","rDefaultA_PFCd_1","allcov",0.410183610973447,0.000155152244378565,0.99992242086855,0.987,5.96519752405245e-06,0.63594358290457
"LIBD_FI","rDefaultA_PFCm_1","allcov",0.200906027144734,0.00592016933119388,0.997035521267325,0.4554,4.17594725358476e-05,0.459454678512196
"LIBD_FI","rDefaultB_PFCd_1","allcov",0.283947077580935,0.00323399492680121,0.998381693077953,0.6964,4.80643518341272e-05,0.507048352823099
"LIBD_FI","rDefaultB_PFCv_1","allcov",0.0441933555004273,0.0164694882774777,0.991731068245077,0.0458,-5.07777209863014e-05,0.292987377646872
"LIBD_FI","rDefaultB_PFCv_2","allcov",0.0810115036859858,0.0124153385740238,0.993772942591001,0.0856,-3.15800417529376e-05,0.300042606244392
"LIBD_FI","rDefaultC_PHC_1","allcov",0.0636030238235528,0.014054481045306,0.992947893373411,0.0632,8.16731506115871e-05,0.29387325827581
"LIBD_FI","rDefaultC_Rsp_1","allcov",0.0264840659777712,0.0197788005648151,0.990061209943701,0.029,0.000160372810881784,0.292987377646872
