"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"LIBD_NB","lContA_IPS_1","allcov",0.423712158801222,-0.000111135464897716,1.00005556618865,0.9852,7.58973524231523e-05,0.489840646012974
"LIBD_NB","lContA_PFCl_1","allcov",0.0873146733142048,0.00955430300455862,0.995211383071678,0.091,-6.24859747448325e-05,0.179101882890139
"LIBD_NB","lContA_PFCl_2","allcov",0.00208111565120407,0.0283624982894085,0.985716745171041,0.002,-6.81588965748842e-05,0.0639549377507363
"LIBD_NB","lContB_PFClv_1","allcov",0.0223287135272863,0.0167673544724956,0.991580881989717,0.0208,-5.70820576228332e-05,0.0966844286558903
"LIBD_NB","lContC_Cingp_1","allcov",0.0804953340243065,0.0100028179602263,0.994986021027318,0.074,-0.000185684052853854,0.179101882890139
"LIBD_NB","lContC_pCun_1","allcov",0.342337749021602,0.00136243526105739,0.999318550182544,0.8466,0.000177925346774762,0.409985328169583
"LIBD_NB","lContC_pCun_2","allcov",0.228379058219517,0.00396267294088759,0.998016696783732,0.537,5.27231179743195e-05,0.310719807101384
"LIBD_NB","lDefaultA_pCunPCC_1","allcov",0.0799567222933931,0.0100397168588289,0.994967478433929,0.0782,-7.09922018312215e-06,0.179101882890139
"LIBD_NB","lDefaultA_PFCd_1","allcov",0.284366108181275,0.00258064469528518,0.998708844110592,0.6988,-2.68133336659995e-06,0.359829965996919
"LIBD_NB","lDefaultA_PFCm_1","allcov",0.0768167150845588,0.0102595042913657,0.994857022746804,0.074,-6.93449219520222e-05,0.176590149619675
"LIBD_NB","lDefaultB_IPL_1","allcov",0.243564794206579,0.00356250336787656,0.998217159055144,0.5798,-2.65847489425489e-05,0.320759184278596
"LIBD_NB","lDefaultB_PFCd_1","allcov",0.0954762419306129,0.00905795045791302,0.995460722249797,0.104,-5.9190273572792e-05,0.183608157558871
"LIBD_NB","lDefaultB_PFCl_1","allcov",0.0218546270497803,0.0168766593005086,0.991525764011955,0.0228,7.68468529613224e-06,0.0966844286558903
"LIBD_NB","lDefaultB_PFCv_1","allcov",0.00591722069275377,0.0233621602700195,0.988249887290649,0.0046,-4.80345183802089e-06,0.0713972406463827
