Dataset,ROI,Analysis,p_value,R,SE,Empirical_p_value,Avg_R,pFDR
UKBB_FI,lVisCent_ExStr_1,allcov,1.80E-06,0.006154376,0.996918063,0,-4.87E-06,2.68E-06
UKBB_FI,lVisCent_ExStr_2,allcov,2.42E-06,0.006019505,0.996985705,0,1.10E-06,3.51E-06
UKBB_FI,lVisCent_Striate_1,allcov,0.020593209,0.001732057,0.999133596,0.019,-1.52E-05,0.020801221
UKBB_FI,lVisCent_ExStr_3,allcov,1.25E-05,0.005274537,0.997359245,0,8.42E-06,1.68E-05
UKBB_FI,lVisPeri_ExStrInf_1,allcov,1.70E-06,0.006178231,0.996906098,0,-1.20E-05,2.62E-06
UKBB_FI,lVisPeri_StriCal_1,allcov,7.46E-07,0.006549913,0.996719663,0,8.24E-06,1.26E-06
UKBB_FI,lVisPeri_ExStrSup_1,allcov,0.005085812,0.002437912,0.9987803,0.0044,3.06E-07,0.005297721
UKBB_FI,lSomMotA_1,allcov,6.09E-13,0.012691622,0.993633926,0,-1.20E-05,6.09E-12
UKBB_FI,lSomMotA_2,allcov,1.10E-06,0.006373361,0.996808226,0,6.68E-06,1.78E-06
UKBB_FI,lSomMotB_Aud_1,allcov,3.45E-09,0.008935369,0.995522291,0,-1.57E-05,1.02E-08
UKBB_FI,lSomMotB_S2_1,allcov,9.10E-07,0.006460495,0.996764518,0,-4.93E-06,1.52E-06
UKBB_FI,lSomMotB_S2_2,allcov,3.69E-16,0.015861577,0.992037511,0,-1.16E-05,1.85E-14
UKBB_FI,lSomMotB_Cent_1,allcov,5.90E-10,0.009710255,0.995133029,0,4.61E-06,2.48E-09
UKBB_FI,lDorsAttnA_TempOcc_1,allcov,1.32E-07,0.007324976,0.996330781,0,3.62E-06,2.49E-07
UKBB_FI,lDorsAttnA_ParOcc_1,allcov,5.63E-04,0.003503201,0.998246863,2.00E-04,6.62E-06,6.32E-04
UKBB_FI,lDorsAttnA_SPL_1,allcov,1.10E-07,0.007404075,0.996291085,0,-9.18E-07,2.21E-07
UKBB_FI,lDorsAttnB_PostC_1,allcov,1.97E-09,0.009181973,0.995398426,0,9.03E-06,6.43E-09
UKBB_FI,lDorsAttnB_PostC_2,allcov,1.10E-09,0.009438667,0.995269478,0,2.61E-06,4.06E-09
UKBB_FI,lDorsAttnB_PostC_3,allcov,1.23E-05,0.005281657,0.997355675,2.00E-04,2.12E-06,1.68E-05
UKBB_FI,lDorsAttnB_FEF_1,allcov,3.03E-08,0.007976917,0.996003556,0,1.47E-05,6.90E-08
UKBB_FI,lSalVentAttnA_ParOper_1,allcov,1.12E-08,0.008416865,0.995782675,0,8.28E-06,2.80E-08
UKBB_FI,lSalVentAttnA_Ins_1,allcov,1.33E-10,0.010359343,0.994806844,0,1.46E-05,7.84E-10
UKBB_FI,lSalVentAttnA_Ins_2,allcov,6.00E-13,0.012698213,0.993630609,0,-1.93E-05,6.09E-12
UKBB_FI,lSalVentAttnA_ParMed_1,allcov,9.72E-06,0.005388165,0.997302279,0,-2.69E-06,1.35E-05
UKBB_FI,lSalVentAttnA_FrMed_1,allcov,8.59E-04,0.003301695,0.998347788,0.001,8.34E-06,9.44E-04
UKBB_FI,lSalVentAttnB_PFCl_1,allcov,2.98E-08,0.007984948,0.995999524,0,1.99E-06,6.90E-08
UKBB_FI,lSalVentAttnB_PFCmp_1,allcov,4.40E-13,0.012831835,0.993563368,0,-5.78E-06,5.50E-12
UKBB_FI,lLimbicB_OFC_1,allcov,1.03E-10,0.010472294,0.994750072,0,1.64E-05,6.42E-10
UKBB_FI,lLimbicA_TempPole_1,allcov,1.49E-13,0.013298087,0.993328704,0,-2.10E-05,2.97E-12
UKBB_FI,lLimbicA_TempPole_2,allcov,6.40E-05,0.00452238,0.997736248,2.00E-04,1.44E-05,7.62E-05
UKBB_FI,lContA_IPS_1,allcov,2.41E-07,0.007055617,0.996465947,0,-7.91E-06,4.30E-07
UKBB_FI,lContA_PFCl_1,allcov,1.74E-11,0.011244411,0.9943619,0,-2.38E-06,1.16E-10
UKBB_FI,lContA_PFCl_2,allcov,1.09E-07,0.007411035,0.996287591,0,9.31E-06,2.21E-07
UKBB_FI,lContB_PFClv_1,allcov,1.65E-09,0.009260996,0.995358731,0,-8.40E-06,5.68E-09
UKBB_FI,lContC_pCun_1,allcov,0.019992359,0.001747344,0.999125946,0.0216,8.22E-06,0.020400366
UKBB_FI,lContC_pCun_2,allcov,0.016370973,0.001850061,0.999074541,0.0164,-3.58E-06,0.016877292
UKBB_FI,lContC_Cingp_1,allcov,3.80E-06,0.005815053,0.997088235,0,3.82E-06,5.43E-06
UKBB_FI,lDefaultA_PFCd_1,allcov,2.41E-07,0.00705587,0.99646582,0,7.37E-07,4.30E-07
UKBB_FI,lDefaultA_pCunPCC_1,allcov,9.64E-07,0.006434581,0.996777517,0,-6.17E-06,1.58E-06
UKBB_FI,lDefaultA_PFCm_1,allcov,2.48E-10,0.010088459,0.994942984,0,-9.54E-06,1.24E-09
UKBB_FI,lDefaultB_Temp_1,allcov,1.75E-12,0.012236261,0.993863038,0,5.70E-06,1.46E-11
UKBB_FI,lDefaultB_Temp_2,allcov,1.24E-07,0.007350625,0.996317909,0,1.23E-05,2.44E-07
UKBB_FI,lDefaultB_IPL_1,allcov,4.00E-09,0.008871476,0.99555438,0,7.74E-06,1.14E-08
UKBB_FI,lDefaultB_PFCd_1,allcov,2.58E-08,0.008048142,0.9959678,0,-1.06E-06,6.15E-08
UKBB_FI,lDefaultB_PFCl_1,allcov,9.19E-05,0.004354292,0.997820479,0,2.05E-05,1.08E-04
UKBB_FI,lDefaultB_PFCv_1,allcov,3.06E-05,0.004862487,0.997565794,0,1.59E-05,3.88E-05
UKBB_FI,lDefaultB_PFCv_2,allcov,1.21E-13,0.01338803,0.993283429,0,1.30E-06,2.97E-12
UKBB_FI,lDefaultC_Rsp_1,allcov,3.26E-07,0.006920976,0.996533504,0,-6.19E-06,5.71E-07
UKBB_FI,lDefaultC_PHC_1,allcov,1.54E-05,0.005177169,0.997408057,0,-4.73E-06,2.00E-05
UKBB_FI,lTempPar_1,allcov,1.56E-07,0.007248962,0.996368927,0,6.93E-06,2.89E-07
