Dataset,ROI,Analysis,p_value,R,SE,Empirical_p_value,Avg_R,pFDR
UKBB_RS,lVisCent_ExStr_1,allcov,1.46E-10,0.009674573,0.995150957,0,-3.20E-07,2.57E-10
UKBB_RS,lVisCent_ExStr_2,allcov,3.16E-05,0.004544286,0.99772527,0,-3.14E-06,3.64E-05
UKBB_RS,lVisCent_Striate_1,allcov,1.23E-04,0.003955615,0.998020233,2.00E-04,-5.38E-07,1.33E-04
UKBB_RS,lVisCent_ExStr_3,allcov,2.52E-09,0.008507375,0.995737227,0,8.49E-06,3.82E-09
UKBB_RS,lVisPeri_ExStrInf_1,allcov,1.28E-12,0.011601118,0.99418252,0,2.50E-06,2.84E-12
UKBB_RS,lVisPeri_StriCal_1,allcov,6.58E-10,0.009059307,0.995460041,0,-6.09E-06,1.08E-09
UKBB_RS,lVisPeri_ExStrSup_1,allcov,5.79E-05,0.004282599,0.997856403,0,-1.05E-05,6.58E-05
UKBB_RS,lSomMotA_1,allcov,3.36E-14,0.013067294,0.993444868,0,-7.77E-06,8.62E-14
UKBB_RS,lSomMotA_2,allcov,1.05E-07,0.006962377,0.996512731,0,2.58E-06,1.36E-07
UKBB_RS,lSomMotB_Aud_1,allcov,1.26E-21,0.019862654,0.990018861,0,-4.08E-06,1.26E-20
UKBB_RS,lSomMotB_S2_1,allcov,1.20E-15,0.014403243,0.992772258,0,1.03E-05,4.14E-15
UKBB_RS,lSomMotB_S2_2,allcov,6.87E-28,0.025506941,0.98716415,0,-6.68E-06,6.87E-26
UKBB_RS,lSomMotB_Cent_1,allcov,6.77E-16,0.014632091,0.992656995,0,7.73E-06,2.71E-15
UKBB_RS,lDorsAttnA_TempOcc_1,allcov,4.75E-11,0.01013393,0.994920132,0,-5.14E-07,8.95E-11
UKBB_RS,lDorsAttnA_ParOcc_1,allcov,2.00E-08,0.007651271,0.996167019,0,-3.09E-06,2.78E-08
UKBB_RS,lDorsAttnA_SPL_1,allcov,9.74E-10,0.008898149,0.995540984,0,1.35E-06,1.57E-09
UKBB_RS,lDorsAttnB_PostC_1,allcov,2.63E-26,0.024086026,0.987883583,0,3.77E-06,8.78E-25
UKBB_RS,lDorsAttnB_PostC_2,allcov,1.15E-12,0.011643535,0.994161187,0,4.94E-06,2.67E-12
UKBB_RS,lDorsAttnB_PostC_3,allcov,6.63E-08,0.007153659,0.996416751,0,-1.24E-05,9.08E-08
UKBB_RS,lDorsAttnB_FEF_1,allcov,2.62E-05,0.004625192,0.997684724,0,-1.69E-06,3.08E-05
UKBB_RS,lSalVentAttnA_ParOper_1,allcov,6.09E-22,0.020149037,0.989874216,0,-1.79E-05,6.77E-21
UKBB_RS,lSalVentAttnA_Ins_1,allcov,3.45E-19,0.017647368,0.99113704,0,-1.17E-05,2.46E-18
UKBB_RS,lSalVentAttnA_Ins_2,allcov,1.14E-15,0.014422324,0.992762648,0,5.79E-06,4.08E-15
UKBB_RS,lSalVentAttnA_ParMed_1,allcov,0.001848844,0.002749285,0.998624411,6.00E-04,-6.79E-06,0.001906024
UKBB_RS,lSalVentAttnA_FrMed_1,allcov,6.53E-05,0.004230102,0.997882708,0,-2.62E-06,7.34E-05
UKBB_RS,lSalVentAttnB_PFCl_1,allcov,2.64E-14,0.013164647,0.993395869,0,6.18E-07,7.33E-14
UKBB_RS,lSalVentAttnB_PFCmp_1,allcov,6.46E-15,0.013729457,0.993111546,0,-6.91E-06,2.02E-14
UKBB_RS,lLimbicB_OFC_1,allcov,1.63E-17,0.016116091,0.991909224,0,-3.30E-06,9.08E-17
UKBB_RS,lLimbicA_TempPole_1,allcov,3.01E-22,0.020426659,0.989733975,0,4.13E-06,4.30E-21
UKBB_RS,lLimbicA_TempPole_2,allcov,9.11E-08,0.007021173,0.99648323,0,-1.33E-06,1.20E-07
UKBB_RS,lContA_IPS_1,allcov,1.63E-14,0.013358567,0.99329826,0,-1.09E-05,4.65E-14
UKBB_RS,lContA_PFCl_1,allcov,9.07E-16,0.014515028,0.992715958,0,2.43E-07,3.49E-15
UKBB_RS,lContA_PFCl_2,allcov,7.02E-08,0.007129544,0.996428851,0,1.10E-05,9.49E-08
UKBB_RS,lContB_PFClv_1,allcov,1.74E-16,0.015174494,0.992383749,0,1.48E-06,7.90E-16
UKBB_RS,lContC_pCun_1,allcov,0.385396436,5.03E-05,0.999974858,0.938,2.65E-06,0.385396436
UKBB_RS,lContC_pCun_2,allcov,7.82E-05,0.004152203,0.997921739,0,7.94E-07,8.69E-05
UKBB_RS,lContC_Cingp_1,allcov,6.27E-09,0.008131355,0.995926024,0,1.25E-05,8.96E-09
UKBB_RS,lDefaultA_PFCd_1,allcov,2.83E-09,0.008459116,0.99576146,0,6.91E-07,4.23E-09
UKBB_RS,lDefaultA_pCunPCC_1,allcov,2.92E-05,0.004578112,0.997708318,0,-3.94E-06,3.40E-05
