"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"UNIBA1_FE","lContA_IPS_1","allcov",0.00655692882349132,0.0324048965665408,0.983664121249453,0.0066,0.000154056522641283,0.0319850186511772
"UNIBA1_FE","lContA_PFCl_1","allcov",0.00309501590850659,0.0374993338504626,0.981071183018611,0.0032,8.76287879962408e-05,0.0247601272680527
"UNIBA1_FE","lContA_PFCl_2","allcov",0.335143834755661,0.00215429826115998,0.998922270118571,0.8274,-0.000103139977651233,0.360369714791033
"UNIBA1_FE","lContB_PFClv_1","allcov",0.0228375508613716,0.0236372640014068,0.988110690155001,0.025,-3.27666357873621e-05,0.0513203390143181
"UNIBA1_FE","lContC_Cingp_1","allcov",0.232923577671816,0.00547644500841005,0.997258018263874,0.56,2.1773505435656e-05,0.266198374482076
"UNIBA1_FE","lContC_pCun_1","allcov",0.252652354734095,0.00475453056276243,0.997619902286055,0.6086,0.000136441064230152,0.285482886705192
"UNIBA1_FE","lContC_pCun_2","allcov",0.0178644002762529,0.0253981733918404,0.987219239383107,0.022,-9.63267791690428e-05,0.0458965972607503
"UNIBA1_FE","lDefaultA_pCunPCC_1","allcov",0.00189191486553157,0.0407811869760735,0.979397168172303,0.0028,4.88854701809975e-05,0.0199148933213849
"UNIBA1_FE","lDefaultA_PFCd_1","allcov",0.00786625983550912,0.0311511974632531,0.984301174710641,0.0076,-2.9495699295824e-05,0.0328270451938593
"UNIBA1_FE","lDefaultA_PFCm_1","allcov",0.00446676176489833,0.035024126261807,0.982331855198737,0.0056,0.000250608055923387,0.0279172610306145
"UNIBA1_FE","lDefaultB_IPL_1","allcov",0.343961893371658,0.00190688958105267,0.999046100247104,0.8422,-6.81634248497959e-05,0.366325349021019
"UNIBA1_FE","lDefaultB_PFCd_1","allcov",0.016848540495465,0.0258151017456596,0.987008053794061,0.0194,0.000265507478196027,0.0458965972607503
"UNIBA1_FE","lDefaultB_PFCl_1","allcov",0.102974918307321,0.012284045205145,0.993838998427238,0.1378,6.99834545661784e-05,0.132019126035027
"UNIBA1_FE","lDefaultB_PFCv_1","allcov",0.00709239596465049,0.031865266752202,0.983938378785886,0.0052,5.23349929662988e-06,0.0328270451938593
"UNIBA1_FE","lDefaultB_PFCv_2","allcov",0.003682706486838,0.0363296251697959,0.981667140547245,0.004,-6.47232073405444e-05,0.0253979757712966
"UNIBA1_FE","lDefaultB_Temp_1","allcov",0.0312322599255438,0.0213624973465922,0.989261089224381,0.0304,-9.67263053984421e-05,0.0606451649039686
"UNIBA1_FE","lDefaultB_Temp_2","allcov",0.169625808821782,0.0082048946732125,0.995889102926017,0.3486,-0.000270097328402115,0.204368444363593
"UNIBA1_FE","lDefaultC_PHC_1","allcov",0.0746625954239072,0.0148082258419685,0.992568271786899,0.0736,8.18738181076736e-05,0.107428194854543
"UNIBA1_FE","lDefaultC_Rsp_1","allcov",0.0307759653075744,0.0214702600446226,0.989206621467617,0.0282,-0.000102100957326509,0.0605005879666132
"UNIBA1_FE","lDorsAttnA_ParOcc_1","allcov",0.132847127890201,0.0102302250192897,0.994871737954552,0.2226,-5.22368840364734e-05,0.167103305522265
