"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"UNIBA1_NB","lContA_IPS_1","allcov",0.0221246326400586,0.0201438996370076,0.989876810700702,0.0248,0.000139631102939749,0.05601172820268
"UNIBA1_NB","lContA_PFCl_1","allcov",0.0318979131906678,0.0178961098907696,0.991011548928281,0.0336,-0.000145832333436314,0.0636016655784873
"UNIBA1_NB","lContA_PFCl_2","allcov",0.021914746017767,0.0202019395528132,0.98984749352978,0.019,-0.000209783747208947,0.05601172820268
"UNIBA1_NB","lContB_PFClv_1","allcov",0.0130021607649842,0.0233445390469922,0.988258802618529,0.0116,0.000112823005548803,0.0429949960280144
"UNIBA1_NB","lContC_Cingp_1","allcov",0.215811100831118,0.00517510557772272,0.997409090805913,0.5018,3.53329138201918e-05,0.244404994492021
"UNIBA1_NB","lContC_pCun_1","allcov",0.177862005606178,0.00657536145697868,0.996706897007852,0.3728,6.06346718788184e-05,0.209603480432548
"UNIBA1_NB","lContC_pCun_2","allcov",0.0654851949229157,0.0133416867015638,0.993306756897604,0.0664,2.44474789574057e-05,0.0955988247049864
"UNIBA1_NB","lDefaultA_pCunPCC_1","allcov",0.240249906597411,0.00438030368799291,0.997807444506207,0.5806,-0.000127693710595532,0.26843564982951
"UNIBA1_NB","lDefaultA_PFCd_1","allcov",0.0545071944727708,0.0145231327228895,0.992711875257424,0.0542,6.75184912636744e-06,0.0845072782523579
"UNIBA1_NB","lDefaultA_PFCm_1","allcov",0.0152249563776541,0.0224016404393648,0.9887357379809,0.0158,6.42090783263326e-05,0.047577988680169
"UNIBA1_NB","lDefaultB_IPL_1","allcov",0.0323240757039327,0.0178137896730471,0.991053081488047,0.0316,0.000108700907393508,0.0636016655784873
"UNIBA1_NB","lDefaultB_PFCd_1","allcov",0.000585342951798691,0.0409793961115782,0.979295973589406,6e-04,-3.98771077742943e-05,0.00975571586331151
"UNIBA1_NB","lDefaultB_PFCl_1","allcov",0.0632882282957815,0.0135625476635862,0.993195576075736,0.0704,0.000157353294108937,0.0932041553900029
"UNIBA1_NB","lDefaultB_PFCv_1","allcov",0.0537260882614002,0.014615447698723,0.992665377809298,0.0604,0.000224899693508568,0.0839470129084378
"UNIBA1_NB","lDefaultB_PFCv_2","allcov",0.0259381467127951,0.0191717851033694,0.990367717010521,0.0296,9.82320506674593e-05,0.0579461307944943
"UNIBA1_NB","lDefaultB_Temp_1","allcov",0.00410657784690698,0.0300739531317964,0.984848235449607,0.0036,9.52667880572118e-05,0.0216135676152999
"UNIBA1_NB","lDefaultB_Temp_2","allcov",0.0178248288589879,0.0214536941724575,0.989214994744592,0.0212,4.64221544578552e-05,0.0516661706057622
"UNIBA1_NB","lDefaultC_PHC_1","allcov",0.0711359710546133,0.0128037133951444,0.993577519172438,0.0706,-5.4803647104397e-05,0.0997767969399533
"UNIBA1_NB","lDefaultC_Rsp_1","allcov",0.0756601324679299,0.0124007829492589,0.993780265979729,0.0794,0.000155364025039414,0.105083517316569
"UNIBA1_NB","lDorsAttnA_ParOcc_1","allcov",0.252538727882314,0.00400575086913235,0.997995114783067,0.6186,0.000195786009786034,0.27833101005644
"UNIBA1_NB","lDorsAttnA_SPL_1","allcov",0.343468638107902,0.00161296122728771,0.999193193918329,0.839,-6.72410078969377e-06,0.357779831362398
"UNIBA1_NB","lDorsAttnA_TempOcc_1","allcov",0.0189267388610487,0.0210913750362813,0.989398112472284,0.022,-5.39613323259486e-05,0.0533147573550669
"UNIBA1_NB","lDorsAttnB_FEF_1","allcov",0.148286122168434,0.00785932105235843,0.996062587866667,0.2818,8.23807005677343e-05,0.180836734351749
"UNIBA1_NB","lDorsAttnB_PostC_1","allcov",0.0233932986541611,0.0198038752338027,0.990048546671423,0.0244,2.8050431699905e-05,0.0577508328638977
"UNIBA1_NB","lDorsAttnB_PostC_2","allcov",0.0421521213644967,0.016154570746827,0.991889827174961,0.0402,0.000135610475499342,0.07322941115887
"UNIBA1_NB","lDorsAttnB_PostC_3","allcov",0.00109801535765291,0.0375106726641435,0.981065404209045,0.0018,-3.7270519441319e-05,0.0144454725705128
"UNIBA1_NB","lLimbicA_TempPole_1","allcov",0.0291745292312329,0.0184481932923299,0.990732964379237,0.032,-2.96185218599003e-06,0.0621090667935406
"UNIBA1_NB","lLimbicA_TempPole_2","allcov",0.102647051152614,0.0103774309490735,0.994797752837694,0.1282,-0.000135288471557192,0.135061909411334
"UNIBA1_NB","lLimbicB_OFC_1","allcov",0.0885344652222035,0.0113649796843122,0.99430127240977,0.0854,-0.000127908974330655,0.120455054724086
"UNIBA1_NB","lSalVentAttnA_FrMed_1","allcov",0.0290150355814331,0.0184820230234967,0.99071589114968,0.0266,-3.86844462037169e-05,0.0621090667935406
"UNIBA1_NB","lSalVentAttnA_Ins_1","allcov",0.178162958367665,0.00656328520381344,0.996712955065894,0.3854,-7.43980687414153e-05,0.209603480432548
"UNIBA1_NB","lSalVentAttnA_Ins_2","allcov",0.0713404098120666,0.0127850013994608,0.993586935602788,0.0758,-6.93960788726232e-05,0.0997767969399533
"UNIBA1_NB","lSalVentAttnA_ParMed_1","allcov",0.000157984428458556,0.0480702663810081,0.975668864737925,2e-04,-1.1698935097283e-05,0.00451873931098605
"UNIBA1_NB","lSalVentAttnA_ParOper_1","allcov",0.00243113859203589,0.0330586874776503,0.983331740829284,0.0022,5.07701793534785e-06,0.0167664730485234
"UNIBA1_NB","lSalVentAttnB_PFCl_1","allcov",0.032754857772921,0.0177316154433923,0.991094538657442,0.0326,-7.46134307790762e-05,0.0636016655784873
"UNIBA1_NB","lSalVentAttnB_PFCmp_1","allcov",0.00404176154401558,0.030165162216407,0.984801928198556,0.0046,3.28486604388172e-06,0.0216135676152999
"UNIBA1_NB","lSomMotA_1","allcov",0.0356218397859811,0.017209444868713,0.991357934921231,0.0352,-5.48680989600983e-05,0.0659663699740391
"UNIBA1_NB","lSomMotA_2","allcov",0.00404700792753286,0.0301577268609052,0.984805703242571,0.0032,-3.61068839905072e-05,0.0216135676152999
"UNIBA1_NB","lSomMotB_Aud_1","allcov",0.127050030263579,0.00892912619048936,0.995525425998508,0.2054,0.000134039682627131,0.159811358822112
"UNIBA1_NB","lSomMotB_Cent_1","allcov",0.480719646302571,-0.00123376297012379,1.00061669133096,0.8822,-7.57669129494706e-05,0.49304579107956
"UNIBA1_NB","lSomMotB_S2_1","allcov",0.288625895646897,0.00298558182407538,0.998506093209213,0.7026,-0.000108667493650536,0.310350425426771
"UNIBA1_NB","lSomMotB_S2_2","allcov",0.0207664999077173,0.0205291733071421,0.989682184690044,0.022,-3.07002486169209e-06,0.05601172820268
"UNIBA1_NB","lTempPar_1","allcov",0.444993005138717,-0.000551283930374291,1.00027560398641,0.9468,1.37712825155429e-05,0.461132647812142
"UNIBA1_NB","lVisCent_ExStr_1","allcov",0.00200900071905068,0.0341345702077023,0.982784528669585,0.0014,-0.000229732744749937,0.0167265807446673
"UNIBA1_NB","lVisCent_ExStr_2","allcov",0.25328121915136,0.00398360395366548,0.998006210424732,0.6072,-7.87761660656748e-05,0.27833101005644
"UNIBA1_NB","lVisCent_ExStr_3","allcov",0.209614447294715,0.00538860326229129,0.997302058925835,0.494,5.06293000367688e-05,0.242646694629556
"UNIBA1_NB","lVisCent_Striate_1","allcov",0.0592260260130129,0.0139903839951655,0.992980168988704,0.0588,-0.000146099297344333,0.0904214137603251
"UNIBA1_NB","lVisPeri_ExStrInf_1","allcov",0.00836390345758991,0.0259510499345078,0.986939182556601,0.0072,0.000103036026653617,0.0338614412501663
"UNIBA1_NB","lVisPeri_ExStrSup_1","allcov",0.118970789431375,0.00937854582492514,0.995299680586242,0.1886,0.000126746841567416,0.151555145772452
"UNIBA1_NB","lVisPeri_StriCal_1","allcov",0.297829789485328,0.00274183622242852,0.998628140890077,0.7328,-4.34079973640309e-05,0.318398464842813
"UNIBA1_NB","rContA_IPS_1","allcov",0.490811485462045,-0.00142099398391937,1.00071024476814,0.856,2.29287782558348e-05,0.500828046389841
"UNIBA1_NB","rContA_PFCl_1","allcov",0.154430887726058,0.0075751542723419,0.996205222696437,0.3064,2.84931834633675e-05,0.187188954819464
"UNIBA1_NB","rContA_PFCl_2","allcov",0.209889390854566,0.00537901797965967,0.997306864520816,0.4986,0.00014164468283561,0.242646694629556
"UNIBA1_NB","rContB_IPL_1","allcov",0.00267944057207012,0.0325081151926706,0.983611653452382,0.0042,-0.000133123610812034,0.017665664294098
