"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"UNIBA2_FI","lContA_IPS_1","allcov",0.459763261688883,-0.00213209416878302,1.00106547946115,0.9222,-0.000208853889318367,0.88656845984412
"UNIBA2_FI","lContA_PFCl_1","allcov",0.806981992806952,-0.0182772065002252,1.0090972235123,0.363,0.000456551820153709,0.932927159314395
"UNIBA2_FI","lContA_PFCl_2","allcov",0.258748530557559,0.0104866595684969,0.994742851410103,0.6228,-0.000471178540593506,0.863167767668958
"UNIBA2_FI","lContB_PFClv_1","allcov",0.948912075092667,-0.0261634763517953,1.01299727361518,0.1626,2.56114220039486e-05,0.979230514503222
"UNIBA2_FI","lContC_Cingp_1","allcov",0.657551940844019,-0.0115291891726936,1.00574807440665,0.6006,0.000289851724787823,0.900753798897763
"UNIBA2_FI","lContC_pCun_1","allcov",0.74981558704473,-0.0156523544630192,1.00779579006018,0.4558,0.000276428631186507,0.92191551503037
"UNIBA2_FI","lContC_pCun_2","allcov",0.0254431055864335,0.0516565677821798,0.973829262354454,0.0242,0.00013351798069494,0.748940947591068
"UNIBA2_FI","lDefaultA_pCunPCC_1","allcov",0.185505025213691,0.0170862892395385,0.991420047588539,0.4048,0.000529797632551524,0.863167767668958
"UNIBA2_FI","lDefaultA_PFCd_1","allcov",0.338952985427622,0.00480448327245631,0.997594866029063,0.8218,-3.38022519307692e-05,0.863167767668958
"UNIBA2_FI","lDefaultA_PFCm_1","allcov",0.725022469498007,-0.0145395790242124,1.00724355496782,0.4814,-0.000266576935992657,0.92191551503037
"UNIBA2_FI","lDefaultB_IPL_1","allcov",0.424806872117306,-0.0002649854395258,1.00013248394377,0.989,-0.000417767358759674,0.875890457973827
"UNIBA2_FI","lDefaultB_PFCd_1","allcov",0.229337810446062,0.0129239394936171,0.993517015710543,0.5268,-0.00013855336922318,0.863167767668958
"UNIBA2_FI","lDefaultB_PFCl_1","allcov",0.443480009348625,-0.00127383571827289,1.00063671515604,0.955,-0.000488119988573639,0.88656845984412
"UNIBA2_FI","lDefaultB_PFCv_1","allcov",0.503984221096673,-0.00437610346533979,1.00218566317092,0.8408,0.000265151315487903,0.892007470967563
"UNIBA2_FI","lDefaultB_PFCv_2","allcov",0.649004362649634,-0.0111462864397207,1.00555769920961,0.6058,-0.000300548517319923,0.900753798897763
"UNIBA2_FI","lDefaultB_Temp_1","allcov",0.0141769245952738,0.0609202288011952,0.96906128351039,0.012,-0.000276063693142277,0.748940947591068
"UNIBA2_FI","lDefaultB_Temp_2","allcov",0.484711133521894,-0.00341245353922015,1.00170477364302,0.882,-0.000287752774819803,0.892007470967563
"UNIBA2_FI","lDefaultC_PHC_1","allcov",0.224105895175626,0.0133839785947459,0.99328546823421,0.5322,0.000191331677479811,0.863167767668958
"UNIBA2_FI","lDefaultC_Rsp_1","allcov",0.601787866656113,-0.00901007914874596,1.00449493734351,0.6656,0.000191831150239831,0.900753798897763
"UNIBA2_FI","lDorsAttnA_ParOcc_1","allcov",0.759602488586068,-0.0160946414364549,1.00801519901064,0.4306,0.000629175582130925,0.92191551503037
"UNIBA2_FI","lDorsAttnA_SPL_1","allcov",0.327986400421773,0.00551611945227415,0.997238126300698,0.792,-0.000153102075210411,0.863167767668958
"UNIBA2_FI","lDorsAttnA_TempOcc_1","allcov",0.397057173127721,0.0012890841945975,0.999355250051453,0.9494,0.000178440019956315,0.863167767668958
"UNIBA2_FI","lDorsAttnB_FEF_1","allcov",0.187670936640814,0.0168621251237636,0.991533093182591,0.4084,0.000293077269561543,0.863167767668958
"UNIBA2_FI","lDorsAttnB_PostC_1","allcov",0.113134438347154,0.0263164184069459,0.98675406337803,0.1738,0.000228186371556827,0.85864594350789
"UNIBA2_FI","lDorsAttnB_PostC_2","allcov",0.047646588435574,0.0413540914566398,0.979104646370019,0.0496,0.000216934192275106,0.819576086096267
"UNIBA2_FI","lDorsAttnB_PostC_3","allcov",0.00419967141955906,0.0793788180194751,0.959490063513179,0.0038,-0.000520897104923932,0.748940947591068
"UNIBA2_FI","lLimbicA_TempPole_1","allcov",0.108784417375482,0.0270250621831718,0.986394919804856,0.141,-0.000850968117609053,0.85864594350789
"UNIBA2_FI","lLimbicA_TempPole_2","allcov",0.0347878002044504,0.046572211172654,0.976436269721351,0.0344,-0.000470375929812252,0.8125473177996
"UNIBA2_FI","lLimbicB_OFC_1","allcov",0.503465402017331,-0.00435042887740922,1.0021728537919,0.846,0.00040472712917934,0.892007470967563
"UNIBA2_FI","lSalVentAttnA_FrMed_1","allcov",0.287013701233019,0.00834557198185426,0.995818471418434,0.6944,-0.000361552245817107,0.863167767668958
"UNIBA2_FI","lSalVentAttnA_Ins_1","allcov",0.754125288261605,-0.0158468587596139,1.00789228529621,0.45,4.0375530920204e-05,0.92191551503037
"UNIBA2_FI","lSalVentAttnA_Ins_2","allcov",0.635421055476231,-0.0105358373344768,1.00525411580081,0.6198,9.23394109448448e-05,0.900753798897763
"UNIBA2_FI","lSalVentAttnA_ParMed_1","allcov",0.684011170587106,-0.0127104618246294,1.00633516376237,0.5428,6.05178807324389e-05,0.901885917503938
"UNIBA2_FI","lSalVentAttnA_ParOper_1","allcov",0.118015293036683,0.0255496287930846,0.987142528314385,0.1966,0.000420599091210565,0.85864594350789
"UNIBA2_FI","lSalVentAttnB_PFCl_1","allcov",0.897295376321296,-0.0228625171841281,1.0113666581335,0.2344,-6.66994039049613e-05,0.959355194841168
"UNIBA2_FI","lSalVentAttnB_PFCmp_1","allcov",0.647955547847804,-0.0110992429554935,1.00553430719966,0.6076,0.000107391865753346,0.900753798897763
"UNIBA2_FI","lSomMotA_1","allcov",0.403314644184137,0.000932467088824329,0.999533657718026,0.9694,-0.000410188575039602,0.867343320826101
"UNIBA2_FI","lSomMotA_2","allcov",0.437017606167329,-0.000927800295846382,1.00046379259614,0.965,9.09713449520041e-05,0.882863850843089
"UNIBA2_FI","lSomMotB_Aud_1","allcov",0.230994270398381,0.012780087672923,0.993589408320699,0.5436,0.000227891031831402,0.863167767668958
"UNIBA2_FI","lSomMotB_Cent_1","allcov",0.301434075683805,0.007316385145684,0.996335091650553,0.732,-0.000468679857721321,0.863167767668958
"UNIBA2_FI","lSomMotB_S2_1","allcov",0.760888550375281,-0.0161529238704956,1.0080441080977,0.4346,-0.000538570238256393,0.92191551503037
"UNIBA2_FI","lSomMotB_S2_2","allcov",0.492083665173754,-0.00378353484474303,1.00188998140751,0.8686,0.000359805841764718,0.892007470967563
"UNIBA2_FI","lTempPar_1","allcov",0.49260090003725,-0.00380945193178839,1.00190291542234,0.8572,-0.00022492915812883,0.892007470967563
"UNIBA2_FI","lVisCent_ExStr_1","allcov",0.329613611809091,0.00540942073268025,0.997291621977905,0.803,0.000600709926026144,0.863167767668958
"UNIBA2_FI","lVisCent_ExStr_2","allcov",0.657741638947865,-0.0115376778376171,1.00575229447296,0.5872,-0.000304848922312109,0.900753798897763
"UNIBA2_FI","lVisCent_ExStr_3","allcov",0.260883335432924,0.0103186272800939,0.994827307988631,0.6346,-8.07275668991555e-06,0.863167767668958
"UNIBA2_FI","lVisCent_Striate_1","allcov",0.157516105754058,0.0202048662838804,0.989846015153933,0.3118,-0.000386276699468239,0.85864594350789
"UNIBA2_FI","lVisPeri_ExStrInf_1","allcov",0.72191404771012,-0.0144006280822198,1.00717457676523,0.4908,-0.000542590539189266,0.92191551503037
"UNIBA2_FI","lVisPeri_ExStrSup_1","allcov",0.200484116036325,0.0155790843426596,0.992179880695703,0.4544,0.000209751400232599,0.863167767668958
"UNIBA2_FI","lVisPeri_StriCal_1","allcov",0.262490221013628,0.0101928722894307,0.994890510413367,0.6416,0.000654350987024857,0.863167767668958
"UNIBA2_FI","rContA_IPS_1","allcov",0.602953905969662,-0.00906339120269473,1.00452147373896,0.6802,0.000207830787685613,0.900753798897763
