"Dataset","ROI","Analysis","p_value","R","SE","Empirical_p_value","Avg_R","pFDR"
"UNIBA2_RS","lContA_IPS_1","allcov",0.109399965624793,0.017260731931557,0.991332067507373,0.147,0.000149217493783724,0.99923170040217
"UNIBA2_RS","lContA_PFCl_1","allcov",0.872270010895094,-0.0137580078677466,1.00685550495975,0.2778,-0.000293865928218923,0.99923170040217
"UNIBA2_RS","lContA_PFCl_2","allcov",0.904012724897738,-0.0148666081423523,1.00740588053791,0.2178,0.000201152632948228,0.99923170040217
"UNIBA2_RS","lContB_PFClv_1","allcov",0.86565904419649,-0.0135391474730804,1.00674681398705,0.2784,0.000229548128821912,0.99923170040217
"UNIBA2_RS","lContC_Cingp_1","allcov",0.918999449425922,-0.0154352107938593,1.00768805232267,0.209,0.00020808115067975,0.99923170040217
"UNIBA2_RS","lContC_pCun_1","allcov",0.393993829578472,0.000885699461290246,0.999557052167964,0.9536,0.000153517497308131,0.99923170040217
"UNIBA2_RS","lContC_pCun_2","allcov",0.989239383398148,-0.0193003994173586,1.00960408052729,0.106,-1.08769381492615e-05,0.99923170040217
"UNIBA2_RS","lDefaultA_pCunPCC_1","allcov",0.893853075183637,-0.0144997023114575,1.00722375980288,0.2518,5.43712313633328e-05,0.99923170040217
"UNIBA2_RS","lDefaultA_PFCd_1","allcov",0.649173051784744,-0.00717528769140574,1.00358123123712,0.608,-0.000286525916052586,0.99923170040217
"UNIBA2_RS","lDefaultA_PFCm_1","allcov",0.589931454547664,-0.00546132451210246,1.00272694414387,0.698,-0.00016820644467871,0.99923170040217
"UNIBA2_RS","lDefaultB_IPL_1","allcov",0.379651375325864,0.00142144143151202,0.999289026542616,0.9182,-8.76009750683704e-05,0.99923170040217
"UNIBA2_RS","lDefaultB_PFCd_1","allcov",0.944518468952299,-0.0165115638007109,1.00822198141119,0.1762,0.000405456779885268,0.99923170040217
"UNIBA2_RS","lDefaultB_PFCl_1","allcov",0.950561411753895,-0.0167955300427218,1.0083627968359,0.1622,-8.08856799817579e-05,0.99923170040217
"UNIBA2_RS","lDefaultB_PFCv_1","allcov",0.656709832074286,-0.00739048151237887,1.00368843846703,0.588,2.61338294218858e-05,0.99923170040217
"UNIBA2_RS","lDefaultB_PFCv_2","allcov",0.813414563954104,-0.0119028139548607,1.00593380197449,0.3522,-3.08489338526768e-05,0.99923170040217
"UNIBA2_RS","lDefaultB_Temp_1","allcov",0.559374656844187,-0.00455424915762848,1.00227453781767,0.7428,0.0002609958387588,0.99923170040217
"UNIBA2_RS","lDefaultB_Temp_2","allcov",0.625790750133059,-0.00650428165323991,1.00324686974505,0.6394,1.57425070885006e-05,0.99923170040217
"UNIBA2_RS","lDefaultC_PHC_1","allcov",0.795460984035353,-0.0113672039128023,1.00566754144339,0.3854,-6.13165238987755e-05,0.99923170040217
"UNIBA2_RS","lDefaultC_Rsp_1","allcov",0.78790206553124,-0.0111444635717433,1.00555679281269,0.4008,9.40063297951979e-06,0.99923170040217
"UNIBA2_RS","lDorsAttnA_ParOcc_1","allcov",0.96684088837395,-0.0176510634572393,1.00878692668831,0.1358,-3.81988463626261e-05,0.99923170040217
"UNIBA2_RS","lDorsAttnA_SPL_1","allcov",0.561308957581017,-0.00461226969970752,1.00230348183557,0.7392,4.07373846145345e-05,0.99923170040217
"UNIBA2_RS","lDorsAttnA_TempOcc_1","allcov",0.945031338408594,-0.0165351214806473,1.00823366412784,0.1834,0.00051717615253936,0.99923170040217
"UNIBA2_RS","lDorsAttnB_FEF_1","allcov",0.753198914445855,-0.010137338290803,1.00505588814294,0.4404,-3.6515683779218e-05,0.99923170040217
"UNIBA2_RS","lDorsAttnB_PostC_1","allcov",0.939565133041463,-0.0162886802881583,1.00811144239521,0.1746,1.17248807717232e-05,0.99923170040217
"UNIBA2_RS","lDorsAttnB_PostC_2","allcov",0.792546443276345,-0.0112811459733202,1.00562475405756,0.3922,0.000402598250906462,0.99923170040217
"UNIBA2_RS","lDorsAttnB_PostC_3","allcov",0.85079412290181,-0.0130584490368433,1.00650804717938,0.3024,0.000478003529170272,0.99923170040217
"UNIBA2_RS","lLimbicA_TempPole_1","allcov",0.907812797205178,-0.0150074211748961,1.00747576704102,0.2204,-4.06117044924406e-05,0.99923170040217
"UNIBA2_RS","lLimbicA_TempPole_2","allcov",0.877435522686685,-0.0139314977324438,1.00694165557516,0.265,-1.25015968317816e-06,0.99923170040217
"UNIBA2_RS","lLimbicB_OFC_1","allcov",0.872567310060257,-0.0137679318623054,1.00686043315958,0.2786,3.42618889813124e-05,0.99923170040217
"UNIBA2_RS","lSalVentAttnA_FrMed_1","allcov",0.969362823146647,-0.0177999325914155,1.00886071020306,0.141,-1.23606438176325e-05,0.99923170040217
"UNIBA2_RS","lSalVentAttnA_Ins_1","allcov",0.884573982573958,-0.0141752054884765,1.00706266214594,0.2582,0.000158032448484968,0.99923170040217
"UNIBA2_RS","lSalVentAttnA_Ins_2","allcov",0.972546535596566,-0.017996552769926,1.00895815214008,0.1314,-1.80061374493461e-05,0.99923170040217
"UNIBA2_RS","lSalVentAttnA_ParMed_1","allcov",0.790661228933965,-0.0112255993418671,1.00559713570687,0.3846,0.000207977725049907,0.99923170040217
"UNIBA2_RS","lSalVentAttnA_ParOper_1","allcov",0.375019739717108,0.00159748556504291,0.999200937967413,0.9114,0.000244431591109303,0.99923170040217
"UNIBA2_RS","lSalVentAttnB_PFCl_1","allcov",0.926370816283774,-0.0157297187471868,1.0078341722462,0.1986,6.9820085511574e-05,0.99923170040217
