Dataset,ROI,Analysis,p_value,R,SE,Empirical_p_value,Avg_R,pFDR
UKBB_FACES,lVisCent_ExStr_1,allcov,1.795037069966621e-6,0.006154376250769533,0.9969180627058715,0,-4.865090526804542e-6,2.67915980592033e-6
UKBB_FACES,lVisCent_ExStr_2,allcov,2.419741075654561e-6,0.006019504781130114,0.9969857046211191,0,1.0978893698084804e-6,3.506871124137045e-6
UKBB_FACES,lVisCent_Striate_1,allcov,0.020593209201539505,0.0017320574468043803,0.9991335959486054,0.019,-1.5235787975608143e-5,0.020801221415696472
UKBB_FACES,lVisCent_ExStr_3,allcov,1.2467502181830783e-5,0.005274537026901616,0.9973592446922522,0,8.41835921490804e-6,1.684797592139295e-5
UKBB_FACES,lVisPeri_ExStrInf_1,allcov,1.7025931900399248e-6,0.006178230871925594,0.9969060984506399,0,-1.2001736613624226e-5,2.6187155161630293e-6
UKBB_FACES,lVisPeri_StriCal_1,allcov,7.455177854487085e-7,0.006549912621146126,0.9967196633852751,0,8.240643655068996e-6,1.2635894668622179e-6
UKBB_FACES,lVisPeri_ExStrSup_1,allcov,0.005085811979372987,0.002437912104372053,0.9987803001139077,0.0044,3.058272840205191e-7,0.005297720811846862
UKBB_FACES,lSomMotA_1,allcov,6.089326044607942e-13,0.012691621762972227,0.9936339256673099,0,-1.2027040119003922e-5,6.089326044607942e-12
UKBB_FACES,lSomMotA_2,allcov,1.1041320839260958e-6,0.006373361436121661,0.9968082255699324,0,6.677376872457191e-6,1.7808581998807995e-06
UKBB_FACES,lSomMotB_Aud_1,allcov,3.454703994574896e-9,0.008935368702549074,0.9955222907084764,0,-1.572452968173267e-5,1.0209374431692582e-8
UKBB_FACES,lSomMotB_S2_1,allcov,9.096774453561516e-7,0.00646049477416577,0.9967645184424634,0,-4.933512060956843e-6,1.516129075593586e-6
UKBB_FACES,lSomMotB_S2_2,allcov,3.6903329325890623e-16,0.01586157743096117,0.9920375106663221,0,-1.160859556370925e-5,1.8451664662945313e-14
UKBB_FACES,lSomMotB_Cent_1,allcov,5.896865085736439e-10,0.009710254859942813,0.9951330288660195,0,4.6065727594309585e-06,2.484087340392523e-9
UKBB_FACES,lDorsAttnA_TempOcc_1,allcov,1.3174550716246e-7,0.007324975712761916,0.9963307805579635,0,3.6234800087666262e-6,2.485764286084151e-7
UKBB_FACES,lDorsAttnA_ParOcc_1,allcov,5.62775505429192e-4,0.00350320120807579,0.9982468626506784,2e-4,6.624123381061875e-6,6.32332028572126e-4
UKBB_FACES,lDorsAttnA_SPL_1,allcov,1.1030133194147766e-7,0.007404074829383989,0.9962910845584315,0,-9.178191443448002e-7,2.2060266388295533e-7
UKBB_FACES,lDorsAttnB_PostC_1,allcov,1.9701607599529576e-9,0.009181973027784007,0.995398426245599,0,9.027493590766618e-6,6.427768205141824e-9
UKBB_FACES,lDorsAttnB_PostC_2,allcov,1.0969174559200251e-9,0.009438667025528091,0.9952694775659885,0,2.606783397068365e-6,4.062657244148241e-9
UKBB_FACES,lDorsAttnB_PostC_3,allcov,1.2274743714673992e-5,0.005281656738682194,0.9973556754043743,2e-4,2.1248956573699137e-6,1.681471741736163e-5
UKBB_FACES,lDorsAttnB_FEF_1,allcov,3.034811937986191e-8,0.007976916614278795,0.9960035559101797,0,1.4729743699167574e-5,6.897299859059526e-8
UKBB_FACES,lSalVentAttnA_ParOper_1,allcov,1.1215610939948485e-8,0.008416864726544238,0.995782674720471,0,8.276959794100844e-6,2.8039027349871213e-8
UKBB_FACES,lSalVentAttnA_Ins_1,allcov,1.3321579257744169e-10,0.010359342980010733,0.9948068440757681,0,1.4559177849107851e-5,7.836223092790688e-10
UKBB_FACES,lSalVentAttnA_Ins_2,allcov,5.996805008162249e-13,0.012698212888862415,0.9936306089846165,0,-1.928794092847144e-5,6.089326044607942e-12
UKBB_FACES,lSalVentAttnA_ParMed_1,allcov,9.720506914978613e-6,0.005388164591796474,0.9973022788544116,0,-2.694178391812319e-6,1.3500704048581406e-5
UKBB_FACES,lSalVentAttnA_FrMed_1,allcov,8.590185795893557e-4,0.0033016950693138813,0.9983477875623774,0.001,8.3435170200607e-6,9.439764610872041e-4
UKBB_FACES,lSalVentAttnB_PFCl_1,allcov,2.9802610229895046e-8,0.007984947647157181,0.9959995242734031,0,1.9935052200853787e-6,6.897299859059526e-8
UKBB_FACES,lSalVentAttnB_PFCmp_1,allcov,4.396210948132163e-13,0.01283183467977489,0.9935633675414085,0,-5.78361051704579e-6,5.495263685165204e-12
UKBB_FACES,lLimbicB_OFC_1,allcov,1.0277274489243087e-10,0.010472294332978915,0.994750071961305,0,1.6442137695647493e-5,6.423296555776929e-10
UKBB_FACES,lLimbicA_TempPole_1,allcov,1.485875963892821e-13,0.013298086770929585,0.9933287035161454,0,-2.1044371280676268e-5,2.9717519277856422e-12
UKBB_FACES,lLimbicA_TempPole_2,allcov,6.39692078013841e-5,0.0045223798730823495,0.9977362477763942,2e-4,1.4358125336346493e-5,7.615381881117155e-5
UKBB_FACES,lContA_IPS_1,allcov,2.410041355642043e-7,0.007055616584037638,0.9964659469424753,0,-7.906230426383347e-6,4.30364527793222e-7
UKBB_FACES,lContA_PFCl_1,allcov,1.736847894999027e-11,0.011244411268418464,0.9943619002815743,0,-2.3799328322104584e-6,1.1578985966660181e-10
UKBB_FACES,lContA_PFCl_2,allcov,1.0858966577109051e-7,0.007411035356891915,0.9962875913324979,0,9.306971877213856e-6,2.2060266388295533e-7
UKBB_FACES,lContB_PFClv_1,allcov,1.645334944477701e-9,0.00926099573513739,0.995358731445533,0,-8.403058233582455e-6,5.683176618925848e-9
UKBB_FACES,lContC_pCun_1,allcov,0.019992358611573693,0.0017473435593358122,0.999125946235341,0.0216,8.222042154919773e-6,0.020400365930177237
UKBB_FACES,lContC_pCun_2,allcov,0.016370972758983176,0.0018500611749396878,0.9990745411755112,0.0164,-3.5821962640236726e-6,0.016877291504106363
UKBB_FACES,lContC_Cingp_1,allcov,3.8013116541396173e-6,0.005815052611983895,0.9970882345048584,0,3.819188802889813e-6,5.430445220199453e-6
UKBB_FACES,lDefaultA_PFCd_1,allcov,2.4086733236945366e-7,0.007055870167826939,0.9964658197008944,0,7.369123879691455e-7,4.30364527793222e-7
