Dataset,ROI,Analysis,p_value,R,SE,Empirical_p_value,Avg_R,pFDR
UKBB_REST,lVisCent_ExStr_1,allcov,1.4629234804364738e-10,0.009674573181025714,0.9951509567995066,0,-3.200241360339029e-7,2.566532421818375e-10
UKBB_REST,lVisCent_ExStr_2,allcov,3.1627938968346585e-5,0.004544285813476434,0.9977252698947378,0,-3.1433733805551185e-6,3.635395283717998e-5
UKBB_REST,lVisCent_Striate_1,allcov,1.226877657804845e-4,0.003955615060606932,0.9980202327304735,2e-4,-5.377474857775171e-7,1.3335626715270054e-4
UKBB_REST,lVisCent_ExStr_3,allcov,2.5195371858954312e-9,0.008507375171017406,0.9957372267968002,0,8.493527716228471e-6,3.817480584690047e-9
UKBB_REST,lVisPeri_ExStrInf_1,allcov,1.2771476403514486e-12,0.011601117533404648,0.9941825196947449,0,2.4952336978508285e-6,2.8381058674476636e-12
UKBB_REST,lVisPeri_StriCal_1,allcov,6.576767165261884e-10,0.009059307017735496,0.9954600408767112,0,-6.092754262182125e-6,1.0781585516822762e-9
UKBB_REST,lVisPeri_ExStrSup_1,allcov,5.790382098535389e-5,0.004282598579052221,0.9978564032068657,0,-1.047218592090828e-5,6.579979657426579e-5
UKBB_REST,lSomMotA_1,allcov,3.3613089380811666e-14,0.013067293656254253,0.993444868296044,0,-7.767357326072516e-6,8.618740866874787e-14
UKBB_REST,lSomMotA_2,allcov,1.0487886546548092e-7,0.006962376933852821,0.9965127310105728,0,2.583757323959959e-6,1.3620631878633884e-7
UKBB_REST,lSomMotB_Aud_1,allcov,1.2609606070324892e-21,0.019862654038797944,0.9900188614168944,0,-4.07723187279087e-6,1.2609606070324891e-20
UKBB_REST,lSomMotB_S2_1,allcov,1.1996240806755507e-15,0.014403243167127378,0.9927722582913306,0,1.0298612415327164e-5,4.1366347609501745e-15
UKBB_REST,lSomMotB_S2_2,allcov,6.871609506007137e-28,0.025506940777460185,0.987164150089811,0,-6.683219632734052e-6,6.871609506007137e-26
UKBB_REST,lSomMotB_Cent_1,allcov,6.767031230457949e-16,0.014632091260562197,0.992656994504868,0,7.730462285805714e-6,2.7068124921831795e-15
UKBB_REST,lDorsAttnA_TempOcc_1,allcov,4.745031538460756e-11,0.010133930049829987,0.994920132447912,0,-5.136567188931865e-7,8.952889695208974e-11
UKBB_REST,lDorsAttnA_ParOcc_1,allcov,2.0012495391749896e-8,0.007651270788723297,0.9961670187329398,0,-3.092689270682329e-6,2.779513248854152e-8
