Unnamed: 0,ROI,meanR,pval,session
0,lContA_IPS_1,0.011374024365064543,5.014171312440078e-7,FI
1,lContA_PFCl_1,0.005612904816532026,1.2718454748488703e-9,FI
2,lContA_PFCl_2,0.007298216888642892,2.8363223106109326e-7,FI
3,lContB_PFClv_1,0.008060915362626138,1.7802818433482856e-10,FI
4,lContC_Cingp_1,0.004999834958769948,6.675782269086962e-7,FI
5,lContC_pCun_1,8.427363939849403e-4,0.015107673405052308,FI
6,lContC_pCun_2,0.01422805856082814,7.309666396717028e-4,FI
7,lDefaultA_PFCd_1,0.009466803427958675,1.7334686874153861e-7,FI
8,lDefaultA_PFCm_1,0.007928094479963305,2.4312532296595463e-10,FI
9,lDefaultA_pCunPCC_1,0.011457056741997106,2.661075499092732e-7,FI
10,lDefaultB_IPL_1,0.007073925490284199,3.2578448799915806e-8,FI
11,lDefaultB_PFCd_1,0.01109015136490951,1.3528808538048424e-10,FI
12,lDefaultB_PFCl_1,9.557221526962867e-4,0.0023636093430706704,FI
13,lDefaultB_PFCv_1,0.013734925783855493,1.9597071410682978e-8,FI
14,lDefaultB_PFCv_2,0.012456614995751951,8.419635883110158e-15,FI
15,lDefaultB_Temp_1,0.02102992760540466,5.436130907847436e-18,FI
16,lDefaultB_Temp_2,0.00968050740167365,8.556869872581822e-8,FI
17,lDefaultC_PHC_1,0.006139040293965702,1.6125534970179703e-5,FI
18,lDefaultC_Rsp_1,0.006470427296180567,1.615212777070913e-7,FI
19,lDorsAttnA_ParOcc_1,0.0021543319819358965,6.706404203995827e-4,FI
20,lDorsAttnA_SPL_1,0.00755619929084269,1.1578431566160926e-7,FI
21,lDorsAttnA_TempOcc_1,0.012334562654018591,2.939608688659936e-11,FI
22,lDorsAttnB_FEF_1,0.015182853152186086,7.249232520579929e-10,FI
23,lDorsAttnB_PostC_1,0.009251473228532515,4.214612119577837e-8,FI
24,lDorsAttnB_PostC_2,0.013802709348962276,1.0622295788572368e-8,FI
25,lDorsAttnB_PostC_3,0.01731048300089656,4.4672063965704415e-7,FI
26,lLimbicA_TempPole_1,0.016191551958554786,1.6573655768391408e-18,FI
27,lLimbicA_TempPole_2,0.011792121548566854,3.061541065146718e-6,FI
28,lLimbicB_OFC_1,0.010446607916708543,2.1713954068568592e-10,FI
29,lSalVentAttnA_FrMed_1,0.01113649702741891,2.713372459564016e-4,FI
30,lSalVentAttnA_Ins_1,0.01115655990772196,5.223093847629361e-13,FI
31,lSalVentAttnA_Ins_2,0.009302110450726939,4.856904567956717e-13,FI
32,lSalVentAttnA_ParMed_1,0.004177746290741312,1.0661696702786906e-4,FI
33,lSalVentAttnA_ParOper_1,0.01640838812557864,1.0496490286154467e-10,FI
34,lSalVentAttnB_PFCl_1,0.001255407737506502,3.023059219771323e-7,FI
35,lSalVentAttnB_PFCmp_1,0.007608982878168511,6.798247437446692e-13,FI
36,lSomMotA_1,0.018148432478434815,2.5906568088099882e-17,FI
37,lSomMotA_2,0.014493764525936103,1.0714724733891665e-9,FI
38,lSomMotB_Aud_1,0.006969030443671822,6.293889640854885e-9,FI
39,lSomMotB_Cent_1,0.007541073729870908,2.030715936757567e-9,FI
40,lSomMotB_S2_1,9.395374267295783e-4,1.048019742750258e-5,FI
41,lSomMotB_S2_2,0.011073416080538375,4.640149820342377e-15,FI
42,lTempPar_1,0.0050187750825176685,7.210968840040538e-7,FI
43,lVisCent_ExStr_1,0.01313975713841699,2.5836252637700307e-10,FI
44,lVisCent_ExStr_2,0.005724303561755294,2.9895855212795124e-6,FI
45,lVisCent_ExStr_3,0.00736753519171661,1.6407596463807497e-5,FI
46,lVisCent_Striate_1,0.008236226616727679,4.606834443743307e-4,FI
47,lVisPeri_ExStrInf_1,0.008914942793733917,5.115641343811144e-9,FI
48,lVisPeri_ExStrSup_1,0.007630589532799198,3.679752417664531e-5,FI
49,lVisPeri_StriCal_1,0.012669197788072881,4.7825910823402745e-8,FI
50,rContA_IPS_1,0.014101203372097465,4.63504987301402e-5,FI
51,rContA_PFCl_1,0.006187702827484606,2.00930575944683e-9,FI
52,rContA_PFCl_2,0.004188652444155693,9.708741062690461e-9,FI
53,rContB_IPL_1,0.01657862282609119,2.6625506971387218e-9,FI
54,rContB_PFCld_1,0.0014509327982289984,1.437183335678524e-4,FI
55,rContB_PFClv_1,0.007911675758641806,5.985155424363943e-14,FI
56,rContB_Temp_1,0.013482994684962366,6.205345687499015e-10,FI
57,rContC_Cingp_1,0.008422317898970572,4.136424847376972e-6,FI
58,rContC_pCun_1,0.009005133505142945,1.395380995930566e-4,FI
59,rDefaultA_IPL_1,0.01687390373088258,2.1534820210187077e-13,FI
60,rDefaultA_PFCd_1,0.0066026627258753395,1.3487561072742417e-8,FI
61,rDefaultA_PFCm_1,0.007450996022004658,1.4787126801130188e-10,FI
62,rDefaultA_pCunPCC_1,0.013162877756473717,3.9834357573932044e-8,FI
63,rDefaultB_PFCd_1,0.004541634005225785,8.857379667460342e-9,FI
64,rDefaultB_PFCv_1,0.014414074807739267,1.1175789749010686e-9,FI
65,rDefaultB_PFCv_2,0.006245602906936836,6.974785997547949e-10,FI
66,rDefaultC_PHC_1,0.009379915328357769,1.5328663407578967e-12,FI
67,rDefaultC_Rsp_1,0.006839015013212122,2.8897276284701498e-6,FI
68,rDorsAttnA_ParOcc_1,0.008208973984420703,1.7281809219496028e-4,FI
69,rDorsAttnA_SPL_1,3.49329575260013e-4,0.010831146355241239,FI
70,rDorsAttnA_TempOcc_1,0.01595446972106358,7.245509112833747e-10,FI
71,rDorsAttnB_FEF_1,0.011182932748900138,6.782062974836211e-5,FI
72,rDorsAttnB_PostC_1,0.014007612689937426,3.365065098914312e-8,FI
73,rDorsAttnB_PostC_2,0.010951665475162287,2.3229292670960504e-4,FI
74,rLimbicA_TempPole_1,0.010199148619678333,7.420361552624757e-17,FI
75,rLimbicB_OFC_1,0.011417749646848014,1.0650554639296262e-9,FI
76,rSalVentAttnA_FrMed_1,0.008022966512052703,5.646904153435068e-6,FI
77,rSalVentAttnA_Ins_1,0.009304116832111516,7.65606805173339e-18,FI
78,rSalVentAttnA_ParMed_1,0.0047466524950315605,9.542837339776622e-5,FI
79,rSalVentAttnA_ParOper_1,0.0036302000160462963,6.006443504644401e-8,FI
80,rSalVentAttnB_IPL_1,0.007850481137968886,9.922113393534605e-4,FI
81,rSalVentAttnB_PFCl_1,0.006118124863504223,8.39912790969235e-9,FI
82,rSalVentAttnB_PFCmp_1,0.011846538496214665,1.7327975371380468e-10,FI
83,rSomMotA_1,0.010967835736959482,4.767603860257887e-13,FI
84,rSomMotA_2,0.01808367133334894,1.1523788976650636e-11,FI
85,rSomMotA_3,0.014744387830428477,1.5271852313700967e-9,FI
86,rSomMotA_4,0.017147805015065114,1.821929072286283e-9,FI
87,rSomMotB_Aud_1,0.005375877021825937,7.57462482717439e-8,FI
88,rSomMotB_Cent_1,0.0037007272880658585,2.6168413068786873e-7,FI
89,rSomMotB_S2_1,0.004621896976938975,4.300629515197494e-9,FI
90,rSomMotB_S2_2,0.006889336803369063,1.005855618426338e-8,FI
91,rTempPar_1,0.006819719552791035,6.48183470002584e-13,FI
92,rTempPar_2,0.01934676861328504,4.279823981290016e-12,FI
93,rTempPar_3,0.012959428205666848,1.57060618885158e-8,FI
94,rVisCent_ExStr_1,0.011947022881620875,8.174484653077194e-13,FI
95,rVisCent_ExStr_2,0.016332048536063,2.275770340755404e-8,FI
96,rVisCent_ExStr_3,0.015697848602724752,4.406472694099901e-7,FI
97,rVisPeri_ExStrInf_1,0.00251130546935436,4.289090399004428e-6,FI
98,rVisPeri_ExStrSup_1,0.010904656170820409,1.4335320251106271e-5,FI
99,rVisPeri_StriCal_1,0.017511257888692126,2.165613517112967e-9,FI
100,lContA_IPS_1,0.019869813793675622,1.145146713007835e-16,RS
101,lContA_PFCl_1,0.008572849343367859,3.71440716563674e-15,RS
102,lContA_PFCl_2,0.007568935911928051,3.469785539670825e-8,RS
103,lContB_PFClv_1,0.007790914130834785,7.933568751860147e-17,RS
104,lContC_Cingp_1,-0.0014855009735209217,5.731366666707075e-9,RS
105,lContC_pCun_1,0.0072088332310700975,0.02534038089157435,RS
106,lContC_pCun_2,-0.0018371074414307899,3.3173983696180303e-4,RS
107,lDefaultA_PFCd_1,0.01175720982009659,4.541392136944231e-10,RS
108,lDefaultA_PFCm_1,0.012473136634703591,1.0043933001083154e-16,RS
109,lDefaultA_pCunPCC_1,0.002387733114067417,2.0624990472401632e-7,RS
110,lDefaultB_IPL_1,0.010920255848223117,2.1695160767491344e-17,RS
111,lDefaultB_PFCd_1,0.016930175149182672,5.4454285102410815e-14,RS
112,lDefaultB_PFCl_1,2.5549163783136514e-4,1.1371623139483142e-6,RS
113,lDefaultB_PFCv_1,0.018689230593653464,9.904871546017812e-15,RS
114,lDefaultB_PFCv_2,0.007407738221771186,1.1500021737073815e-18,RS
115,lDefaultB_Temp_1,0.011066109007777028,1.0959478157160755e-19,RS
116,lDefaultB_Temp_2,0.006953816518012688,2.342456915928326e-10,RS
117,lDefaultC_PHC_1,0.009121405258062034,3.6261578563095006e-12,RS
118,lDefaultC_Rsp_1,0.008959250868142076,1.6069629046190386e-8,RS
119,lDorsAttnA_ParOcc_1,0.0011551663735891175,1.0779212781897469e-7,RS
120,lDorsAttnA_SPL_1,0.010506633765396785,1.9717944232136017e-10,RS
121,lDorsAttnA_TempOcc_1,0.0032428582552133287,2.2392184860639855e-12,RS
122,lDorsAttnB_FEF_1,0.008666146717444043,2.060377921610064e-6,RS
123,lDorsAttnB_PostC_1,0.010921283546941562,2.2438798681595485e-26,RS
124,lDorsAttnB_PostC_2,0.01011754608624887,6.425156372323086e-12,RS
125,lDorsAttnB_PostC_3,0.0066764690521060165,1.8618851962189107e-9,RS
126,lLimbicA_TempPole_1,0.0051662453870691665,9.581968578189727e-23,RS
127,lLimbicA_TempPole_2,0.0024593881208631154,8.066916776856294e-9,RS
128,lLimbicB_OFC_1,0.012780624807437399,3.330833475909196e-17,RS
129,lSalVentAttnA_FrMed_1,0.007207460818978936,1.0508219859933677e-5,RS
130,lSalVentAttnA_Ins_1,0.010396178561622687,2.376600257223804e-19,RS
131,lSalVentAttnA_Ins_2,0.012580541514347657,2.6677209068024093e-16,RS
132,lSalVentAttnA_ParMed_1,0.008303120113406745,1.82113813493086e-5,RS
133,lSalVentAttnA_ParOper_1,0.00539731057501777,1.0650703142412039e-21,RS
134,lSalVentAttnB_PFCl_1,0.012850529362131524,1.9199280970597598e-14,RS
135,lSalVentAttnB_PFCmp_1,0.014467649811367287,2.1747688339808622e-16,RS
136,lSomMotA_1,0.019555635772332703,1.0727610763873405e-19,RS
137,lSomMotA_2,0.015694293771716772,9.019606929098635e-11,RS
138,lSomMotB_Aud_1,0.0032737426955392734,1.7810135073718563e-20,RS
139,lSomMotB_Cent_1,0.007607620996267482,4.470133844265178e-15,RS
140,lSomMotB_S2_1,0.005161188278916597,9.689198871899539e-15,RS
141,lSomMotB_S2_2,0.011406141958537808,1.741902410513077e-28,RS
142,lTempPar_1,0.007169467842408585,1.1991808200283111e-11,RS
143,lVisCent_ExStr_1,0.005140479034768736,1.7216192295073411e-12,RS
144,lVisCent_ExStr_2,-0.00462315134499609,4.2603833002139616e-5,RS
145,lVisCent_ExStr_3,0.008128630214037433,1.486003564918913e-8,RS
146,lVisCent_Striate_1,-0.0020558021320105685,1.6984244651484183e-4,RS
147,lVisPeri_ExStrInf_1,0.0017665068157640673,4.45684612617308e-12,RS
148,lVisPeri_ExStrSup_1,0.006179406537519317,3.985255678757296e-5,RS
149,lVisPeri_StriCal_1,0.003843040052824072,2.8390560268024765e-7,RS
150,rContA_IPS_1,0.008579529348006678,1.8659736023481032e-8,RS
151,rContA_PFCl_1,0.012128487666168619,1.403152875579019e-16,RS
152,rContA_PFCl_2,0.013126616303502717,3.3296796842374165e-14,RS
153,rContB_IPL_1,0.011072272067288846,9.025931419888312e-11,RS
154,rContB_PFCld_1,0.013204928686259353,1.8322762912126206e-11,RS
155,rContB_PFClv_1,0.012167198039424917,1.3742503579368663e-25,RS
156,rContB_Temp_1,0.005051217968291059,3.122295714409045e-8,RS
157,rContC_Cingp_1,0.0033248578077934013,1.6228324600609925e-6,RS
158,rContC_pCun_1,0.00412891710706007,1.2125809469741253e-4,RS
159,rDefaultA_IPL_1,0.01653662119795893,8.750811032235435e-23,RS
160,rDefaultA_PFCd_1,0.0021109717411118387,6.007945349808519e-9,RS
161,rDefaultA_PFCm_1,0.009088244075442795,7.287027574793013e-16,RS
162,rDefaultA_pCunPCC_1,8.745676005101993e-4,6.674734839294456e-4,RS
163,rDefaultB_PFCd_1,0.0039024618978736715,2.4075101440272178e-12,RS
164,rDefaultB_PFCv_1,0.011225392196298615,4.085528608731012e-14,RS
165,rDefaultB_PFCv_2,0.009962270317701137,5.488066535237274e-13,RS
166,rDefaultC_PHC_1,0.007003040676598413,3.7204638808307793e-17,RS
167,rDefaultC_Rsp_1,0.003916638856023607,1.0429321345313724e-5,RS
168,rDorsAttnA_ParOcc_1,0.0049861655322890755,2.2134055297367896e-8,RS
169,rDorsAttnA_SPL_1,0.009201623579191092,2.1734651175102874e-6,RS
170,rDorsAttnA_TempOcc_1,0.004773860825220945,5.3863740410348207e-11,RS
171,rDorsAttnB_FEF_1,0.002307224577619476,0.001998315818828003,RS
172,rDorsAttnB_PostC_1,0.010852136985247413,1.5734869866990235e-13,RS
173,rDorsAttnB_PostC_2,-1.5467929672156655e-4,3.125019443363128e-10,RS
174,rLimbicA_TempPole_1,0.004104971188842788,6.269679060169793e-26,RS
175,rLimbicB_OFC_1,0.011883397115818308,1.6065329215316122e-19,RS
176,rSalVentAttnA_FrMed_1,0.005346654371071138,1.509024114673851e-8,RS
177,rSalVentAttnA_Ins_1,0.01776362620681307,3.877568036590664e-25,RS
178,rSalVentAttnA_ParMed_1,0.01863143280960407,3.727096309462124e-12,RS
179,rSalVentAttnA_ParOper_1,0.010764174778885959,3.3483848356558715e-25,RS
180,rSalVentAttnB_IPL_1,0.014082035519277399,3.97313920729654e-15,RS
181,rSalVentAttnB_PFCl_1,0.007325548328001919,1.3728156040431466e-13,RS
182,rSalVentAttnB_PFCmp_1,0.009791466269571773,4.6135241274652015e-15,RS
183,rSomMotA_1,0.016684541405733545,1.1712220389847528e-19,RS
184,rSomMotA_2,0.013375596754133677,7.415337157367614e-14,RS
185,rSomMotA_3,0.0063364831604969755,2.4681376699671177e-13,RS
186,rSomMotA_4,0.011542627319994867,1.7532304438564274e-6,RS
187,rSomMotB_Aud_1,0.01026398811060728,3.118386019786236e-22,RS
188,rSomMotB_Cent_1,0.009278928950765191,1.2804883319212137e-11,RS
189,rSomMotB_S2_1,0.006197122403368744,2.4296069769972153e-19,RS
