Unnamed: 0,ROI,meanR,pval,session
0,accumbens,0.002512286032748468,9.3411282528805e-11,FI
1,amy,0.010189396060601435,3.667969163355915e-24,FI
2,caudate,0.0026726567709144814,0.0011701117999200362,FI
3,hippo,0.004992260313097636,4.3402743973106013e-10,FI
4,latvent,0.014867371836874293,2.5941242669981157e-6,FI
5,pallidum,-0.0018175850493553534,0.6990017250047083,FI
6,putamen,0.007964619125399345,6.279064967046764e-13,FI
7,thalamus,0.020309632197281005,8.304528359396475e-46,FI
8,accumbens,0.006960407465149697,8.345900929659837e-19,RS
9,amy,0.01081244251791584,1.2620026947150922e-50,RS
10,caudate,0.008848290473794687,1.793651151585742e-13,RS
11,hippo,0.008689646509643607,1.871585799448378e-12,RS
12,latvent,4.305628255731673e-5,0.004365176291951187,RS
13,pallidum,0.0050143780240084574,0.023312751094523767,RS
14,putamen,0.008238675549342045,1.9707673767525998e-20,RS
15,thalamus,0.014934719705945535,3.4645138393599757e-71,RS
16,accumbens,0.010059660718408038,4.489907888455184e-4,WM
17,amy,0.01362762669654964,8.845406317148829e-7,WM
18,caudate,0.006399973796488221,4.8593247222245266e-4,WM
19,hippo,0.005680215558583136,4.897195929945819e-6,WM
20,latvent,0.00349844088038621,0.11119205688141413,WM
21,pallidum,0.004924378745416843,0.006404379093272702,WM
22,putamen,0.018402290279314584,1.4217969796302979e-5,WM
23,thalamus,0.013677126646408598,4.6835084952688736e-8,WM
