Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
BSNIP_BD_FINAL_adj,lContA_IPS_1,standard,0.177015949,0.361257039,-1.353791061,0.063538791,257
BSNIP_BD_FINAL_adj,lContA_IPS_1,corrected,0.337494159,0.513252689,-0.960995633,0.065480806,257
BSNIP_BD_FINAL_adj,lContA_PFCl_1,standard,0.002804988,0.050999779,-3.01804639,0.063540595,257
BSNIP_BD_FINAL_adj,lContA_PFCl_1,corrected,0.004404305,0.07340508,-2.874132583,0.065482762,257
BSNIP_BD_FINAL_adj,lContA_PFCl_2,standard,0.092096057,0.255822381,-1.690880213,0.063539047,257
BSNIP_BD_FINAL_adj,lContA_PFCl_2,corrected,0.140445894,0.318923875,-1.478882414,0.065481145,257
BSNIP_BD_FINAL_adj,lContB_PFClv_1,standard,0.037446511,0.163355367,-2.091922148,0.063539425,257
BSNIP_BD_FINAL_adj,lContB_PFClv_1,corrected,0.044050209,0.172756739,-2.023966223,0.065481656,257
BSNIP_BD_FINAL_adj,lContC_Cingp_1,standard,0.077697441,0.228732702,-1.771432137,0.063539117,257
BSNIP_BD_FINAL_adj,lContC_Cingp_1,corrected,0.130986654,0.312304854,-1.515254326,0.065481175,257
BSNIP_BD_FINAL_adj,lContC_pCun_1,standard,0.299660715,0.464590256,-1.039301428,0.063538602,257
BSNIP_BD_FINAL_adj,lContC_pCun_1,corrected,0.467244734,0.576771583,-0.728095599,0.065480701,257
BSNIP_BD_FINAL_adj,lContC_pCun_2,standard,0.65237314,0.733003528,0.45100589,0.063538383,257
BSNIP_BD_FINAL_adj,lContC_pCun_2,corrected,0.43683776,0.556481223,0.77880892,0.06548072,257
BSNIP_BD_FINAL_adj,lDefaultA_pCunPCC_1,standard,0.356710619,0.513252689,-0.923345121,0.063538546,257
BSNIP_BD_FINAL_adj,lDefaultA_pCunPCC_1,corrected,0.515566965,0.617445467,-0.651131408,0.065480672,257
BSNIP_BD_FINAL_adj,lDefaultA_PFCd_1,standard,0.347658636,0.513252689,-0.940897114,0.063538553,257
BSNIP_BD_FINAL_adj,lDefaultA_PFCd_1,corrected,0.396933871,0.539639591,-0.848585026,0.065480751,257
BSNIP_BD_FINAL_adj,lDefaultA_PFCm_1,standard,0.001401232,0.038847371,-3.230266388,0.063540917,257
BSNIP_BD_FINAL_adj,lDefaultA_PFCm_1,corrected,0.006767831,0.080820013,-2.731080396,0.065482549,257
BSNIP_BD_FINAL_adj,lDefaultB_IPL_1,standard,0.136532475,0.317517383,-1.493595134,0.06353889,257
BSNIP_BD_FINAL_adj,lDefaultB_IPL_1,corrected,0.2204985,0.408330555,-1.228313277,0.065480964,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCd_1,standard,0.005633582,0.079107088,-2.792365713,0.063540272,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCd_1,corrected,0.018173495,0.145177094,-2.377894262,0.065482071,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCl_1,standard,0.465416223,0.576771583,-0.731068978,0.063538465,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCl_1,corrected,0.410839386,0.540578139,-0.823815073,0.06548074,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCv_1,standard,0.170775993,0.35211545,-1.373634244,0.063538804,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCv_1,corrected,0.550742926,0.640398751,-0.59746706,0.065480653,257
BSNIP_BD_FINAL_adj,lDefaultB_PFCv_2,standard,0.03048719,0.145177094,-2.175965054,0.063539514,257
