Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,lContA_IPS_1,standard,0.85945468,0.997912684,-0.177353973,0.178797731,165
UCLA_REST_BD_adj,lContA_IPS_1,corrected,0.933090011,0.997912684,0.084094249,0.183947145,165
UCLA_REST_BD_adj,lContA_PFCl_1,standard,0.357898557,0.997912684,-0.92203501,0.178799173,165
UCLA_REST_BD_adj,lContA_PFCl_1,corrected,0.343043523,0.997912684,-0.951081816,0.18394887,165
UCLA_REST_BD_adj,lContA_PFCl_2,standard,0.992684163,0.997912684,-0.00918351,0.178797658,165
UCLA_REST_BD_adj,lContA_PFCl_2,corrected,0.868289352,0.997912684,0.166106831,0.183947179,165
UCLA_REST_BD_adj,lContB_PFClv_1,standard,0.333004749,0.997912684,-0.971018388,0.178799335,165
UCLA_REST_BD_adj,lContB_PFClv_1,corrected,0.311342767,0.997912684,-1.015725968,0.183949114,165
UCLA_REST_BD_adj,lContC_Cingp_1,standard,0.781604018,0.997912684,-0.277696273,0.178797816,165
UCLA_REST_BD_adj,lContC_Cingp_1,corrected,0.790216378,0.997912684,-0.266489569,0.183947264,165
UCLA_REST_BD_adj,lContC_pCun_1,standard,0.696548738,0.997912684,-0.390686414,0.178797947,165
UCLA_REST_BD_adj,lContC_pCun_1,corrected,0.619535514,0.997912684,-0.497508549,0.183947605,165
UCLA_REST_BD_adj,lContC_pCun_2,standard,0.898890059,0.997912684,-0.127265512,0.178797709,165
UCLA_REST_BD_adj,lContC_pCun_2,corrected,0.856359857,0.997912684,-0.181311626,0.183947189,165
UCLA_REST_BD_adj,lDefaultA_pCunPCC_1,standard,0.247859091,0.997912684,-1.159797387,0.17880004,165
UCLA_REST_BD_adj,lDefaultA_pCunPCC_1,corrected,0.191797252,0.997912684,-1.310998407,0.183950433,165
UCLA_REST_BD_adj,lDefaultA_PFCd_1,standard,0.946441414,0.997912684,0.067281742,0.178797688,165
UCLA_REST_BD_adj,lDefaultA_PFCd_1,corrected,0.970755499,0.997912684,0.036720014,0.183947123,165
UCLA_REST_BD_adj,lDefaultA_PFCm_1,standard,0.925312186,0.997912684,0.093892299,0.178797689,165
UCLA_REST_BD_adj,lDefaultA_PFCm_1,corrected,0.800013362,0.997912684,0.253765071,0.18394725,165
UCLA_REST_BD_adj,lDefaultB_IPL_1,standard,0.177863304,0.997912684,1.35331694,0.17880089,165
UCLA_REST_BD_adj,lDefaultB_IPL_1,corrected,0.244564217,0.997912684,1.168089515,0.183949754,165
UCLA_REST_BD_adj,lDefaultB_PFCd_1,standard,0.799699097,0.997912684,0.254158952,0.17879779,165
UCLA_REST_BD_adj,lDefaultB_PFCd_1,corrected,0.783696618,0.997912684,0.27498154,0.183947275,165
UCLA_REST_BD_adj,lDefaultB_PFCl_1,standard,0.380984916,0.997912684,-0.878509023,0.178799034,165
UCLA_REST_BD_adj,lDefaultB_PFCl_1,corrected,0.44303513,0.997912684,-0.76904794,0.183948267,165
UCLA_REST_BD_adj,lDefaultB_PFCv_1,standard,0.779922572,0.997912684,0.279891103,0.178797816,165
UCLA_REST_BD_adj,lDefaultB_PFCv_1,corrected,0.648291175,0.997912684,0.457027472,0.183947531,165
