Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_SCAP_BD_adj,lContA_IPS_1,standard,0.85945468,0.997912684,-0.177353973,0.178797731,165
UCLA_SCAP_BD_adj,lContA_IPS_1,corrected,0.949137124,0.997912684,-0.063893788,0.18667619,165
UCLA_SCAP_BD_adj,lContA_PFCl_1,standard,0.357898557,0.997912684,-0.92203501,0.178799173,165
UCLA_SCAP_BD_adj,lContA_PFCl_1,corrected,0.531929156,0.997912684,-0.62646862,0.186676946,165
UCLA_SCAP_BD_adj,lContA_PFCl_2,standard,0.992684163,0.997912684,-0.00918351,0.178797658,165
UCLA_SCAP_BD_adj,lContA_PFCl_2,corrected,0.749096855,0.997912684,0.320399731,0.18667638,165
UCLA_SCAP_BD_adj,lContB_PFClv_1,standard,0.333004749,0.997912684,-0.971018388,0.178799335,165
UCLA_SCAP_BD_adj,lContB_PFClv_1,corrected,0.499046618,0.997912684,-0.677582457,0.186677076,165
UCLA_SCAP_BD_adj,lContC_Cingp_1,standard,0.781604018,0.997912684,-0.277696273,0.178797816,165
UCLA_SCAP_BD_adj,lContC_Cingp_1,corrected,0.733729938,0.997912684,-0.340780971,0.186676404,165
UCLA_SCAP_BD_adj,lContC_pCun_1,standard,0.696548738,0.997912684,-0.390686414,0.178797947,165
UCLA_SCAP_BD_adj,lContC_pCun_1,corrected,0.774897684,0.997912684,-0.286473965,0.186676339,165
UCLA_SCAP_BD_adj,lContC_pCun_2,standard,0.898890059,0.997912684,-0.127265512,0.178797709,165
UCLA_SCAP_BD_adj,lContC_pCun_2,corrected,0.856358015,0.997912684,0.181313977,0.186676243,165
UCLA_SCAP_BD_adj,lDefaultA_pCunPCC_1,standard,0.247859091,0.997912684,-1.159797387,0.17880004,165
UCLA_SCAP_BD_adj,lDefaultA_pCunPCC_1,corrected,0.226473613,0.997912684,-1.214316771,0.186679058,165
UCLA_SCAP_BD_adj,lDefaultA_PFCd_1,standard,0.946441414,0.997912684,0.067281742,0.178797688,165
UCLA_SCAP_BD_adj,lDefaultA_PFCd_1,corrected,0.699100925,0.997912684,0.387251917,0.18667647,165
UCLA_SCAP_BD_adj,lDefaultA_PFCm_1,standard,0.925312186,0.997912684,0.093892299,0.178797689,165
UCLA_SCAP_BD_adj,lDefaultA_PFCm_1,corrected,0.574816789,0.997912684,0.562163353,0.186676797,165
UCLA_SCAP_BD_adj,lDefaultB_IPL_1,standard,0.177863304,0.997912684,1.35331694,0.17880089,165
UCLA_SCAP_BD_adj,lDefaultB_IPL_1,corrected,0.127118849,0.997912684,1.533794443,0.186680764,165
UCLA_SCAP_BD_adj,lDefaultB_PFCd_1,standard,0.799699097,0.997912684,0.254158952,0.17879779,165
UCLA_SCAP_BD_adj,lDefaultB_PFCd_1,corrected,0.388443999,0.997912684,0.864874926,0.186677641,165
UCLA_SCAP_BD_adj,lDefaultB_PFCl_1,standard,0.380984916,0.997912684,-0.878509023,0.178799034,165
UCLA_SCAP_BD_adj,lDefaultB_PFCl_1,corrected,0.461828026,0.997912684,-0.737673735,0.186677243,165
UCLA_SCAP_BD_adj,lDefaultB_PFCv_1,standard,0.779922572,0.997912684,0.279891103,0.178797816,165
