Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_FI,lContA_IPS_1,standard,0.23251533,0.27251533,-1.197727047,0.080986733,195
UNIBA2_FI,lContA_IPS_1,corrected,0.43661153,0.47661153,-0.779618762,0.085169833,195
UNIBA2_FI,lContA_PFCl_1,standard,0.00019055,0.04019055,-3.805789785,0.081034428,195
UNIBA2_FI,lContA_PFCl_1,corrected,0.00028028,0.04028028,-3.703792295,0.085236961,195
UNIBA2_FI,lContA_PFCl_2,standard,0.10789956,0.14789956,-1.615325433,0.081036302,195
UNIBA2_FI,lContA_PFCl_2,corrected,0.14489455,0.18489455,-1.463987259,0.085178337,195
UNIBA2_FI,lContB_PFClv_1,standard,0.04985231,0.08985231,-1.973814308,0.08101066,195
UNIBA2_FI,lContB_PFClv_1,corrected,0.11983729,0.15983729,-1.562678195,0.085174286,195
UNIBA2_FI,lContC_Cingp_1,standard,0.05014653,0.09014653,-1.971255326,0.081014366,195
UNIBA2_FI,lContC_Cingp_1,corrected,0.06076704,0.10076704,-1.886700678,0.085228146,195
UNIBA2_FI,lContC_pCun_1,standard,0.5197282,0.5597282,-0.644964489,0.080934689,195
UNIBA2_FI,lContC_pCun_1,corrected,0.67943176,0.71943176,-0.413893197,0.085287703,195
UNIBA2_FI,lContC_pCun_2,standard,0.25131226,0.29131226,-1.150674525,0.080995971,195
UNIBA2_FI,lContC_pCun_2,corrected,0.38700735,0.42700735,-0.867105748,0.085226052,195
UNIBA2_FI,lDefaultA_pCunPCC_1,standard,0.0146699,0.0546699,-2.462957981,0.081000164,195
UNIBA2_FI,lDefaultA_pCunPCC_1,corrected,0.01686358,0.05686358,-2.411527255,0.085215707,195
UNIBA2_FI,lDefaultA_PFCd_1,standard,0.68608797,0.72608797,0.404788992,0.081029871,195
UNIBA2_FI,lDefaultA_PFCd_1,corrected,0.69358167,0.73358167,0.394614899,0.085146304,195
UNIBA2_FI,lDefaultA_PFCm_1,standard,0.00170671,0.04170671,-3.182363103,0.081008983,195
UNIBA2_FI,lDefaultA_PFCm_1,corrected,0.00623255,0.04623255,-2.766978687,0.085219305,195
UNIBA2_FI,lDefaultB_IPL_1,standard,0.00113874,0.04113874,-3.304099748,0.081020556,195
UNIBA2_FI,lDefaultB_IPL_1,corrected,0.0069148,0.0469148,-2.731515286,0.08522742,195
UNIBA2_FI,lDefaultB_PFCd_1,standard,0.0233494,0.0633494,-2.286139283,0.081009937,195
UNIBA2_FI,lDefaultB_PFCd_1,corrected,0.05634143,0.09634143,-1.92043088,0.085189215,195
UNIBA2_FI,lDefaultB_PFCl_1,standard,0.16711999,0.20711999,-1.386825089,0.080976326,195
UNIBA2_FI,lDefaultB_PFCl_1,corrected,0.38281676,0.42281676,-0.874800473,0.085162277,195
UNIBA2_FI,lDefaultB_PFCv_1,standard,0.00048968,0.04048968,-3.547635716,0.081039888,195
UNIBA2_FI,lDefaultB_PFCv_1,corrected,0.00174546,0.04174546,-3.176739641,0.085213153,195
UNIBA2_FI,lDefaultB_PFCv_2,standard,9.25E-05,0.04009248,-3.994907586,0.081028157,195
UNIBA2_FI,lDefaultB_PFCv_2,corrected,0.00022288,0.04022288,-3.765843653,0.085239864,195
UNIBA2_FI,lDefaultB_Temp_1,standard,0.00283223,0.04283223,-3.024793063,0.081030337,195
UNIBA2_FI,lDefaultB_Temp_1,corrected,0.00563037,0.04563037,-2.801339897,0.085209224,195
UNIBA2_FI,lDefaultB_Temp_2,standard,0.01163031,0.05163031,-2.547848669,0.081009521,195
UNIBA2_FI,lDefaultB_Temp_2,corrected,0.02563141,0.06563141,-2.249929595,0.085202666,195
UNIBA2_FI,lDefaultC_PHC_1,standard,0.31457726,0.35457726,-1.008332505,0.08102486,195
UNIBA2_FI,lDefaultC_PHC_1,corrected,0.48687779,0.52687779,-0.696679578,0.085261578,195
UNIBA2_FI,lDefaultC_Rsp_1,standard,0.12648508,0.16648508,-1.534846352,0.080985305,195
UNIBA2_FI,lDefaultC_Rsp_1,corrected,0.15332215,0.19332215,-1.433783146,0.085229067,195
UNIBA2_FI,lDorsAttnA_ParOcc_1,standard,0.93852428,0.97852428,-0.077226932,0.081577758,195
UNIBA2_FI,lDorsAttnA_ParOcc_1,corrected,0.96991827,1.00991827,-0.037761861,0.084741586,195
UNIBA2_FI,lDorsAttnA_SPL_1,standard,0.1262617,0.1662617,-1.535756376,0.081002431,195
UNIBA2_FI,lDorsAttnA_SPL_1,corrected,0.19809064,0.23809064,-1.291647451,0.085162557,195
UNIBA2_FI,lDorsAttnA_TempOcc_1,standard,0.0380966,0.0780966,-2.088376744,0.081019864,195
UNIBA2_FI,lDorsAttnA_TempOcc_1,corrected,0.0748072,0.1148072,-1.791751424,0.085223875,195
UNIBA2_FI,lDorsAttnB_FEF_1,standard,0.08209999,0.12209999,-1.747881092,0.081012376,195
UNIBA2_FI,lDorsAttnB_FEF_1,corrected,0.11414427,0.15414427,-1.587335853,0.085174161,195
UNIBA2_FI,lDorsAttnB_PostC_1,standard,0.44251109,0.48251109,-0.769569317,0.080954371,195
UNIBA2_FI,lDorsAttnB_PostC_1,corrected,0.66419043,0.70419043,-0.43483303,0.085090132,195
UNIBA2_FI,lDorsAttnB_PostC_2,standard,0.52617537,0.56617537,-0.635026108,0.080941554,195
UNIBA2_FI,lDorsAttnB_PostC_2,corrected,0.6428507,0.6828507,-0.464479076,0.085256801,195
UNIBA2_FI,lDorsAttnB_PostC_3,standard,0.71591986,0.75591986,-0.364459972,0.080941673,195
UNIBA2_FI,lDorsAttnB_PostC_3,corrected,0.927276,0.967276,0.091397042,0.085341931,195
UNIBA2_FI,lLimbicA_TempPole_1,standard,0.00056619,0.04056619,-3.506659962,0.081017265,195
UNIBA2_FI,lLimbicA_TempPole_1,corrected,0.00161159,0.04161159,-3.201090504,0.085220958,195
UNIBA2_FI,lLimbicA_TempPole_2,standard,0.00426654,0.04426654,-2.892609087,0.081034109,195
UNIBA2_FI,lLimbicA_TempPole_2,corrected,0.01982816,0.05982816,-2.349985589,0.085192012,195
UNIBA2_FI,lLimbicB_OFC_1,standard,0.00399926,0.04399926,-2.913781403,0.081028728,195
UNIBA2_FI,lLimbicB_OFC_1,corrected,0.03307846,0.07307846,-2.147205915,0.085227038,195
UNIBA2_FI,lSalVentAttnA_FrMed_1,standard,0.2815086,0.3215086,-1.080005855,0.081018079,195
UNIBA2_FI,lSalVentAttnA_FrMed_1,corrected,0.6613242,0.7013242,-0.438792102,0.085233986,195
UNIBA2_FI,lSalVentAttnA_Ins_1,standard,0.05798482,0.09798482,-1.907341363,0.081002805,195
UNIBA2_FI,lSalVentAttnA_Ins_1,corrected,0.12503116,0.16503116,-1.540976821,0.085205694,195
UNIBA2_FI,lSalVentAttnA_Ins_2,standard,0.00127663,0.04127663,-3.270062469,0.081038207,195
UNIBA2_FI,lSalVentAttnA_Ins_2,corrected,0.00291686,0.04291686,-3.016510776,0.085230924,195
UNIBA2_FI,lSalVentAttnA_ParMed_1,standard,0.07398448,0.11398448,-1.796619596,0.080985424,195
UNIBA2_FI,lSalVentAttnA_ParMed_1,corrected,0.24004422,0.28004422,-1.17866786,0.085180909,195
UNIBA2_FI,lSalVentAttnA_ParOper_1,standard,0.32112201,0.36112201,-0.99475211,0.081025211,195
UNIBA2_FI,lSalVentAttnA_ParOper_1,corrected,0.379245,0.419245,-0.88140008,0.085205347,195
UNIBA2_FI,lSalVentAttnB_PFCl_1,standard,0.00647391,0.04647391,-2.7532155,0.081032524,195
UNIBA2_FI,lSalVentAttnB_PFCl_1,corrected,0.02205532,0.06205532,-2.308880738,0.085192794,195
UNIBA2_FI,lSalVentAttnB_PFCmp_1,standard,0.00017281,0.04017281,-3.831762819,0.081033199,195
UNIBA2_FI,lSalVentAttnB_PFCmp_1,corrected,0.00112428,0.04112428,-3.309272225,0.085215111,195
UNIBA2_FI,lSomMotA_1,standard,0.40281503,0.44281503,-0.838479566,0.08097991,195
UNIBA2_FI,lSomMotA_1,corrected,0.38370961,0.42370961,-0.873156692,0.085208074,195
UNIBA2_FI,lSomMotA_2,standard,0.05717342,0.09717342,-1.913608203,0.080998817,195
UNIBA2_FI,lSomMotA_2,corrected,0.17163327,0.21163327,-1.372294694,0.085185784,195
UNIBA2_FI,lSomMotB_Aud_1,standard,0.01611983,0.05611983,-2.42787171,0.08101746,195
UNIBA2_FI,lSomMotB_Aud_1,corrected,0.02679324,0.06679324,-2.232322192,0.085202755,195
UNIBA2_FI,lSomMotB_Cent_1,standard,0.14548939,0.18548939,-1.461648787,0.081004412,195
UNIBA2_FI,lSomMotB_Cent_1,corrected,0.17867919,0.21867919,-1.349956902,0.085187905,195
UNIBA2_FI,lSomMotB_S2_1,standard,0.06654839,0.10654839,-1.845312584,0.081016084,195
UNIBA2_FI,lSomMotB_S2_1,corrected,0.06127273,0.10127273,-1.882978569,0.085184188,195
UNIBA2_FI,lSomMotB_S2_2,standard,0.06892281,0.10892281,-1.829295352,0.081014802,195
UNIBA2_FI,lSomMotB_S2_2,corrected,0.06718971,0.10718971,-1.841226738,0.085214926,195
UNIBA2_FI,lTempPar_1,standard,0.31145683,0.35145683,-1.014873314,0.080995331,195
UNIBA2_FI,lTempPar_1,corrected,0.48310093,0.52310093,-0.702740316,0.085237745,195
UNIBA2_FI,lVisCent_ExStr_1,standard,0.23874933,0.27874933,-1.181832178,0.080975964,195
UNIBA2_FI,lVisCent_ExStr_1,corrected,0.33572136,0.37572136,-0.965166562,0.085166647,195
UNIBA2_FI,lVisCent_ExStr_2,standard,0.60583492,0.64583492,-0.516888824,0.081061919,195
UNIBA2_FI,lVisCent_ExStr_2,corrected,0.49621418,0.53621418,-0.6818062,0.085214831,195
UNIBA2_FI,lVisCent_ExStr_3,standard,0.00080835,0.04080835,-3.404585329,0.081037769,195
UNIBA2_FI,lVisCent_ExStr_3,corrected,0.00086396,0.04086396,-3.386729957,0.085214943,195
UNIBA2_FI,lVisCent_Striate_1,standard,0.00862333,0.04862333,-2.654205713,0.081003518,195
UNIBA2_FI,lVisCent_Striate_1,corrected,0.01346744,0.05346744,-2.495112544,0.085206577,195
UNIBA2_FI,lVisPeri_ExStrInf_1,standard,0.00808263,0.04808263,-2.676809203,0.081029309,195
UNIBA2_FI,lVisPeri_ExStrInf_1,corrected,0.02188623,0.06188623,-2.311870455,0.085212387,195
UNIBA2_FI,lVisPeri_ExStrSup_1,standard,0.0064342,0.0464342,-2.755310909,0.081007192,195
UNIBA2_FI,lVisPeri_ExStrSup_1,corrected,0.01030936,0.05030936,-2.591811019,0.085191396,195
UNIBA2_FI,lVisPeri_StriCal_1,standard,0.00423772,0.04423772,-2.894832756,0.081006407,195
UNIBA2_FI,lVisPeri_StriCal_1,corrected,0.00328491,0.04328491,-2.978505898,0.085210508,195
UNIBA2_FI,rContA_IPS_1,standard,0.62767567,0.66767567,-0.485790206,0.08089912,195
UNIBA2_FI,rContA_IPS_1,corrected,0.54642171,0.58642171,-0.604244018,0.085230467,195
UNIBA2_FI,rContA_PFCl_1,standard,0.00290762,0.04290762,-3.016450419,0.081022383,195
UNIBA2_FI,rContA_PFCl_1,corrected,0.00292036,0.04292036,-3.016129059,0.085208555,195
UNIBA2_FI,rContA_PFCl_2,standard,0.0855647,0.1255647,-1.728268702,0.081005922,195
UNIBA2_FI,rContA_PFCl_2,corrected,0.08267201,0.12267201,-1.744847346,0.085222355,195
UNIBA2_FI,rContB_IPL_1,standard,0.14810229,0.18810229,-1.452174986,0.080981976,195
UNIBA2_FI,rContB_IPL_1,corrected,0.20936485,0.24936485,-1.259698939,0.085179083,195
UNIBA2_FI,rContB_PFCld_1,standard,0.40129539,0.44129539,-0.841196338,0.08095613,195
UNIBA2_FI,rContB_PFCld_1,corrected,0.72984931,0.76984931,-0.345848817,0.085297386,195
UNIBA2_FI,rContB_PFClv_1,standard,0.00708213,0.04708213,-2.722496544,0.081028569,195
UNIBA2_FI,rContB_PFClv_1,corrected,0.01485962,0.05485962,-2.458807649,0.0852039,195
