Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,lContA_IPS_1,standard,0.27826268,0.31826268,-1.086303469,0.064438715,290
UNIBA2_RS,lContA_IPS_1,corrected,0.88767091,0.92767091,-0.141380643,0.068609109,290
UNIBA2_RS,lContA_PFCl_1,standard,0.00289368,0.04289368,-3.004818232,0.064396574,290
UNIBA2_RS,lContA_PFCl_1,corrected,0.01877276,0.05877276,-2.36377518,0.068280605,290
UNIBA2_RS,lContA_PFCl_2,standard,0.12757147,0.16757147,-1.528201961,0.064389395,290
UNIBA2_RS,lContA_PFCl_2,corrected,0.22915551,0.26915551,-1.205169289,0.068289161,290
UNIBA2_RS,lContB_PFClv_1,standard,0.18065055,0.22065055,-1.342041972,0.064379507,290
UNIBA2_RS,lContB_PFClv_1,corrected,0.70396714,0.74396714,-0.380359247,0.068356429,290
UNIBA2_RS,lContC_Cingp_1,standard,0.32208904,0.36208904,-0.991897227,0.064421997,290
UNIBA2_RS,lContC_Cingp_1,corrected,0.6992053,0.7392053,-0.386790234,0.06825405,290
UNIBA2_RS,lContC_pCun_1,standard,0.58682583,0.62682583,-0.544059597,0.064331188,290
UNIBA2_RS,lContC_pCun_1,corrected,0.59777608,0.63777608,-0.528204066,0.068344798,290
UNIBA2_RS,lContC_pCun_2,standard,0.90654954,0.94654954,0.117496295,0.06468289,290
UNIBA2_RS,lContC_pCun_2,corrected,0.73327377,0.77327377,0.341113758,0.068305659,290
UNIBA2_RS,lDefaultA_pCunPCC_1,standard,0.11028878,0.15028878,-1.601885067,0.064424098,290
UNIBA2_RS,lDefaultA_pCunPCC_1,corrected,0.17540256,0.21540256,-1.35848731,0.068311275,290
UNIBA2_RS,lDefaultA_PFCd_1,standard,0.91599285,0.95599285,0.105576234,0.064408435,290
UNIBA2_RS,lDefaultA_PFCd_1,corrected,0.6247808,0.6647808,0.48962762,0.068215106,290
UNIBA2_RS,lDefaultA_PFCm_1,standard,0.00083138,0.04083138,-3.37815641,0.064413832,290
UNIBA2_RS,lDefaultA_PFCm_1,corrected,0.01021355,0.05021355,-2.586049086,0.0682895,290
UNIBA2_RS,lDefaultB_IPL_1,standard,0.03542886,0.07542886,-2.11347747,0.064396239,290
UNIBA2_RS,lDefaultB_IPL_1,corrected,0.09028743,0.13028743,-1.699755611,0.068303937,290
UNIBA2_RS,lDefaultB_PFCd_1,standard,0.0069329,0.0469329,-2.719819628,0.064416036,290
UNIBA2_RS,lDefaultB_PFCd_1,corrected,0.10717559,0.14717559,-1.616207373,0.068308066,290
UNIBA2_RS,lDefaultB_PFCl_1,standard,0.24342743,0.28342743,-1.168883207,0.064420465,290
UNIBA2_RS,lDefaultB_PFCl_1,corrected,0.60869481,0.64869481,-0.51251481,0.06829071,290
UNIBA2_RS,lDefaultB_PFCv_1,standard,0.00056952,0.04056952,-3.485039079,0.064418216,290
UNIBA2_RS,lDefaultB_PFCv_1,corrected,0.00439493,0.04439493,-2.871681715,0.068287512,290
UNIBA2_RS,lDefaultB_PFCv_2,standard,0.00456754,0.04456754,-2.858713012,0.064399609,290
UNIBA2_RS,lDefaultB_PFCv_2,corrected,0.04109828,0.08109828,-2.052011894,0.068274458,290
UNIBA2_RS,lDefaultB_Temp_1,standard,0.00635631,0.04635631,-2.749169746,0.064419449,290
UNIBA2_RS,lDefaultB_Temp_1,corrected,0.0162437,0.0562437,-2.418018737,0.068279041,290
UNIBA2_RS,lDefaultB_Temp_2,standard,0.02549603,0.06549603,-2.24559977,0.064392597,290
UNIBA2_RS,lDefaultB_Temp_2,corrected,0.04026621,0.08026621,-2.060585666,0.068281558,290
UNIBA2_RS,lDefaultC_PHC_1,standard,0.11688769,0.15688769,-1.572743443,0.064409742,290
UNIBA2_RS,lDefaultC_PHC_1,corrected,0.12925294,0.16925294,-1.521539695,0.068286092,290
UNIBA2_RS,lDefaultC_Rsp_1,standard,0.199805,0.239805,-1.285087738,0.064431398,290
UNIBA2_RS,lDefaultC_Rsp_1,corrected,0.22940522,0.26940522,-1.204521529,0.068242865,290
UNIBA2_RS,lDorsAttnA_ParOcc_1,standard,0.88567824,0.92567824,-0.143903666,0.064626568,290
UNIBA2_RS,lDorsAttnA_ParOcc_1,corrected,0.97578529,1.01578529,0.030380437,0.06912343,290
UNIBA2_RS,lDorsAttnA_SPL_1,standard,0.62235273,0.66235273,-0.493055953,0.064292906,290
UNIBA2_RS,lDorsAttnA_SPL_1,corrected,0.86458389,0.90458389,-0.170698798,0.068541783,290
UNIBA2_RS,lDorsAttnA_TempOcc_1,standard,0.15001992,0.19001992,-1.443350801,0.064364117,290
UNIBA2_RS,lDorsAttnA_TempOcc_1,corrected,0.45723579,0.49723579,-0.744438105,0.068239387,290
UNIBA2_RS,lDorsAttnB_FEF_1,standard,0.29529097,0.33529097,-1.048512321,0.064376926,290
UNIBA2_RS,lDorsAttnB_FEF_1,corrected,0.59842518,0.63842518,-0.527267752,0.068276506,290
UNIBA2_RS,lDorsAttnB_PostC_1,standard,0.46552916,0.50552916,-0.730754945,0.064453892,290
UNIBA2_RS,lDorsAttnB_PostC_1,corrected,0.98831269,1.02831269,-0.014661482,0.068205928,290
UNIBA2_RS,lDorsAttnB_PostC_2,standard,0.55455974,0.59455974,-0.591641405,0.064397116,290
UNIBA2_RS,lDorsAttnB_PostC_2,corrected,0.6436159,0.6836159,-0.463151017,0.068228286,290
UNIBA2_RS,lDorsAttnB_PostC_3,standard,0.40746739,0.44746739,0.829585661,0.064369483,290
UNIBA2_RS,lDorsAttnB_PostC_3,corrected,0.48030459,0.52030459,0.706758031,0.068340221,290
UNIBA2_RS,lLimbicA_TempPole_1,standard,0.00069791,0.04069791,-3.427930143,0.064412048,290
UNIBA2_RS,lLimbicA_TempPole_1,corrected,0.00649448,0.04649448,-2.742287077,0.068300654,290
UNIBA2_RS,lLimbicA_TempPole_2,standard,0.01573683,0.05573683,-2.429518275,0.064416062,290
UNIBA2_RS,lLimbicA_TempPole_2,corrected,0.09064573,0.13064573,-1.697857209,0.068262513,290
UNIBA2_RS,lLimbicB_OFC_1,standard,0.00989376,0.04989376,-2.596949249,0.064421744,290
UNIBA2_RS,lLimbicB_OFC_1,corrected,0.19266639,0.23266639,-1.305876535,0.068306611,290
UNIBA2_RS,lSalVentAttnA_FrMed_1,standard,0.22275749,0.26275749,-1.221893719,0.06440822,290
UNIBA2_RS,lSalVentAttnA_FrMed_1,corrected,0.55742611,0.59742611,-0.587373689,0.068269997,290
UNIBA2_RS,lSalVentAttnA_Ins_1,standard,0.02953437,0.06953437,-2.187283444,0.064417806,290
UNIBA2_RS,lSalVentAttnA_Ins_1,corrected,0.09319999,0.13319999,-1.684496745,0.068269648,290
UNIBA2_RS,lSalVentAttnA_Ins_2,standard,0.00360194,0.04360194,-2.935449634,0.064419433,290
UNIBA2_RS,lSalVentAttnA_Ins_2,corrected,0.03422637,0.07422637,-2.127810565,0.068286154,290
UNIBA2_RS,lSalVentAttnA_ParMed_1,standard,0.01719038,0.05719038,-2.396643207,0.06442344,290
UNIBA2_RS,lSalVentAttnA_ParMed_1,corrected,0.02536159,0.06536159,-2.247887968,0.068286321,290
UNIBA2_RS,lSalVentAttnA_ParOper_1,standard,0.08838326,0.12838326,-1.709843221,0.064391869,290
UNIBA2_RS,lSalVentAttnA_ParOper_1,corrected,0.1244572,0.1644572,-1.540954543,0.068269373,290
UNIBA2_RS,lSalVentAttnB_PFCl_1,standard,0.02076208,0.06076208,-2.325225194,0.064423868,290
UNIBA2_RS,lSalVentAttnB_PFCl_1,corrected,0.07281103,0.11281103,-1.800795965,0.068303129,290
UNIBA2_RS,lSalVentAttnB_PFCmp_1,standard,0.00032843,0.04032843,-3.63605864,0.064410402,290
UNIBA2_RS,lSalVentAttnB_PFCmp_1,corrected,0.0041299,0.0441299,-2.891871967,0.068294863,290
UNIBA2_RS,lSomMotA_1,standard,0.49899085,0.53899085,-0.67694354,0.064407144,290
UNIBA2_RS,lSomMotA_1,corrected,0.52879396,0.56879396,-0.630634425,0.068343874,290
UNIBA2_RS,lSomMotA_2,standard,0.05394108,0.09394108,-1.935312482,0.064382368,290
UNIBA2_RS,lSomMotA_2,corrected,0.08551834,0.12551834,-1.725623981,0.068265162,290
UNIBA2_RS,lSomMotB_Aud_1,standard,0.01310042,0.05310042,-2.49669347,0.064405183,290
UNIBA2_RS,lSomMotB_Aud_1,corrected,0.03763428,0.07763428,-2.088738837,0.068270862,290
UNIBA2_RS,lSomMotB_Cent_1,standard,0.08469632,0.12469632,-1.730092436,0.064389623,290
UNIBA2_RS,lSomMotB_Cent_1,corrected,0.29054818,0.33054818,-1.058921478,0.068277017,290
UNIBA2_RS,lSomMotB_S2_1,standard,0.11945012,0.15945012,-1.561777455,0.064413787,290
UNIBA2_RS,lSomMotB_S2_1,corrected,0.29470158,0.33470158,-1.049829924,0.068296777,290
UNIBA2_RS,lSomMotB_S2_2,standard,0.18891681,0.22891681,-1.316939524,0.064391719,290
UNIBA2_RS,lSomMotB_S2_2,corrected,0.51081037,0.55081037,-0.658418335,0.068345606,290
UNIBA2_RS,lTempPar_1,standard,0.5209299,0.5609299,-0.64270861,0.064414883,290
UNIBA2_RS,lTempPar_1,corrected,0.56723216,0.60723216,-0.572811291,0.068259828,290
UNIBA2_RS,lVisCent_ExStr_1,standard,0.25078745,0.29078745,-1.150779748,0.064391123,290
