Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_NB,lContA_IPS_1,standard,0.29175598,0.33175598,-1.056640784,0.070601098,243
UNIBA2_NB,lContA_IPS_1,corrected,0.43163561,0.47163561,-0.78777553,0.074640551,243
UNIBA2_NB,lContA_PFCl_1,standard,0.00607217,0.04607217,-2.768858622,0.070642827,243
UNIBA2_NB,lContA_PFCl_1,corrected,0.03188881,0.07188881,-2.158893704,0.074667873,243
UNIBA2_NB,lContA_PFCl_2,standard,0.32301298,0.36301298,-0.990358992,0.070580467,243
UNIBA2_NB,lContA_PFCl_2,corrected,0.41152116,0.45152116,-0.822710388,0.074631366,243
UNIBA2_NB,lContB_PFClv_1,standard,0.31968639,0.35968639,-0.997204944,0.070597324,243
UNIBA2_NB,lContB_PFClv_1,corrected,0.70275461,0.74275461,-0.38207822,0.074592056,243
UNIBA2_NB,lContC_Cingp_1,standard,0.33134997,0.37134997,-0.973402436,0.070577181,243
UNIBA2_NB,lContC_Cingp_1,corrected,0.35285431,0.39285431,-0.930944217,0.074655386,243
UNIBA2_NB,lContC_pCun_1,standard,0.2546999,0.2946999,-1.14178658,0.070591126,243
UNIBA2_NB,lContC_pCun_1,corrected,0.3032748,0.3432748,-1.031736001,0.074631495,243
UNIBA2_NB,lContC_pCun_2,standard,0.70093461,0.74093461,-0.384526391,0.070736367,243
UNIBA2_NB,lContC_pCun_2,corrected,0.80048557,0.84048557,-0.253009906,0.074700633,243
UNIBA2_NB,lDefaultA_pCunPCC_1,standard,0.05659247,0.09659247,-1.915850338,0.070621383,243
UNIBA2_NB,lDefaultA_pCunPCC_1,corrected,0.08314377,0.12314377,-1.740267453,0.074643699,243
UNIBA2_NB,lDefaultA_PFCd_1,standard,0.77691014,0.81691014,0.283672412,0.07050386,243
UNIBA2_NB,lDefaultA_PFCd_1,corrected,0.38327777,0.42327777,0.873536744,0.074639104,243
UNIBA2_NB,lDefaultA_PFCm_1,standard,0.00509942,0.04509942,-2.827153555,0.070636418,243
UNIBA2_NB,lDefaultA_PFCm_1,corrected,0.03504986,0.07504986,-2.120269005,0.074660338,243
UNIBA2_NB,lDefaultB_IPL_1,standard,0.06675983,0.10675983,-1.841795583,0.070637589,243
UNIBA2_NB,lDefaultB_IPL_1,corrected,0.08954077,0.12954077,-1.704989475,0.074663217,243
UNIBA2_NB,lDefaultB_PFCd_1,standard,0.02678087,0.06678087,-2.228634257,0.070626214,243
UNIBA2_NB,lDefaultB_PFCd_1,corrected,0.13213757,0.17213757,-1.511069139,0.074649132,243
UNIBA2_NB,lDefaultB_PFCl_1,standard,0.35030199,0.39030199,-0.935859855,0.070630233,243
UNIBA2_NB,lDefaultB_PFCl_1,corrected,0.65931996,0.69931996,-0.441422637,0.074531746,243
