Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
BSNIP_BD_FINAL_adj,accumbens,standard,0.282559571,0.322925224,1.076889275,0.063538622,257
BSNIP_BD_FINAL_adj,accumbens,corrected,0.130670708,0.261341415,1.516504001,0.065481176,257
BSNIP_BD_FINAL_adj,amy,standard,0.211923563,0.308252456,-1.251469889,0.063538724,257
BSNIP_BD_FINAL_adj,amy,corrected,0.436779735,0.465898384,-0.778907596,0.065480721,257
BSNIP_BD_FINAL_adj,caudate,standard,0.06795137,0.195189202,1.833207018,0.063539172,257
BSNIP_BD_FINAL_adj,caudate,corrected,0.027314575,0.145677735,2.220182367,0.065481878,257
BSNIP_BD_FINAL_adj,hippo,standard,0.085395276,0.195189202,-1.726987551,0.063539078,257
BSNIP_BD_FINAL_adj,hippo,corrected,0.253341492,0.315274682,-1.144941746,0.065480911,257
BSNIP_BD_FINAL_adj,latvent,standard,0.049336964,0.195189202,-1.975198052,0.063539307,257
BSNIP_BD_FINAL_adj,latvent,corrected,0.082912158,0.195189202,-1.741094437,0.065481372,257
BSNIP_BD_FINAL_adj,pallidum,standard,6.71E-06,0.000107371,4.599500941,0.063543182,257
BSNIP_BD_FINAL_adj,pallidum,corrected,1.86E-05,0.000148771,4.36627655,0.065486261,257
BSNIP_BD_FINAL_adj,putamen,standard,0.256160679,0.315274682,1.13809738,0.063538656,257
BSNIP_BD_FINAL_adj,putamen,corrected,0.167883331,0.298459255,1.383099418,0.065481072,257
BSNIP_BD_FINAL_adj,thalamus,standard,0.191943455,0.307109528,-1.308359538,0.06353876,257
BSNIP_BD_FINAL_adj,thalamus,corrected,0.578546026,0.578546026,-0.556246336,0.06548064,257
