Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,accumbens,standard,0.521526779,0.897319076,0.642409474,0.178798404,165
UCLA_REST_BD_adj,accumbens,corrected,0.574041918,0.897319076,0.563303936,0.18394774,165
UCLA_REST_BD_adj,amy,standard,0.802677723,0.942416319,0.250298367,0.17879779,165
UCLA_REST_BD_adj,amy,corrected,0.961805936,0.990749176,0.047964934,0.18394713,165
UCLA_REST_BD_adj,caudate,standard,0.604882863,0.897319076,-0.518417982,0.178798152,165
UCLA_REST_BD_adj,caudate,corrected,0.59157903,0.897319076,-0.537665619,0.183947685,165
UCLA_REST_BD_adj,hippo,standard,0.606467019,0.897319076,-0.516143121,0.178798148,165
UCLA_REST_BD_adj,hippo,corrected,0.575389368,0.897319076,-0.561321009,0.183947735,165
UCLA_REST_BD_adj,latvent,standard,0.631495323,0.897319076,0.48054639,0.178798084,165
UCLA_REST_BD_adj,latvent,corrected,0.672989307,0.897319076,0.422851999,0.183947471,165
UCLA_REST_BD_adj,pallidum,standard,0.824614279,0.942416319,-0.221977753,0.178797765,165
UCLA_REST_BD_adj,pallidum,corrected,0.990749176,0.990749176,-0.011613166,0.183947161,165
UCLA_REST_BD_adj,putamen,standard,0.117512014,0.674407112,1.573786989,0.178802017,165
UCLA_REST_BD_adj,putamen,corrected,0.11618848,0.674407112,1.579812014,0.18395192,165
UCLA_REST_BD_adj,thalamus,standard,0.168601778,0.674407112,-1.382967478,0.178801033,165
UCLA_REST_BD_adj,thalamus,corrected,0.155913777,0.674407112,-1.425880218,0.183951036,165
