Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_SCAP_BD_adj,accumbens,standard,0.521526779,0.879588565,0.642409474,0.178798404,165
UCLA_SCAP_BD_adj,accumbens,corrected,0.451717577,0.879588565,0.754460329,0.186677292,165
UCLA_SCAP_BD_adj,amy,standard,0.802677723,0.879588565,0.250298367,0.17879779,165
UCLA_SCAP_BD_adj,amy,corrected,0.617473939,0.879588565,0.500441665,0.186676667,165
UCLA_SCAP_BD_adj,caudate,standard,0.604882863,0.879588565,-0.518417982,0.178798152,165
UCLA_SCAP_BD_adj,caudate,corrected,0.580592532,0.879588565,-0.55368463,0.186676778,165
UCLA_SCAP_BD_adj,hippo,standard,0.606467019,0.879588565,-0.516143121,0.178798148,165
UCLA_SCAP_BD_adj,hippo,corrected,0.738053746,0.879588565,-0.335032237,0.186676397,165
UCLA_SCAP_BD_adj,latvent,standard,0.631495323,0.879588565,0.48054639,0.178798084,165
UCLA_SCAP_BD_adj,latvent,corrected,0.801621993,0.879588565,0.251679752,0.1866763,165
UCLA_SCAP_BD_adj,pallidum,standard,0.824614279,0.879588565,-0.221977753,0.178797765,165
UCLA_SCAP_BD_adj,pallidum,corrected,0.891383997,0.891383997,0.136777715,0.186676214,165
UCLA_SCAP_BD_adj,putamen,standard,0.117512014,0.879588565,1.573786989,0.178802017,165
UCLA_SCAP_BD_adj,putamen,corrected,0.069377776,0.879588565,1.828626616,0.186682683,165
UCLA_SCAP_BD_adj,thalamus,standard,0.168601778,0.879588565,-1.382967478,0.178801033,165
UCLA_SCAP_BD_adj,thalamus,corrected,0.287546385,0.879588565,-1.067187841,0.186678404,165
