Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_FI,accumbens,standard,0.02898706,0.04898706,-2.200358691,0.073169888,195
UNIBA2_FI,accumbens,corrected,0.07488332,0.09488332,-1.791278443,0.079831252,195
UNIBA2_FI,amy,standard,0.01145348,0.00854652,-2.55337614,0.084202244,195
UNIBA2_FI,amy,corrected,0.01333657,0.03333657,-2.498695008,0.07323823,195
UNIBA2_FI,caudate,standard,0.0522951,0.0722951,-1.95294299,0.074758967,195
UNIBA2_FI,caudate,corrected,0.12585089,0.14585089,-1.537616892,0.080644275,195
UNIBA2_FI,hippo,standard,0.00164,0.02164,-3.194514752,0.058850879,195
UNIBA2_FI,hippo,corrected,0.01347503,0.03347503,-2.494905727,0.073349465,195
UNIBA2_FI,latvent,standard,0.60165107,0.62165107,0.522902888,0.07649604,195
UNIBA2_FI,latvent,corrected,0.47624725,0.49624725,0.713805135,0.081254669,195
UNIBA2_FI,pallidum,standard,0.02366251,0.04366251,2.280924167,0.072339099,195
UNIBA2_FI,pallidum,corrected,0.08941374,0.10941374,1.707462359,0.080236029,195
UNIBA2_FI,putamen,standard,0.59268979,0.61268979,-0.535848777,0.076514124,195
UNIBA2_FI,putamen,corrected,0.82924058,0.84924058,-0.21598091,0.074080621,195
UNIBA2_FI,thalamus,standard,0.00955272,0.01044728,-2.618179242,0.080208412,195
UNIBA2_FI,thalamus,corrected,0.00801499,0.02801499,-2.680504707,0.07050911,195
