Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,accumbens,standard,0.04599672,0.06599672,-2.004180737,0.059375883,290
UNIBA2_RS,accumbens,corrected,0.0768718,0.0968718,-1.775679753,0.064200766,290
UNIBA2_RS,amy,standard,0.0115876,0.0084124,-2.540887615,0.067299317,290
UNIBA2_RS,amy,corrected,0.00333272,0.02333272,-2.960658024,0.052690989,290
UNIBA2_RS,caudate,standard,0.03852024,0.05852024,-2.078906433,0.0586847,290
UNIBA2_RS,caudate,corrected,0.07470889,0.09470889,-1.788918081,0.063725668,290
UNIBA2_RS,hippo,standard,0.06007065,0.08007065,-1.887784797,0.059858518,290
UNIBA2_RS,hippo,corrected,0.0443053,0.0643053,-2.020290096,0.062862259,290
UNIBA2_RS,latvent,standard,0.68470967,0.70470967,0.406460022,0.059046397,290
UNIBA2_RS,latvent,corrected,0.53817563,0.55817563,0.616332817,0.0649,290
UNIBA2_RS,pallidum,standard,0.00976729,0.01023271,2.601472182,0.063810023,290
UNIBA2_RS,pallidum,corrected,0.02860332,0.04860332,2.20028611,0.061355657,290
UNIBA2_RS,putamen,standard,0.48366922,0.50366922,-0.701330211,0.06131206,290
UNIBA2_RS,putamen,corrected,0.76600147,0.78600147,-0.29789861,0.063780089,290
UNIBA2_RS,thalamus,standard,0.00993833,0.01006167,-2.595367631,0.064345412,290
UNIBA2_RS,thalamus,corrected,0.02766038,0.04766038,-2.213628112,0.061437601,290
