Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_NB,accumbens,standard,0.00028904,0.01971096,-3.679495977,0.047289086,243
UNIBA2_NB,accumbens,corrected,0.00043648,0.02043648,-3.568092025,0.046523464,243
UNIBA2_NB,amy,standard,0.01255576,0.00744424,-2.51522274,0.075937609,243
UNIBA2_NB,amy,corrected,0.00657371,0.02657371,-2.742361511,0.060896421,243
UNIBA2_NB,caudate,standard,0.00428622,0.02428622,-2.884015684,0.0554782,243
UNIBA2_NB,caudate,corrected,0.0106412,0.0306412,-2.575044861,0.062911525,243
UNIBA2_NB,hippo,standard,0.0477213,0.0677213,-1.990125453,0.065322515,243
UNIBA2_NB,hippo,corrected,0.09829333,0.11829333,-1.65983284,0.070489026,243
UNIBA2_NB,latvent,standard,0.32864573,0.34864573,0.978854663,0.06742574,243
UNIBA2_NB,latvent,corrected,0.12064925,0.14064925,1.557752067,0.070614575,243
UNIBA2_NB,pallidum,standard,0.04868095,0.06868095,1.981545087,0.065100714,243
UNIBA2_NB,pallidum,corrected,0.09416466,0.11416466,1.680682429,0.070209576,243
UNIBA2_NB,putamen,standard,0.8226996,0.8426996,-0.224321505,0.062410423,243
UNIBA2_NB,putamen,corrected,0.90696089,0.92696089,-0.116999938,0.059829092,243
UNIBA2_NB,thalamus,standard,0.00792808,0.01207192,-2.677746779,0.066847247,243
UNIBA2_NB,thalamus,corrected,0.00169012,0.02169012,-3.176864975,0.054456202,243
