,ROI,Delta,,,
1,lContA_IPS_1,0.998199312,,,
2,lContA_PFCl_1,0.918773456,,,
3,lContA_PFCl_2,0.529232377,,,
4,lContB_PFClv_1,0.996108946,,,
5,lContC_Cingp_1,0.549878242,,,
6,lContC_pCun_1,0.360354911,,,
7,lContC_pCun_2,0.465502581,,,
8,lDefaultA_pCunPCC_1,0.479378267,,,
9,lDefaultA_PFCd_1,0.463022245,,,
10,lDefaultA_PFCm_1,1.336431937,,,
11,lDefaultB_IPL_1,0.75187046,,,
12,lDefaultB_PFCd_1,1.366825539,,,
13,lDefaultB_PFCl_1,0.738362728,,,
14,lDefaultB_PFCv_1,1.033167147,,,
15,lDefaultB_PFCv_2,1.045997024,,,
16,lDefaultB_Temp_1,0.810813104,,,
17,lDefaultB_Temp_2,0.374442642,,,
18,lDefaultC_PHC_1,0.702505387,,,
19,lDefaultC_Rsp_1,0.490462676,,,
20,lDorsAttnA_ParOcc_1,0.242819057,,,
21,lDorsAttnA_SPL_1,0.588959431,,,
22,lDorsAttnA_TempOcc_1,0.821183308,,,
23,lDorsAttnB_FEF_1,0.747187059,,,
24,lDorsAttnB_PostC_1,0.764715987,,,
25,lDorsAttnB_PostC_2,0.307926289,,,
26,lDorsAttnB_PostC_3,0.119434718,,,
27,lLimbicA_TempPole_1,0.411640159,,,
28,lLimbicA_TempPole_2,1.032766129,,,
29,lLimbicB_OFC_1,1.652148042,,,
30,lSalVentAttnA_FrMed_1,0.992077677,,,
31,lSalVentAttnA_Ins_1,0.876463792,,,
32,lSalVentAttnA_Ins_2,1.060308324,,,
33,lSalVentAttnA_ParMed_1,0.761101128,,,
34,lSalVentAttnA_ParOper_1,0.512540124,,,
35,lSalVentAttnB_PFCl_1,0.944124935,,,
36,lSalVentAttnB_PFCmp_1,1.189757736,,,
37,lSomMotA_1,0.40770213,,,
38,lSomMotA_2,0.687446339,,,
39,lSomMotB_Aud_1,0.676136643,,,
40,lSomMotB_Cent_1,0.712740094,,,
41,lSomMotB_S2_1,0.714171702,,,
42,lSomMotB_S2_2,0.739702843,,,
43,lTempPar_1,0.396820375,,,
44,lVisCent_ExStr_1,0.914382973,,,
45,lVisCent_ExStr_2,0.376896202,,,
46,lVisCent_ExStr_3,0.654950765,,,
47,lVisCent_Striate_1,0.834716753,,,
48,lVisPeri_ExStrInf_1,0.201434124,,,
49,lVisPeri_ExStrSup_1,0.642715825,,,
50,lVisPeri_StriCal_1,0.448409953,,,
51,rContA_IPS_1,0.267075493,,,
52,rContA_PFCl_1,0.853143412,,,
53,rContA_PFCl_2,0.841147627,,,
54,rContB_IPL_1,0.524710688,,,
55,rContB_PFCld_1,0.876533204,,,
56,rContB_PFClv_1,1.063131569,,,
57,rContB_Temp_1,0.611309811,,,
58,rContC_Cingp_1,0.532279039,,,
59,rContC_pCun_1,0.556001834,,,
60,rDefaultA_IPL_1,0.576753088,,,
61,rDefaultA_pCunPCC_1,0.274146587,,,
62,rDefaultA_PFCd_1,0.587342004,,,
63,rDefaultA_PFCm_1,1.377030551,,,
64,rDefaultB_PFCd_1,0.880027655,,,
65,rDefaultB_PFCv_1,1.282157095,,,
66,rDefaultB_PFCv_2,0.797704738,,,
67,rDefaultC_PHC_1,0.946608881,,,
68,rDefaultC_Rsp_1,0.606934902,,,
69,rDorsAttnA_ParOcc_1,0.346382152,,,
70,rDorsAttnA_SPL_1,-0.006241721,,,
71,rDorsAttnA_TempOcc_1,0.581957054,,,
72,rDorsAttnB_FEF_1,0.591279326,,,
73,rDorsAttnB_PostC_1,0.764080701,,,
74,rDorsAttnB_PostC_2,0.632707522,,,
75,rLimbicA_TempPole_1,0.980267729,,,
76,rLimbicB_OFC_1,1.25132581,,,
77,rSalVentAttnA_FrMed_1,0.979203736,,,
78,rSalVentAttnA_Ins_1,1.017284206,,,
79,rSalVentAttnA_ParMed_1,0.61121591,,,
80,rSalVentAttnA_ParOper_1,0.618217419,,,
81,rSalVentAttnB_IPL_1,0.347544369,,,
82,rSalVentAttnB_PFCl_1,0.804432521,,,
83,rSalVentAttnB_PFCmp_1,1.18827671,,,
84,rSomMotA_1,0.303302039,,,
85,rSomMotA_2,0.587616867,,,
86,rSomMotA_3,0.670519674,,,
87,rSomMotA_4,0.614680502,,,
88,rSomMotB_Aud_1,0.395608543,,,
89,rSomMotB_Cent_1,0.125339345,,,
90,rSomMotB_S2_1,0.81982337,,,
91,rSomMotB_S2_2,0.954948378,,,
92,rTempPar_1,0.703574205,,,
93,rTempPar_2,-0.4158611,,,
94,rTempPar_3,0.134282315,,,
95,rVisCent_ExStr_1,0.827585605,,,
96,rVisCent_ExStr_2,0.753848173,,,
97,rVisCent_ExStr_3,0.670444569,,,
98,rVisPeri_ExStrInf_1,0.530228354,,,
99,rVisPeri_ExStrSup_1,0.519269169,,,
100,rVisPeri_StriCal_1,0.711351257,,,
