"","ROI","zval","ci.lb","ci.ub","pval","QE","QEp"
"1","lContA_IPS_1",-2.14247291175816,-0.136431910175776,-0.00606957332773762,0.0321554461877947,0.302946998169768,0.997587293377273
"2","lContA_PFCl_1",-5.69943597491608,-0.254739735560636,-0.1243690251204,1.20204457635503e-08,1.96743028334733,0.853633083397189
"3","lContA_PFCl_2",-2.62234994491809,-0.152365745795662,-0.0220248835874738,0.00873257132385741,0.801949827324446,0.976908810940275
"4","lContB_PFClv_1",-3.03270753184502,-0.166004003363624,-0.0356682234853009,0.0024237037654699,0.9093243782272,0.969542915233172
"5","lContC_Cingp_1",-2.57647430877652,-0.150852314297616,-0.0205011075178652,0.00998136226847668,1.18767174477768,0.946054612775836
"6","lContC_pCun_1",-1.59212753646681,-0.118060277959768,0.0122257191422116,0.111356050998562,0.267093781842853,0.998216564240947
"7","lContC_pCun_2",-0.320403397268026,-0.075946419614528,0.0546046910413504,0.748662550540713,1.29905743283523,0.935028638702899
"8","lDefaultA_pCunPCC_1",-3.15554587753228,-0.170128265820093,-0.039761877033753,0.00160198070129677,1.4586469376761,0.917792044831845
"9","lDefaultA_PFCd_1",-0.15497534858923,-0.0703109799584996,0.0600066951423519,0.876840751462518,1.05566181959017,0.95795249046668
"10","lDefaultA_PFCm_1",-5.61759927614647,-0.252017782561493,-0.121647171247211,1.93628924594657e-08,2.72652876775339,0.742058086024311
"11","lDefaultB_IPL_1",-3.55005072798125,-0.183244747059748,-0.052880991849768,0.000385156926232572,5.49013369538566,0.359028969986366
"12","lDefaultB_PFCd_1",-4.48214104145416,-0.214249164799285,-0.0838816389579691,7.38978755978756e-06,2.03230877221276,0.844656685887744
"13","lDefaultB_PFCl_1",-1.9915799825457,-0.131412909790958,-0.0010514245389836,0.046417161494267,0.288529315242019,0.997853268316135
"14","lDefaultB_PFCv_1",-3.0515642388399,-0.231859620613869,-0.0505031618186251,0.00227652329780292,5.38645807975368,0.37055682870629
"15","lDefaultB_PFCv_2",-5.079466930082,-0.234106757905438,-0.103743715893332,3.78495400429473e-07,3.45581167277477,0.630084179508896
"16","lDefaultB_Temp_1",-3.14094285363722,-0.200702509968445,-0.0464673107678621,0.00168404888711457,3.63928409039227,0.602424778606305
"17","lDefaultB_Temp_2",-3.37866264620116,-0.177541537793535,-0.0471802880176267,0.000728393312886209,4.1383132560801,0.529679107649112
"18","lDefaultC_PHC_1",-2.25770753491234,-0.140270620278589,-0.00990230564472502,0.0239638991640656,2.33495426296846,0.801119650423824
