Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
BSNIP_REST_SCZ_adj,lContA_IPS_1,standard,-0.141327736,0.246572704,0.288389127,-1.160943482,0.121735242,310
BSNIP_REST_SCZ_adj,lContA_IPS_1,corrected,0.001430269,0.991382641,0.991382641,0.010809473,0.132316256,310
BSNIP_REST_SCZ_adj,lContA_PFCl_1,standard,-0.318827913,0.009259788,0.021044974,-2.618988615,0.121737037,310
BSNIP_REST_SCZ_adj,lContA_PFCl_1,corrected,-0.249666903,0.060142391,0.092526756,-1.886876359,0.132317574,310
BSNIP_REST_SCZ_adj,lContA_PFCl_2,standard,-0.326671732,0.007685146,0.018297968,-2.683418659,0.121737147,310
BSNIP_REST_SCZ_adj,lContA_PFCl_2,corrected,-0.247974706,0.061890134,0.094488754,-1.874087698,0.132317557,310
BSNIP_REST_SCZ_adj,lContB_PFClv_1,standard,-0.486679368,8.03E-05,0.000729876,-3.997653806,0.121741249,310
BSNIP_REST_SCZ_adj,lContB_PFClv_1,corrected,-0.435434188,0.001118363,0.004385738,-3.290760893,0.132320215,310
BSNIP_REST_SCZ_adj,lContC_Cingp_1,standard,-0.214288363,0.079363694,0.113685949,-1.760273773,0.121735815,310
BSNIP_REST_SCZ_adj,lContC_Cingp_1,corrected,-0.179891365,0.174993682,0.220117839,-1.359548945,0.132316947,310
BSNIP_REST_SCZ_adj,lContC_pCun_1,standard,-0.279400885,0.02240446,0.04148974,-2.295127881,0.121736522,310
BSNIP_REST_SCZ_adj,lContC_pCun_1,corrected,-0.256974573,0.053060356,0.083603826,-1.942103477,0.132317653,310
BSNIP_REST_SCZ_adj,lContC_pCun_2,standard,0.004604227,0.969854519,0.97472816,0.037821784,0.121734793,310
BSNIP_REST_SCZ_adj,lContC_pCun_2,corrected,0.041147465,0.756033274,0.795824499,0.31097805,0.1323163,310
BSNIP_REST_SCZ_adj,lDefaultA_pCunPCC_1,standard,-0.162201118,0.183720991,0.228224833,-1.332407347,0.121735382,310
BSNIP_REST_SCZ_adj,lDefaultA_pCunPCC_1,corrected,-0.174184916,0.189037212,0.229136015,-1.316422246,0.132316904,310
BSNIP_REST_SCZ_adj,lDefaultA_PFCd_1,standard,-0.381103667,0.001913969,0.006379896,-3.130523802,0.121737987,310
BSNIP_REST_SCZ_adj,lDefaultA_PFCd_1,corrected,-0.294163199,0.026950462,0.047281512,-2.223151953,0.13231808,310
