Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_FI,lContA_IPS_1,standard,-0.055772048,0.384588532,0.368069577,-0.870247785,0.06408755,498
LIBD_FI,lContA_IPS_1,corrected,-0.040532364,0.242925921,0.496243267,-1.169120281,0.034669114,498
LIBD_FI,lContA_PFCl_1,standard,-0.16215533,0.001743698,0.006099389,-3.147968984,0.051511095,498
LIBD_FI,lContA_PFCl_1,corrected,-0.14662847,0.000731927,0.012503836,-3.398921234,0.043139708,498
LIBD_FI,lContA_PFCl_2,standard,-0.008524343,0.908743375,0.889381176,-0.114682629,0.074329854,498
LIBD_FI,lContA_PFCl_2,corrected,-0.00534139,0.858252835,0.932044487,-0.178693116,0.029891415,498
LIBD_FI,lContB_PFClv_1,standard,-0.050103594,0.384286837,0.411330335,-0.870800641,0.057537388,498
LIBD_FI,lContB_PFClv_1,corrected,-0.040558113,0.29410119,0.496243267,-1.050297504,0.038615833,498
LIBD_FI,lContC_Cingp_1,standard,-0.047519219,0.3685767,0.4409433,-0.899967933,0.052801014,498
LIBD_FI,lContC_Cingp_1,corrected,-0.041916615,0.319683892,0.487451714,-0.996123324,0.042079745,498
LIBD_FI,lContC_pCun_1,standard,-0.110688797,0.03096876,0.065801417,-2.163677638,0.051157712,498
LIBD_FI,lContC_pCun_1,corrected,-0.10077759,0.020739303,0.084905276,-2.320242182,0.043434082,498
LIBD_FI,lContC_pCun_2,standard,-0.013282751,0.982494693,0.821885251,-0.021952544,0.605066598,498
LIBD_FI,lContC_pCun_2,corrected,-0.001022449,0.780790989,0.982494693,-0.278442047,0.003672035,498
LIBD_FI,lDefaultA_pCunPCC_1,standard,-0.124989005,0.018222023,0.037484839,-2.368972422,0.052760853,498
LIBD_FI,lDefaultA_pCunPCC_1,corrected,-0.110340349,0.009067649,0.061769568,-2.619972313,0.042115082,498
LIBD_FI,lDefaultA_PFCd_1,standard,-0.147914684,0.002400428,0.014095614,-3.051418213,0.048474078,498
LIBD_FI,lDefaultA_PFCd_1,corrected,-0.142130639,0.002043864,0.015045932,-3.100468872,0.04584166,498
LIBD_FI,lDefaultA_PFCm_1,standard,-0.145090049,0.008496715,0.015045932,-2.64228373,0.054910851,498
LIBD_FI,lDefaultA_PFCm_1,corrected,-0.123071675,0.002482579,0.036156232,-3.041269258,0.040467208,498
LIBD_FI,lDefaultB_IPL_1,standard,-0.120571197,0.032073204,0.045409615,-2.149594976,0.056090193,498
LIBD_FI,lDefaultB_IPL_1,corrected,-0.100121618,0.0118065,0.086684335,-2.527376804,0.039614836,498
LIBD_FI,lDefaultB_PFCd_1,standard,-0.085427766,0.109739157,0.149990138,-1.602257567,0.053317124,498
LIBD_FI,lDefaultB_PFCd_1,corrected,-0.074627186,0.073952607,0.195962781,-1.790753095,0.041673632,498
LIBD_FI,lDefaultB_PFCl_1,standard,-0.013972076,0.957145443,0.818860755,-0.053763407,0.259880776,498
LIBD_FI,lDefaultB_PFCl_1,corrected,-0.002504052,0.76972911,0.971721262,-0.292892121,0.0085494,498
LIBD_FI,lDefaultB_PFCv_1,standard,-0.188005257,3.38E-05,0.001330427,-4.184726678,0.044926532,498
LIBD_FI,lDefaultB_PFCv_1,corrected,-0.194929966,9.31E-05,0.000676177,-3.940644199,0.049466523,498
LIBD_FI,lDefaultB_PFCv_2,standard,-0.173086853,0.000363993,0.003323235,-3.589838746,0.048215774,498
LIBD_FI,lDefaultB_PFCv_2,corrected,-0.16721379,0.000315707,0.003639931,-3.628013336,0.046089629,498
LIBD_FI,lDefaultB_Temp_1,standard,-0.139442593,0.004196136,0.01860934,-2.87643825,0.04847752,498
LIBD_FI,lDefaultB_Temp_1,corrected,-0.13397932,0.003628821,0.020468958,-2.922906771,0.045837699,498
LIBD_FI,lDefaultB_Temp_2,standard,-0.133294032,0.007548753,0.025163733,-2.682680747,0.049686878,498
LIBD_FI,lDefaultB_Temp_2,corrected,-0.124953472,0.005410203,0.033550014,-2.794039685,0.044721438,498
LIBD_FI,lDefaultC_PHC_1,standard,-0.122678056,0.050078074,0.041540315,-1.964115785,0.062459686,498
LIBD_FI,lDefaultC_PHC_1,corrected,-0.091482052,0.01041983,0.11923351,-2.571535847,0.035574869,498
LIBD_FI,lDefaultC_Rsp_1,standard,-0.054694655,0.268665555,0.37078726,-1.107389527,0.04939062,498
LIBD_FI,lDefaultC_Rsp_1,corrected,-0.051577573,0.252135337,0.383807935,-1.146535904,0.044985572,498
LIBD_FI,lDorsAttnA_ParOcc_1,standard,-0.091908497,0.120797013,0.125541036,-1.554121977,0.059138535,498
LIBD_FI,lDorsAttnA_ParOcc_1,corrected,-0.07238513,0.054610351,0.210280598,-1.926596189,0.037571511,498
LIBD_FI,lDorsAttnA_SPL_1,standard,-0.092346246,0.065316708,0.124355541,-1.847202887,0.049992476,498
LIBD_FI,lDorsAttnA_SPL_1,corrected,-0.086036355,0.053472883,0.140639367,-1.935771828,0.044445504,498
LIBD_FI,lDorsAttnA_TempOcc_1,standard,-0.110249722,0.060304596,0.065801417,-1.882884216,0.058553639,498
LIBD_FI,lDorsAttnA_TempOcc_1,corrected,-0.087698354,0.021246587,0.134010212,-2.311039077,0.037947586,498
LIBD_FI,lDorsAttnB_FEF_1,standard,-0.061821047,0.218047099,0.31550948,-1.233311967,0.050126042,498
LIBD_FI,lDorsAttnB_FEF_1,corrected,-0.057442637,0.195615878,0.342010282,-1.295919279,0.044325783,498
LIBD_FI,lDorsAttnB_PostC_1,standard,-0.053010061,0.400845992,0.383807935,-0.840838591,0.063044277,498
LIBD_FI,lDorsAttnB_PostC_1,corrected,-0.039162597,0.26701943,0.50739999,-1.111223289,0.035242779,498
LIBD_FI,lDorsAttnB_PostC_2,standard,-0.094119184,0.048124943,0.118233709,-1.981191737,0.047506348,498
LIBD_FI,lDorsAttnB_PostC_2,corrected,-0.092277439,0.049066989,0.117377911,-1.972934212,0.046771676,498
LIBD_FI,lDorsAttnB_PostC_3,standard,0.00118171,0.830070658,0.982494693,0.214724823,0.005503369,498
LIBD_FI,lDorsAttnB_PostC_3,corrected,0.010000898,0.980247086,0.864656936,0.024771831,0.403720585,498
