Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_RS,lContA_IPS_1,standard,-0.092002448,0.094273067,0.182851544,-1.67770267,0.054838351,365
LIBD_RS,lContA_IPS_1,corrected,-0.075214799,0.184091943,0.270723445,-1.330851701,0.056516289,365
LIBD_RS,lContA_PFCl_1,standard,-0.166669481,0.002545092,0.016419948,-3.039249506,0.054839025,365
LIBD_RS,lContA_PFCl_1,corrected,-0.145390633,0.010501909,0.045660475,-2.572519273,0.056516829,365
LIBD_RS,lContA_PFCl_2,standard,-0.070733434,0.197928539,0.284116516,-1.28985627,0.054838229,365
LIBD_RS,lContA_PFCl_2,corrected,-0.047695277,0.399280928,0.492939417,-0.843922678,0.056516169,365
LIBD_RS,lContB_PFClv_1,standard,-0.071585085,0.192594956,0.279123124,-1.305386417,0.054838233,365
LIBD_RS,lContB_PFClv_1,corrected,-0.047908604,0.397177738,0.492939417,-0.84769728,0.056516171,365
LIBD_RS,lContC_Cingp_1,standard,-0.065455492,0.233416071,0.321527652,-1.193611164,0.054838204,365
LIBD_RS,lContC_Cingp_1,corrected,-0.053172944,0.347424324,0.442578757,-0.940844472,0.056516189,365
LIBD_RS,lContC_pCun_1,standard,-0.078760891,0.151802602,0.239059215,-1.436239485,0.054838272,365
LIBD_RS,lContC_pCun_1,corrected,-0.075734098,0.18108937,0.270515016,-1.340040117,0.056516292,365
LIBD_RS,lContC_pCun_2,standard,-0.018576656,0.734991978,0.788297937,-0.338754763,0.054838066,365
LIBD_RS,lContC_pCun_2,corrected,-0.002689708,0.962068251,0.969375064,-0.047591898,0.05651609,365
LIBD_RS,lDefaultA_pCunPCC_1,standard,-0.100806915,0.066848733,0.150221872,-1.838253772,0.054838411,365
LIBD_RS,lDefaultA_pCunPCC_1,corrected,-0.094908756,0.093970836,0.182851544,-1.679313357,0.056516406,365
LIBD_RS,lDefaultA_PFCd_1,standard,-0.105172993,0.055918405,0.13700018,-1.917869823,0.054838442,365
LIBD_RS,lDefaultA_PFCd_1,corrected,-0.102682028,0.070082928,0.152354191,-1.816851736,0.05651646,365
LIBD_RS,lDefaultA_PFCm_1,standard,-0.146924664,0.007718342,0.036754007,-2.679209546,0.05483881,365
LIBD_RS,lDefaultA_PFCm_1,corrected,-0.131417416,0.020619804,0.06864431,-2.325284865,0.056516695,365
LIBD_RS,lDefaultB_IPL_1,standard,-0.180977263,0.001062931,0.00817639,-3.300144176,0.054839199,365
LIBD_RS,lDefaultB_IPL_1,corrected,-0.169971045,0.002822538,0.017640865,-3.00742697,0.056517098,365
LIBD_RS,lDefaultB_PFCd_1,standard,-0.113559163,0.039090459,0.111687027,-2.070792421,0.054838506,365
LIBD_RS,lDefaultB_PFCd_1,corrected,-0.094408025,0.09571103,0.182851544,-1.670453538,0.056516403,365
LIBD_RS,lDefaultB_PFCl_1,standard,0.027596016,0.615112253,0.68727626,0.503227257,0.054838079,365
LIBD_RS,lDefaultB_PFCl_1,corrected,0.039382155,0.486365109,0.575184956,0.696830188,0.056516144,365
LIBD_RS,lDefaultB_PFCv_1,standard,-0.226484928,4.52E-05,0.00213413,-4.129934255,0.054839839,365
LIBD_RS,lDefaultB_PFCv_1,corrected,-0.207404341,0.000280065,0.003500806,-3.669730554,0.056517594,365
LIBD_RS,lDefaultB_PFCv_2,standard,-0.205838127,0.000203263,0.002903758,-3.753462758,0.054839528,365
LIBD_RS,lDefaultB_PFCv_2,corrected,-0.195243617,0.000617855,0.005884333,-3.454574255,0.056517418,365
LIBD_RS,lDefaultB_Temp_1,standard,-0.153914019,0.005278134,0.027067352,-2.806658512,0.054838883,365
LIBD_RS,lDefaultB_Temp_1,corrected,-0.129578925,0.022446327,0.07125818,-2.2927555,0.056516678,365
LIBD_RS,lDefaultB_Temp_2,standard,-0.109829385,0.04595035,0.121752448,-2.002779641,0.054838477,365
LIBD_RS,lDefaultB_Temp_2,corrected,-0.098647184,0.081769967,0.1696712,-1.745460238,0.056516432,365
LIBD_RS,lDefaultC_PHC_1,standard,-0.099939251,0.069218939,0.152129536,-1.822431777,0.054838405,365
