Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_NB,lContA_IPS_1,standard,-0.08764918,0.03433536,0.045985749,-2.122229221,0.041300525,480
LIBD_NB,lContA_IPS_1,corrected,-0.091806852,0.030336874,0.041843964,-2.172237923,0.042263718,480
LIBD_NB,lContA_PFCl_1,standard,-0.164781432,7.49E-05,0.000277461,-3.995156363,0.041245302,480
LIBD_NB,lContA_PFCl_1,corrected,-0.179501237,2.54E-05,0.000144911,-4.253924377,0.042196622,480
LIBD_NB,lContA_PFCl_2,standard,-0.087969382,0.03368575,0.045673662,-2.129990494,0.041300364,480
LIBD_NB,lContA_PFCl_2,corrected,-0.089621482,0.034489311,0.045985749,-2.120473471,0.042264845,480
LIBD_NB,lContB_PFClv_1,standard,-0.082018923,0.047632882,0.061067797,-1.985773986,0.041303252,480
LIBD_NB,lContB_PFClv_1,corrected,-0.087876215,0.038146482,0.050192739,-2.079136562,0.042265725,480
LIBD_NB,lContC_Cingp_1,standard,-0.075961246,0.066540851,0.082149199,-1.838988811,0.041305986,480
LIBD_NB,lContC_Cingp_1,corrected,-0.076443641,0.071180894,0.08733852,-1.808415156,0.042271069,480
LIBD_NB,lContC_pCun_1,standard,-0.097627222,0.018474032,0.027780498,-2.364127107,0.041295251,480
LIBD_NB,lContC_pCun_1,corrected,-0.102978284,0.015182975,0.023539496,-2.436920936,0.04225754,480
LIBD_NB,lContC_pCun_2,standard,-0.053703702,0.194271333,0.222024381,-1.299883511,0.041314242,480
LIBD_NB,lContC_pCun_2,corrected,-0.051643147,0.222527139,0.250030493,-1.221452285,0.042280118,480
LIBD_NB,lDefaultA_pCunPCC_1,standard,-0.13682016,0.000985474,0.00249487,-3.315314483,0.041269135,480
LIBD_NB,lDefaultA_pCunPCC_1,corrected,-0.135388625,0.001439841,0.003324628,-3.205551501,0.042235673,480
LIBD_NB,lDefaultA_PFCd_1,standard,-0.157329048,0.000154864,0.000534014,-3.813846141,0.04125207,480
LIBD_NB,lDefaultA_PFCd_1,corrected,-0.175029607,3.99E-05,0.00019458,-4.147516664,0.042201062,480
LIBD_NB,lDefaultA_PFCm_1,standard,-0.191047832,4.62E-06,3.55E-05,-4.634904226,0.04121937,480
LIBD_NB,lDefaultA_PFCm_1,corrected,-0.199869628,2.85E-06,2.37E-05,-4.739017246,0.042175332,480
LIBD_NB,lDefaultB_IPL_1,standard,-0.151992725,0.000255948,0.000819883,-3.684071045,0.04125673,480
LIBD_NB,lDefaultB_IPL_1,corrected,-0.151985036,0.000352507,0.001052261,-3.599645423,0.042222224,480
LIBD_NB,lDefaultB_PFCd_1,standard,-0.134954976,0.001153583,0.002813617,-3.270005049,0.041270571,480
LIBD_NB,lDefaultB_PFCd_1,corrected,-0.148443801,0.000481426,0.001375502,-3.515524096,0.042225226,480
LIBD_NB,lDefaultB_PFCl_1,standard,-0.029460218,0.47621017,0.498649393,-0.712976881,0.041320019,480
LIBD_NB,lDefaultB_PFCl_1,corrected,-0.040613386,0.337291012,0.368624057,-0.960512892,0.04228302,480
LIBD_NB,lDefaultB_PFCv_1,standard,-0.207783523,6.52E-07,6.96E-06,-5.043375345,0.041199298,480
LIBD_NB,lDefaultB_PFCv_1,corrected,-0.197764708,3.61E-06,2.88E-05,-4.688590897,0.042179988,480
LIBD_NB,lDefaultB_PFCv_2,standard,-0.187096096,7.18E-06,4.79E-05,-4.538722043,0.041222197,480
LIBD_NB,lDefaultB_PFCv_2,corrected,-0.190660938,7.85E-06,5.06E-05,-4.519587192,0.042185476,480
LIBD_NB,lDefaultB_Temp_1,standard,-0.150730579,0.000287626,0.000885003,-3.65338263,0.041257813,480
LIBD_NB,lDefaultB_Temp_1,corrected,-0.157710693,0.000210198,0.00070066,-3.735694315,0.042217237,480
LIBD_NB,lDefaultB_Temp_2,standard,-0.138022009,0.000889516,0.002280811,-3.344512689,0.041268197,480
LIBD_NB,lDefaultB_Temp_2,corrected,-0.155551087,0.000255944,0.000819883,-3.68437332,0.042219144,480
LIBD_NB,lDefaultC_PHC_1,standard,-0.13642519,0.00101905,0.002547625,-3.305719472,0.04126944,480
LIBD_NB,lDefaultC_PHC_1,corrected,-0.141808953,0.00084899,0.002263866,-3.357962648,0.042230652,480
LIBD_NB,lDefaultC_Rsp_1,standard,-0.098165525,0.0206117,0.030311324,-2.322795826,0.042261797,480
LIBD_NB,lDefaultC_Rsp_1,corrected,-0.081228739,0.049808199,0.063449935,-1.966678683,0.041302496,480
LIBD_NB,lDorsAttnA_ParOcc_1,standard,-0.094530444,0.022514934,0.032630338,-2.2890419,0.041296948,480
LIBD_NB,lDorsAttnA_ParOcc_1,corrected,-0.107713187,0.01111554,0.018525901,-2.549140346,0.04225471,480
LIBD_NB,lDorsAttnA_SPL_1,standard,-0.108365005,0.008955799,0.015711928,-2.624552243,0.041288949,480
LIBD_NB,lDorsAttnA_SPL_1,corrected,-0.114035871,0.007204788,0.01359394,-2.699026807,0.042250737,480
LIBD_NB,lDorsAttnA_TempOcc_1,standard,-0.171978729,3.62E-05,0.000180796,-4.170346173,0.041238478,480
LIBD_NB,lDorsAttnA_TempOcc_1,corrected,-0.169051596,7.20E-05,0.000276531,-4.005313769,0.04220683,480
LIBD_NB,lDorsAttnB_FEF_1,standard,-0.118343965,0.00433221,0.00866442,-2.866685018,0.041282514,480
LIBD_NB,lDorsAttnB_FEF_1,corrected,-0.117562075,0.005608954,0.010997949,-2.782638132,0.042248424,480
LIBD_NB,lDorsAttnB_PostC_1,standard,-0.100202391,0.015613338,0.02402052,-2.426572364,0.041293799,480
LIBD_NB,lDorsAttnB_PostC_1,corrected,-0.104287831,0.013943767,0.02216694,-2.467955573,0.04225677,480
LIBD_NB,lDorsAttnB_PostC_2,standard,-0.110953818,0.007454689,0.013847522,-2.687357292,0.041287334,480
LIBD_NB,lDorsAttnB_PostC_2,corrected,-0.108862538,0.010288099,0.017560361,-2.576383924,0.042254005,480
LIBD_NB,lDorsAttnB_PostC_3,standard,-0.052067296,0.208194473,0.236584629,-1.260259652,0.041314737,480
LIBD_NB,lDorsAttnB_PostC_3,corrected,-0.049982158,0.237742526,0.265634107,-1.182153503,0.042280599,480
LIBD_NB,lLimbicA_TempPole_1,standard,-0.160898712,0.000109757,0.000385111,-3.90068094,0.041248878,480
LIBD_NB,lLimbicA_TempPole_1,corrected,-0.166047151,9.62E-05,0.00034982,-3.933866501,0.042209656,480
LIBD_NB,lLimbicA_TempPole_2,standard,-0.151895654,0.000258263,0.000819883,-3.681710564,0.041256816,480
LIBD_NB,lLimbicA_TempPole_2,corrected,-0.146036381,0.000592947,0.001647075,-3.458347042,0.04222722,480
LIBD_NB,lLimbicB_OFC_1,standard,-0.149817656,0.000312795,0.000947864,-3.63118713,0.041258589,480
LIBD_NB,lLimbicB_OFC_1,corrected,-0.148135597,0.000494519,0.001393011,-3.508203828,0.042225482,480
LIBD_NB,lSalVentAttnA_FrMed_1,standard,-0.113060524,0.006404463,0.012316274,-2.738471846,0.041285991,480
LIBD_NB,lSalVentAttnA_FrMed_1,corrected,-0.117133661,0.005784094,0.01123125,-2.772479077,0.042248709,480
LIBD_NB,lSalVentAttnA_Ins_1,standard,-0.228795985,4.59E-08,1.84E-06,-5.556617276,0.041175408,480
