Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UCLA_REST_SCZ_adj,lContA_IPS_1,standard,-0.182699094,0.337829082,0.637413362,-0.96140068,0.190034288,162
UCLA_REST_SCZ_adj,lContA_IPS_1,corrected,-0.039987084,0.845709405,0.94492671,-0.194928276,0.205137422,162
UCLA_REST_SCZ_adj,lContA_PFCl_1,standard,-0.094673172,0.619042463,0.855319595,-0.498196866,0.190031649,162
UCLA_REST_SCZ_adj,lContA_PFCl_1,corrected,-0.124576658,0.544571552,0.818904589,-0.607279516,0.20513891,162
UCLA_REST_SCZ_adj,lContA_PFCl_2,standard,0.018375171,0.923091306,0.95449955,0.096695792,0.19003072,162
UCLA_REST_SCZ_adj,lContA_PFCl_2,corrected,0.102601465,0.617687633,0.855319595,0.500157341,0.205138377,162
UCLA_REST_SCZ_adj,lContB_PFClv_1,standard,-0.260014385,0.173197105,0.504594018,-1.368223295,0.190037976,162
UCLA_REST_SCZ_adj,lContB_PFClv_1,corrected,-0.264314585,0.19955408,0.539335352,-1.288429952,0.205144707,162
UCLA_REST_SCZ_adj,lContC_Cingp_1,standard,-0.383419984,0.045346289,0.334614862,-2.017506465,0.190046471,162
UCLA_REST_SCZ_adj,lContC_Cingp_1,corrected,-0.407567105,0.048760866,0.334614862,-1.986631175,0.205154892,162
UCLA_REST_SCZ_adj,lContC_pCun_1,standard,-0.479053083,0.012713858,0.187999358,-2.52059954,0.190055213,162
UCLA_REST_SCZ_adj,lContC_pCun_1,corrected,-0.625483014,0.002713477,0.135673865,-3.048484865,0.205178324,162
UCLA_REST_SCZ_adj,lContC_pCun_2,standard,-0.326722786,0.08754665,0.412857975,-1.71921201,0.190042173,162
UCLA_REST_SCZ_adj,lContC_pCun_2,corrected,-0.329419196,0.110402807,0.44125361,-1.605757288,0.205148809,162
UCLA_REST_SCZ_adj,lDefaultA_pCunPCC_1,standard,-0.374015026,0.050826386,0.334614862,-1.968026652,0.190045712,162
UCLA_REST_SCZ_adj,lDefaultA_pCunPCC_1,corrected,-0.44728147,0.030782872,0.293170209,-2.180175594,0.205158461,162
UCLA_REST_SCZ_adj,lDefaultA_PFCd_1,standard,0.046165131,0.808372965,0.930163471,0.242934851,0.190030911,162
UCLA_REST_SCZ_adj,lDefaultA_PFCd_1,corrected,0.08652637,0.673770006,0.877337029,0.421795806,0.205138052,162
UCLA_REST_SCZ_adj,lDefaultA_PFCm_1,standard,-0.309276081,0.105653651,0.431239394,-1.627417802,0.190040984,162
UCLA_REST_SCZ_adj,lDefaultA_PFCm_1,corrected,-0.243857917,0.236404443,0.561437639,-1.18871813,0.2051436,162
UCLA_REST_SCZ_adj,lDefaultB_IPL_1,standard,0.007597942,0.968157708,0.977937078,0.039982711,0.190030684,162
UCLA_REST_SCZ_adj,lDefaultB_IPL_1,corrected,0.014803956,0.942564598,0.960787617,0.072166095,0.205137274,162
UCLA_REST_SCZ_adj,lDefaultB_PFCd_1,standard,-0.350108125,0.067325095,0.354342603,-1.842249023,0.190043865,162
UCLA_REST_SCZ_adj,lDefaultB_PFCd_1,corrected,-0.29086655,0.15828148,0.486383643,-1.417849544,0.205146273,162
UCLA_REST_SCZ_adj,lDefaultB_PFCl_1,standard,0.059637371,0.754067057,0.897698877,0.313829591,0.190031064,162
UCLA_REST_SCZ_adj,lDefaultB_PFCl_1,corrected,0.064783201,0.752584876,0.897698877,0.315803489,0.205137699,162
UCLA_REST_SCZ_adj,lDefaultB_PFCv_1,standard,-0.281128542,0.141058845,0.457553553,-1.479318679,0.190039202,162
UCLA_REST_SCZ_adj,lDefaultB_PFCv_1,corrected,-0.247357785,0.229776857,0.561437639,-1.205777632,0.205143783,162
UCLA_REST_SCZ_adj,lDefaultB_PFCv_2,standard,-0.369504501,0.053647272,0.334614862,-1.944296412,0.190045355,162
UCLA_REST_SCZ_adj,lDefaultB_PFCv_2,corrected,-0.391299637,0.058361403,0.334614862,-1.907350314,0.205153523,162
UCLA_REST_SCZ_adj,lDefaultB_Temp_1,standard,-0.301408741,0.114745943,0.44125361,-1.586023969,0.19004047,162
UCLA_REST_SCZ_adj,lDefaultB_Temp_1,corrected,-0.234008853,0.255784597,0.561437639,-1.140710333,0.205143099,162
UCLA_REST_SCZ_adj,lDefaultB_Temp_2,standard,-0.122570972,0.51986813,0.805112826,-0.64500071,0.190032306,162
UCLA_REST_SCZ_adj,lDefaultB_Temp_2,corrected,-0.198620363,0.334476724,0.637413362,-0.968211673,0.205141467,162
UCLA_REST_SCZ_adj,lDefaultC_PHC_1,standard,0.017591359,0.926362292,0.95449955,0.092571138,0.190030708,162
UCLA_REST_SCZ_adj,lDefaultC_PHC_1,corrected,-0.048362476,0.813939069,0.930163471,-0.235756387,0.205137501,162
