Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UCLA_SCAP_SCZ_adj,lContA_IPS_1,standard,-0.182699094,0.337829082,0.662554961,-0.961419565,0.190030555,161
UCLA_SCAP_SCZ_adj,lContA_IPS_1,corrected,-0.095305524,0.650439389,0.858813777,-0.454057522,0.209897468,161
UCLA_SCAP_SCZ_adj,lContA_PFCl_1,standard,-0.094673172,0.619042463,0.832357995,-0.498203216,0.190029227,161
UCLA_SCAP_SCZ_adj,lContA_PFCl_1,corrected,-0.141405069,0.50154178,0.748569821,-0.673684559,0.209898041,161
UCLA_SCAP_SCZ_adj,lContA_PFCl_2,standard,0.018375171,0.923091306,0.961622193,0.096696788,0.190028763,161
UCLA_SCAP_SCZ_adj,lContA_PFCl_2,corrected,0.062390274,0.76669023,0.919118353,0.297242059,0.209897193,161
UCLA_SCAP_SCZ_adj,lContB_PFClv_1,standard,-0.260014385,0.173197105,0.487879168,-1.368263358,0.190032411,161
UCLA_SCAP_SCZ_adj,lContB_PFClv_1,corrected,-0.232857475,0.269032437,0.584853123,-1.109374244,0.209899839,161
UCLA_SCAP_SCZ_adj,lContC_Cingp_1,standard,-0.383419984,0.045346289,0.323902063,-2.017610345,0.190036686,161
UCLA_SCAP_SCZ_adj,lContC_Cingp_1,corrected,-0.503409154,0.017696047,0.186274181,-2.398212238,0.209910176,161
UCLA_SCAP_SCZ_adj,lContC_pCun_1,standard,-0.479053083,0.012713858,0.186274181,-2.520786925,0.190041085,161
UCLA_SCAP_SCZ_adj,lContC_pCun_1,corrected,-0.566254308,0.007779603,0.161247156,-2.697558701,0.209913618,161
UCLA_SCAP_SCZ_adj,lContC_pCun_2,standard,-0.326722786,0.08754665,0.39474271,-1.719281216,0.190034523,161
UCLA_SCAP_SCZ_adj,lContC_pCun_2,corrected,-0.346712063,0.100659391,0.39474271,-1.651770536,0.209903286,161
UCLA_SCAP_SCZ_adj,lDefaultA_pCunPCC_1,standard,-0.374015026,0.050826386,0.32513498,-1.96812408,0.190036304,161
UCLA_SCAP_SCZ_adj,lDefaultA_pCunPCC_1,corrected,-0.565984102,0.007808316,0.161247156,-2.696271631,0.209913606,161
UCLA_SCAP_SCZ_adj,lDefaultA_PFCd_1,standard,0.046165131,0.808372965,0.919118353,0.242937478,0.190028856,161
UCLA_SCAP_SCZ_adj,lDefaultA_PFCd_1,corrected,0.159856507,0.447492473,0.718195917,0.761590167,0.209898334,161
UCLA_SCAP_SCZ_adj,lDefaultA_PFCm_1,standard,-0.309276081,0.105653651,0.396287459,-1.627478258,0.190033925,161
UCLA_SCAP_SCZ_adj,lDefaultA_PFCm_1,corrected,-0.236016699,0.262617075,0.584145952,-1.124424931,0.209899916,161
UCLA_SCAP_SCZ_adj,lDefaultB_IPL_1,standard,0.007597942,0.968157708,0.975737192,0.03998312,0.190028741,161
UCLA_SCAP_SCZ_adj,lDefaultB_IPL_1,corrected,-0.008843078,0.966450276,0.975737192,-0.04213056,0.209896998,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCd_1,standard,-0.350108125,0.067325095,0.348940236,-1.84233133,0.190035375,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCd_1,corrected,-0.275213026,0.191795234,0.511453956,-1.31115655,0.209900966,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCl_1,standard,0.059637371,0.754067057,0.919118353,0.313833111,0.190028932,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCl_1,corrected,0.060038293,0.775242063,0.919118353,0.286036682,0.20989718,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCv_1,standard,-0.281128542,0.141058845,0.447805857,-1.479366742,0.190033028,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCv_1,corrected,-0.15672347,0.456427439,0.718195917,-0.746663901,0.209898282,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCv_2,standard,-0.369504501,0.053647272,0.32513498,-1.944390849,0.190036124,161
UCLA_SCAP_SCZ_adj,lDefaultB_PFCv_2,corrected,-0.425821258,0.044254044,0.323902063,-2.028623897,0.209906459,161
UCLA_SCAP_SCZ_adj,lDefaultB_Temp_1,standard,-0.301408741,0.114745943,0.409806938,-1.586080753,0.190033667,161
UCLA_SCAP_SCZ_adj,lDefaultB_Temp_1,corrected,-0.292532761,0.165465972,0.472759919,-1.393666979,0.20990148,161
UCLA_SCAP_SCZ_adj,lDefaultB_Temp_2,standard,-0.122570972,0.51986813,0.770175007,-0.645010036,0.190029558,161
