Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA1_FE,lContA_IPS_1,standard,-0.089795839,0.090359225,0.110194177,-1.699132738,0.052848042,297
UNIBA1_FE,lContA_IPS_1,corrected,-0.069833371,0.212662384,0.22503956,-1.249055996,0.055908919,297
UNIBA1_FE,lContA_PFCl_1,standard,-0.142949504,0.007178902,0.016315686,-2.707492656,0.052797744,297
UNIBA1_FE,lContA_PFCl_1,corrected,-0.139944524,0.012774763,0.024805366,-2.505697238,0.055850532,297
UNIBA1_FE,lContA_PFCl_2,standard,-0.121124773,0.022552157,0.038223995,-2.293112233,0.052821127,297
UNIBA1_FE,lContA_PFCl_2,corrected,-0.13113842,0.01957261,0.034039321,-2.347627574,0.055859976,297
UNIBA1_FE,lContB_PFClv_1,standard,-0.101673726,0.055297957,0.076273044,-1.924225959,0.052838766,297
UNIBA1_FE,lContB_PFClv_1,corrected,-0.093195743,0.096530981,0.116302387,-1.667373181,0.055893752,297
UNIBA1_FE,lContC_Cingp_1,standard,-0.136072093,0.010461407,0.021134155,-2.576853575,0.05280552,297
UNIBA1_FE,lContC_Cingp_1,corrected,-0.127092258,0.023641973,0.038757332,-2.275025073,0.055864113,297
UNIBA1_FE,lContC_pCun_1,standard,-0.068210208,0.197951618,0.21171296,-1.29034535,0.052861978,297
UNIBA1_FE,lContC_pCun_1,corrected,-0.067649491,0.227286542,0.236756815,-1.209968696,0.055910117,297
UNIBA1_FE,lContC_pCun_2,standard,-0.117551319,0.026823873,0.043264312,-2.225314151,0.052824595,297
UNIBA1_FE,lContC_pCun_2,corrected,-0.105517132,0.060015014,0.08110137,-1.888145008,0.055884019,297
UNIBA1_FE,lDefaultA_pCunPCC_1,standard,-0.111480809,0.035694174,0.055772148,-2.110169947,0.052830251,297
UNIBA1_FE,lDefaultA_pCunPCC_1,corrected,-0.099098791,0.077267984,0.097943088,-1.773128317,0.055889238,297
UNIBA1_FE,lDefaultA_PFCd_1,standard,-0.142133083,0.007512806,0.016511662,-2.691981447,0.052798686,297
