Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_FI,lContA_IPS_1,standard,-0.060245583,0.442681143,0.481175155,-0.769381128,0.078303952,184
UNIBA2_FI,lContA_IPS_1,corrected,-0.027555223,0.745882933,0.772935682,-0.32458783,0.084892964,184
UNIBA2_FI,lContA_PFCl_1,standard,-0.312380605,9.68E-05,0.007216632,-3.988396392,0.078322357,184
UNIBA2_FI,lContA_PFCl_1,corrected,-0.325571898,0.000175891,0.007216632,-3.834176012,0.084913133,184
UNIBA2_FI,lContA_PFCl_2,standard,-0.17299186,0.028437806,0.080221264,-2.20908708,0.078309208,184
UNIBA2_FI,lContA_PFCl_2,corrected,-0.182773548,0.032709581,0.081773952,-2.152826377,0.084899344,184
UNIBA2_FI,lContB_PFClv_1,standard,-0.287107133,0.000324748,0.007216632,-3.665847104,0.078319451,184
UNIBA2_FI,lContB_PFClv_1,corrected,-0.28377966,0.001017521,0.012719011,-3.342187397,0.084908363,184
UNIBA2_FI,lContC_Cingp_1,standard,-0.10402496,0.185720015,0.233610082,-1.328451969,0.078305398,184
UNIBA2_FI,lContC_Cingp_1,corrected,-0.072958288,0.391299069,0.434776744,-0.859405907,0.084893864,184
UNIBA2_FI,lContC_pCun_1,standard,-0.011990463,0.878469387,0.887342815,-0.153128547,0.07830325,184
UNIBA2_FI,lContC_pCun_1,corrected,0.018991549,0.823243926,0.840044822,0.223711904,0.084892885,184
UNIBA2_FI,lContC_pCun_2,standard,-0.119012386,0.130316558,0.182552408,-1.519836069,0.078306068,184
UNIBA2_FI,lContC_pCun_2,corrected,-0.051544544,0.544530731,0.576222996,-0.607168294,0.084893339,184
UNIBA2_FI,lDefaultA_pCunPCC_1,standard,-0.174198603,0.027365071,0.080221264,-2.224494695,0.078309291,184
UNIBA2_FI,lDefaultA_pCunPCC_1,corrected,-0.118985371,0.162831059,0.212851058,-1.401549385,0.084895596,184
UNIBA2_FI,lDefaultA_PFCd_1,standard,-0.1515431,0.05453892,0.107958848,-1.935222955,0.078307825,184
UNIBA2_FI,lDefaultA_PFCd_1,corrected,-0.152617241,0.073963634,0.121616081,-1.797667272,0.08489738,184
UNIBA2_FI,lDefaultA_PFCm_1,standard,-0.226818677,0.004246912,0.032668553,-2.896292802,0.078313448,184
UNIBA2_FI,lDefaultA_PFCm_1,corrected,-0.19352244,0.023856902,0.072293641,-2.279412843,0.084900127,184
UNIBA2_FI,lDefaultB_IPL_1,standard,-0.212881518,0.007205799,0.0396834,-2.718368163,0.078312247,184
UNIBA2_FI,lDefaultB_IPL_1,corrected,-0.175230376,0.040502928,0.089618025,-2.063990698,0.084898821,184
UNIBA2_FI,lDefaultB_PFCd_1,standard,-0.222499983,0.00501636,0.034595588,-2.841160366,0.078313067,184
UNIBA2_FI,lDefaultB_PFCd_1,corrected,-0.175955476,0.039690426,0.089618025,-2.072530242,0.08489887,184
