Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_RS,lContA_IPS_1,standard,-0.042133181,0.50192757,0.539707065,-0.672330759,0.062667341,285
UNIBA2_RS,lContA_IPS_1,corrected,0.005957469,0.930377711,0.938900632,0.087449698,0.068124524,285
UNIBA2_RS,lContA_PFCl_1,standard,-0.238652106,0.000172583,0.006903305,-3.807382592,0.062681409,285
UNIBA2_RS,lContA_PFCl_1,corrected,-0.232768267,0.000731081,0.010901205,-3.41614347,0.068137732,285
UNIBA2_RS,lContA_PFCl_2,standard,-0.210894589,0.000873254,0.010901205,-3.364716572,0.062678263,285
UNIBA2_RS,lContA_PFCl_2,corrected,-0.21037574,0.002223935,0.013899596,-3.087615772,0.068135337,285
UNIBA2_RS,lContB_PFClv_1,standard,-0.199499801,0.001621953,0.012309178,-3.182978663,0.062677078,285
UNIBA2_RS,lContB_PFClv_1,corrected,-0.188476964,0.006053855,0.025761084,-2.766300483,0.068133222,285
UNIBA2_RS,lContC_Cingp_1,standard,-0.110545764,0.07883369,0.129235557,-1.763933255,0.062670038,285
UNIBA2_RS,lContC_Cingp_1,corrected,-0.110003581,0.107528431,0.152763523,-1.614672261,0.068127498,285
UNIBA2_RS,lContC_pCun_1,standard,0.014746583,0.81413487,0.839314299,0.235316796,0.062666938,285
UNIBA2_RS,lContC_pCun_1,corrected,0.019595283,0.77383986,0.80190659,0.287638829,0.06812461,285
UNIBA2_RS,lContC_pCun_2,standard,-0.074198429,0.237422531,0.281076582,-1.183986517,0.062668306,285
UNIBA2_RS,lContC_pCun_2,corrected,-0.055365885,0.417089071,0.458339639,-0.812706998,0.068125272,285
UNIBA2_RS,lDefaultA_pCunPCC_1,standard,-0.147071092,0.01963949,0.049720227,-2.346662437,0.062672453,285
UNIBA2_RS,lDefaultA_pCunPCC_1,corrected,-0.149896011,0.0286283,0.062919341,-2.20014566,0.06813004,285
UNIBA2_RS,lDefaultA_PFCd_1,standard,-0.162377516,0.010075768,0.032388786,-2.590841294,0.062673664,285
UNIBA2_RS,lDefaultA_PFCd_1,corrected,-0.182117742,0.007967171,0.030538999,-2.672987844,0.068132649,285
UNIBA2_RS,lDefaultA_PFCm_1,standard,-0.215464352,0.000676059,0.010901205,-3.437597908,0.062678754,285
UNIBA2_RS,lDefaultA_PFCm_1,corrected,-0.204205746,0.002974671,0.016998117,-2.997087927,0.06813472,285
UNIBA2_RS,lDefaultB_IPL_1,standard,-0.108581615,0.084268751,0.130131387,-1.732595204,0.062669927,285
UNIBA2_RS,lDefaultB_IPL_1,corrected,-0.108323578,0.112980422,0.159127355,-1.59001467,0.068127408,285
UNIBA2_RS,lDefaultB_PFCd_1,standard,-0.194994951,0.002056236,0.013266041,-3.111127039,0.062676628,285
UNIBA2_RS,lDefaultB_PFCd_1,corrected,-0.169918002,0.013220028,0.039134873,-2.493967479,0.068131603,285
UNIBA2_RS,lDefaultB_PFCl_1,standard,-0.104246494,0.097345671,0.141080683,-1.663427646,0.062669689,285
UNIBA2_RS,lDefaultB_PFCl_1,corrected,-0.075100376,0.271261984,0.313597669,-1.102376172,0.068125906,285
UNIBA2_RS,lDefaultB_PFCv_1,standard,-0.166762752,0.00824553,0.030538999,-2.660795004,0.062674032,285
UNIBA2_RS,lDefaultB_PFCv_1,corrected,-0.154899594,0.023762655,0.05658564,-2.273574873,0.068130413,285
UNIBA2_RS,lDefaultB_PFCv_2,standard,-0.232523825,0.000250261,0.00834202,-3.709656873,0.062680683,285
UNIBA2_RS,lDefaultB_PFCv_2,corrected,-0.213029689,0.001958303,0.013055353,-3.126554403,0.068135609,285
UNIBA2_RS,lDefaultB_Temp_1,standard,-0.156000146,0.013387367,0.039134873,-2.48910672,0.062673145,285
UNIBA2_RS,lDefaultB_Temp_1,corrected,-0.185490766,0.006893428,0.028722617,-2.722482549,0.06813295,285
UNIBA2_RS,lDefaultB_Temp_2,standard,-0.148155731,0.018763297,0.049720227,-2.363965819,0.062672535,285
UNIBA2_RS,lDefaultB_Temp_2,corrected,-0.171492456,0.012402429,0.03875759,-2.517071653,0.068131734,285
UNIBA2_RS,lDefaultC_PHC_1,standard,-0.10621344,0.091223125,0.134151655,-1.694810693,0.062669796,285
UNIBA2_RS,lDefaultC_PHC_1,corrected,-0.138175552,0.043509829,0.082675657,-2.028139536,0.068129214,285
UNIBA2_RS,lDefaultC_Rsp_1,standard,-0.123542992,0.049674064,0.09031648,-1.971300063,0.06267082,285
UNIBA2_RS,lDefaultC_Rsp_1,corrected,-0.134457782,0.049430764,0.09031648,-1.973577337,0.068128965,285
UNIBA2_RS,lDorsAttnA_ParOcc_1,standard,-0.052900364,0.399310637,0.441227223,-0.844142095,0.062667606,285
UNIBA2_RS,lDorsAttnA_ParOcc_1,corrected,-0.055003219,0.420143285,0.459172989,-0.807383606,0.068125261,285
UNIBA2_RS,lDorsAttnA_SPL_1,standard,0.003581954,0.954459588,0.954459588,0.057158646,0.06266688,285
UNIBA2_RS,lDorsAttnA_SPL_1,corrected,-0.005629106,0.934206129,0.938900632,-0.082629659,0.068124522,285
UNIBA2_RS,lDorsAttnA_TempOcc_1,standard,-0.036734742,0.558221808,0.593852988,-0.58618742,0.06266723,285
UNIBA2_RS,lDorsAttnA_TempOcc_1,corrected,-0.034880466,0.60905617,0.644503884,-0.512008237,0.068124814,285
UNIBA2_RS,lDorsAttnB_FEF_1,standard,-0.11930259,0.057981427,0.101884125,-1.903646595,0.062670556,285
UNIBA2_RS,lDorsAttnB_FEF_1,corrected,-0.128921503,0.059497877,0.103474568,-1.892325514,0.068128608,285
UNIBA2_RS,lDorsAttnB_PostC_1,standard,-0.126907647,0.043818098,0.082675657,-2.024980811,0.062671037,285
UNIBA2_RS,lDorsAttnB_PostC_1,corrected,-0.075226175,0.270461804,0.313597669,-1.104222654,0.068125912,285
UNIBA2_RS,lDorsAttnB_PostC_2,standard,-0.108791735,0.083673133,0.130131387,-1.735947679,0.062669939,285
UNIBA2_RS,lDorsAttnB_PostC_2,corrected,-0.117932169,0.084566317,0.130131387,-1.731039648,0.068127942,285
UNIBA2_RS,lDorsAttnB_PostC_3,standard,-0.01940247,0.757086059,0.788631311,-0.309612339,0.062666979,285
UNIBA2_RS,lDorsAttnB_PostC_3,corrected,-0.015404668,0.821272191,0.842330452,-0.22612498,0.068124574,285
UNIBA2_RS,lLimbicA_TempPole_1,standard,-0.162565831,0.009990249,0.032388786,-2.593845331,0.06267368,285
UNIBA2_RS,lLimbicA_TempPole_1,corrected,-0.160115482,0.019474368,0.049720227,-2.350118434,0.068130814,285
UNIBA2_RS,lLimbicA_TempPole_2,standard,-0.115262227,0.066946886,0.113469299,-1.839183869,0.062670312,285
UNIBA2_RS,lLimbicA_TempPole_2,corrected,-0.105147872,0.123882658,0.165176877,-1.543404236,0.068127241,285
UNIBA2_RS,lLimbicB_OFC_1,standard,-0.137140436,0.029478869,0.063395416,-2.188234393,0.06267173,285
UNIBA2_RS,lLimbicB_OFC_1,corrected,-0.109950231,0.107698284,0.152763523,-1.613889235,0.068127495,285
UNIBA2_RS,lSalVentAttnA_FrMed_1,standard,-0.09341278,0.13719988,0.178181662,-1.490570693,0.062669138,285
UNIBA2_RS,lSalVentAttnA_FrMed_1,corrected,-0.086796093,0.203722977,0.251509848,-1.274045397,0.068126374,285
UNIBA2_RS,lSalVentAttnA_Ins_1,standard,-0.183649387,0.003666963,0.019763102,-2.930160486,0.062675539,285
UNIBA2_RS,lSalVentAttnA_Ins_1,corrected,-0.18994911,0.005675042,0.024674094,-2.787901827,0.068133357,285
UNIBA2_RS,lSalVentAttnA_Ins_2,standard,-0.23882317,0.000170783,0.006903305,-3.810110671,0.062681426,285
UNIBA2_RS,lSalVentAttnA_Ins_2,corrected,-0.226225071,0.001021259,0.010955288,-3.320149881,0.068137006,285
UNIBA2_RS,lSalVentAttnA_ParMed_1,standard,-0.110176434,0.079833195,0.129252347,-1.758040596,0.062670017,285
UNIBA2_RS,lSalVentAttnA_ParMed_1,corrected,-0.10340683,0.130200832,0.171316884,-1.517850483,0.068127152,285
UNIBA2_RS,lSalVentAttnA_ParOper_1,standard,-0.183750675,0.003648515,0.019763102,-2.931776088,0.062675549,285
UNIBA2_RS,lSalVentAttnA_ParOper_1,corrected,-0.182045521,0.007991724,0.030538999,-2.671928096,0.068132642,285
UNIBA2_RS,lSalVentAttnB_PFCl_1,standard,-0.203893302,0.001281627,0.011651153,-3.25305271,0.062677528,285
UNIBA2_RS,lSalVentAttnB_PFCl_1,corrected,-0.196285259,0.004278095,0.021390475,-2.880873025,0.06813395,285
UNIBA2_RS,lSalVentAttnB_PFCmp_1,standard,-0.246094211,0.000108775,0.006903305,-3.926054967,0.062682314,285
UNIBA2_RS,lSalVentAttnB_PFCmp_1,corrected,-0.2253889,0.001065249,0.010955288,-3.307882291,0.068136917,285
UNIBA2_RS,lSomMotA_1,standard,-0.107002063,0.088857475,0.132623097,-1.707393282,0.06266984,285
UNIBA2_RS,lSomMotA_1,corrected,-0.110351198,0.106426929,0.152763523,-1.61977426,0.068127517,285
UNIBA2_RS,lSomMotA_2,standard,-0.219282417,0.000544082,0.010881633,-3.49848926,0.062679174,285
UNIBA2_RS,lSomMotA_2,corrected,-0.222018979,0.001261012,0.011651153,-3.258441703,0.068136551,285
UNIBA2_RS,lSomMotB_Aud_1,standard,-0.140129834,0.026144593,0.060005386,-2.235926122,0.062671943,285
UNIBA2_RS,lSomMotB_Aud_1,corrected,-0.16346463,0.017093693,0.04748248,-2.39926674,0.068131078,285
UNIBA2_RS,lSomMotB_Cent_1,standard,-0.142335169,0.023899669,0.05658564,-2.271108894,0.062672102,285
UNIBA2_RS,lSomMotB_Cent_1,corrected,-0.12161188,0.07535601,0.125593351,-1.785045762,0.068128158,285
UNIBA2_RS,lSomMotB_S2_1,standard,-0.110587011,0.078722702,0.129235557,-1.764591355,0.06267004,285
UNIBA2_RS,lSomMotB_S2_1,corrected,-0.119335156,0.080952028,0.129252347,-1.751630967,0.068128024,285
UNIBA2_RS,lSomMotB_S2_2,standard,-0.162101135,0.010202468,0.032388786,-2.586432383,0.062673641,285
UNIBA2_RS,lSomMotB_S2_2,corrected,-0.154581597,0.024048897,0.05658564,-2.268908195,0.068130389,285
UNIBA2_RS,lTempPar_1,standard,-0.139382042,0.026946346,0.060415481,-2.223996182,0.062671889,285
UNIBA2_RS,lTempPar_1,corrected,-0.177763379,0.009575107,0.032388786,-2.60909235,0.068132268,285
UNIBA2_RS,lVisCent_ExStr_1,standard,-0.150800363,0.016769528,0.04748248,-2.406155679,0.062672737,285
UNIBA2_RS,lVisCent_ExStr_1,corrected,-0.163058658,0.017367893,0.047583267,-2.393309171,0.068131046,285
UNIBA2_RS,lVisCent_ExStr_2,standard,-0.129581022,0.039593143,0.079986147,-2.067632272,0.062671213,285
UNIBA2_RS,lVisCent_ExStr_2,corrected,-0.129654455,0.058073951,0.101884125,-1.903082584,0.068128654,285
UNIBA2_RS,lVisCent_ExStr_3,standard,-0.180909749,0.004199462,0.021390475,-2.886460795,0.062675284,285
UNIBA2_RS,lVisCent_ExStr_3,corrected,-0.178077707,0.009449963,0.032388786,-2.613704822,0.068132295,285
UNIBA2_RS,lVisCent_Striate_1,standard,-0.168295357,0.007680164,0.030538999,-2.685243004,0.062674163,285
UNIBA2_RS,lVisCent_Striate_1,corrected,-0.136460244,0.046162281,0.086284638,-2.002965662,0.068129098,285
UNIBA2_RS,lVisPeri_ExStrInf_1,standard,-0.119905187,0.056734418,0.10131146,-1.913260776,0.062670593,285
UNIBA2_RS,lVisPeri_ExStrInf_1,corrected,-0.116024569,0.089690022,0.132874106,-1.703042131,0.068127832,285
UNIBA2_RS,lVisPeri_ExStrSup_1,standard,-0.107362523,0.087792867,0.132623097,-1.713144479,0.062669859,285
UNIBA2_RS,lVisPeri_ExStrSup_1,corrected,-0.107971428,0.114150537,0.1596511,-1.584846124,0.068127389,285
UNIBA2_RS,lVisPeri_StriCal_1,standard,-0.128561577,0.041161364,0.080717118,-2.051367916,0.062671145,285
UNIBA2_RS,lVisPeri_StriCal_1,corrected,-0.126071438,0.065314402,0.11164855,-1.850496763,0.068128429,285
UNIBA2_RS,rContA_IPS_1,standard,-0.098650377,0.116584396,0.160806064,-1.57413956,0.062669397,285
UNIBA2_RS,rContA_IPS_1,corrected,-0.113730651,0.096181105,0.140410372,-1.669374513,0.068127703,285
UNIBA2_RS,rContA_PFCl_1,standard,-0.295490481,3.84E-06,0.00076819,-4.713652623,0.062688218,285
UNIBA2_RS,rContA_PFCl_1,corrected,-0.29636322,1.93E-05,0.001928753,-4.348961155,0.06814575,285
UNIBA2_RS,rContA_PFCl_2,standard,-0.176408071,0.005229355,0.023241578,-2.814653719,0.062674875,285
UNIBA2_RS,rContA_PFCl_2,corrected,-0.160669564,0.019061449,0.049720227,-2.35824955,0.068130857,285
UNIBA2_RS,rContB_IPL_1,standard,-0.136476475,0.030267461,0.064398852,-2.177641741,0.062671684,285
UNIBA2_RS,rContB_IPL_1,corrected,-0.149597731,0.028943835,0.062921381,-2.195768261,0.068130018,285
UNIBA2_RS,rContB_PFCld_1,standard,-0.082532748,0.188925347,0.234689871,-1.3169704,0.062668643,285
UNIBA2_RS,rContB_PFCld_1,corrected,-0.08153331,0.232415649,0.278342094,-1.196798938,0.068126155,285
UNIBA2_RS,rContB_PFClv_1,standard,-0.178566247,0.004709943,0.022493089,-2.84907931,0.062675071,285
