Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_NB,lContA_IPS_1,standard,-0.021823533,0.75181077,0.794125991,-0.316621415,0.06892627,241
UNIBA2_NB,lContA_IPS_1,corrected,-0.015468765,0.836567102,0.871424065,-0.206519429,0.074902226,241
UNIBA2_NB,lContA_PFCl_1,standard,-0.247126526,0.000410527,0.009156777,-3.584344518,0.068946086,241
UNIBA2_NB,lContA_PFCl_1,corrected,-0.251474743,0.000922899,0.011567382,-3.356484255,0.074922068,241
UNIBA2_NB,lContA_PFCl_2,standard,-0.207448061,0.002904441,0.018240942,-3.009098665,0.068940266,241
UNIBA2_NB,lContA_PFCl_2,corrected,-0.244872488,0.001246344,0.013578559,-3.268407084,0.074921049,241
UNIBA2_NB,lContB_PFClv_1,standard,-0.198917959,0.004270984,0.020963118,-2.885414046,0.068939139,241
UNIBA2_NB,lContB_PFClv_1,corrected,-0.184344095,0.014596543,0.042154969,-2.460777924,0.074912934,241
UNIBA2_NB,lContC_Cingp_1,standard,-0.112183225,0.10496779,0.151032792,-1.627488113,0.068930288,241
UNIBA2_NB,lContC_Cingp_1,corrected,-0.170081702,0.024102813,0.054163625,-2.27043994,0.074911342,241
UNIBA2_NB,lContC_pCun_1,standard,0.027314705,0.692250481,0.740374846,0.396288224,0.068926361,241
UNIBA2_NB,lContC_pCun_1,corrected,0.029823244,0.690879102,0.740374846,0.398161204,0.074902436,241
UNIBA2_NB,lContC_pCun_2,standard,-0.085061534,0.218410143,0.263144751,-1.234054325,0.068928517,241
UNIBA2_NB,lContC_pCun_2,corrected,-0.097859851,0.192699099,0.239220569,-1.306449217,0.074905208,241
UNIBA2_NB,lDefaultA_pCunPCC_1,standard,-0.171884238,0.013339086,0.040750942,-2.493393432,0.068935867,241
UNIBA2_NB,lDefaultA_pCunPCC_1,corrected,-0.194395131,0.010067307,0.034126465,-2.594906067,0.07491413,241
UNIBA2_NB,lDefaultA_PFCd_1,standard,-0.152081202,0.028334522,0.059030254,-2.206193229,0.068933763,241
UNIBA2_NB,lDefaultA_PFCd_1,corrected,-0.146040075,0.052437811,0.091996159,-1.949568027,0.07490894,241
UNIBA2_NB,lDefaultA_PFCm_1,standard,-0.228006633,0.001089494,0.012817575,-3.307168078,0.068943165,241
UNIBA2_NB,lDefaultA_PFCm_1,corrected,-0.232556382,0.002146867,0.015902718,-3.104094909,0.074919224,241
