Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
BSNIP_REST_SCZ_adj,accumbens,standard,0.154862386,0.20429825,0.20429825,1.272123586,0.121735331,310
BSNIP_REST_SCZ_adj,accumbens,corrected,0.207865633,0.117244869,0.133994136,1.570964876,0.132317174,310
BSNIP_REST_SCZ_adj,amy,standard,-0.50425962,4.46E-05,0.000178431,-4.142133183,0.121739113,310
BSNIP_REST_SCZ_adj,amy,corrected,-0.404215893,0.002453971,0.005609076,-3.054843383,0.132319678,310
BSNIP_REST_SCZ_adj,caudate,standard,0.18021652,0.139800372,0.149120397,1.480393903,0.121735519,310
BSNIP_REST_SCZ_adj,caudate,corrected,0.247923187,0.061944,0.082592,1.873698346,0.132317557,310
BSNIP_REST_SCZ_adj,hippo,standard,-0.593155894,1.78E-06,9.47E-06,-4.871793866,0.121753077,310
BSNIP_REST_SCZ_adj,hippo,corrected,-0.504420848,0.000167239,0.00044597,-3.812083609,0.132321559,310
BSNIP_REST_SCZ_adj,latvent,standard,-0.296633432,0.015394589,0.02239213,-2.436679643,0.121736738,310
BSNIP_REST_SCZ_adj,latvent,corrected,-0.227220584,0.086967442,0.107036852,-1.717239527,0.13231735,310
BSNIP_REST_SCZ_adj,pallidum,standard,0.913411271,6.91E-13,1.11E-11,7.502310895,0.121750656,310
BSNIP_REST_SCZ_adj,pallidum,corrected,0.873651475,1.84E-10,1.47E-09,6.601977642,0.132331783,310
BSNIP_REST_SCZ_adj,putamen,standard,0.313775673,0.010421531,0.01837001,2.577488829,0.121736967,310
BSNIP_REST_SCZ_adj,putamen,corrected,0.336533306,0.011481256,0.01837001,2.543355315,0.132318636,310
BSNIP_REST_SCZ_adj,thalamus,standard,-0.467592677,0.000149102,0.00044597,-3.840925295,0.121739592,310
BSNIP_REST_SCZ_adj,thalamus,corrected,-0.337907501,0.011151641,0.01837001,-2.553740421,0.132318656,310
