Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_FI,accumbens,standard,-0.0014,0.976423218,0.976423218,-0.029568419,0.047347814,498
LIBD_FI,accumbens,corrected,-0.007,0.883981109,0.942913183,-0.146000719,0.047944969,498
LIBD_FI,amy,standard,-0.0671,0.150181906,0.200242542,-1.441133145,0.046560583,498
LIBD_FI,amy,corrected,-0.0778,0.10353368,0.150594443,-1.631008559,0.047700547,498
LIBD_FI,caudate,standard,0.0856,0.066710392,0.108071776,1.837685177,0.04658034,498
LIBD_FI,caudate,corrected,0.0874,0.06754486,0.108071776,1.83210622,0.047704658,498
LIBD_FI,hippo,standard,-0.1382,0.00487135,0.0097427,-2.828218375,0.048864685,498
LIBD_FI,hippo,corrected,-0.1317,0.003931097,0.008985364,-2.897460858,0.045453591,498
LIBD_FI,latvent,standard,0.1633,0.000498586,0.001595474,3.504819239,0.046592988,498
LIBD_FI,latvent,corrected,0.1406,0.003364844,0.008972917,2.946763016,0.047713372,498
LIBD_FI,pallidum,standard,0.3485,3.44E-13,5.50E-12,7.479700004,0.046592778,498
LIBD_FI,pallidum,corrected,0.3514,7.65E-13,6.12E-12,7.364055042,0.047718275,498
LIBD_FI,putamen,standard,0.1756,0.000274558,0.00109823,3.664628769,0.047917541,498
LIBD_FI,putamen,corrected,0.1707,0.000259322,0.00109823,3.679892885,0.04638722,498
LIBD_FI,thalamus,standard,-0.0526,0.259414181,0.319278993,-1.129077628,0.046586699,498
LIBD_FI,thalamus,corrected,-0.0351,0.462715778,0.528818032,-0.734961832,0.047757582,498
