Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_RS,accumbens,standard,-0.0226,0.680730484,0.783717934,-0.411800834,0.054880899,365
LIBD_RS,accumbens,corrected,-0.0147,0.795216307,0.848230727,-0.25973818,0.056595453,365
LIBD_RS,amy,standard,-0.0984,0.07346237,0.106854357,-1.795188152,0.054813196,365
LIBD_RS,amy,corrected,-0.082,0.147460817,0.196614422,-1.451726523,0.056484468,365
LIBD_RS,caudate,standard,0.1412,0.012789691,0.02950139,2.502075722,0.056433144,365
LIBD_RS,caudate,corrected,0.1372,0.012906858,0.02950139,2.498964364,0.054902744,365
LIBD_RS,hippo,standard,-0.1244,0.02394661,0.042571752,-2.267586527,0.05486009,365
LIBD_RS,hippo,corrected,-0.1173,0.038704545,0.061927273,-2.07502008,0.056529573,365
LIBD_RS,latvent,standard,0.1385,0.01198776,0.02950139,2.525325019,0.054844426,365
LIBD_RS,latvent,corrected,0.1354,0.017069021,0.034138041,2.396504395,0.056498958,365
LIBD_RS,pallidum,standard,0.4072,8.21E-13,1.31E-11,7.425447717,0.054838444,365
LIBD_RS,pallidum,corrected,0.4094,2.76E-12,2.20E-11,7.242321704,0.056528834,365
LIBD_RS,putamen,standard,0.224,8.85E-05,0.000358673,3.965120917,0.056492603,365
LIBD_RS,putamen,corrected,0.2174,8.97E-05,0.000358673,3.96251681,0.054864121,365
LIBD_RS,thalamus,standard,-0.0222,0.685753192,0.783717934,-0.404952163,0.05482129,365
LIBD_RS,thalamus,corrected,-0.001,0.98543845,0.98543845,-0.018264071,0.054752304,365
