Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_NB,accumbens,standard,-0.003,0.942015411,0.942015411,-0.072775488,0.041222671,480
LIBD_NB,accumbens,corrected,-0.0134,0.752342009,0.802498143,-0.315737376,0.042440335,480
LIBD_NB,amy,standard,-0.1038,0.012282252,0.021835115,-2.513544598,0.041296263,480
LIBD_NB,amy,corrected,-0.0964,0.022956367,0.03339108,-2.281649397,0.042250137,480
LIBD_NB,caudate,standard,0.1021,0.013730842,0.021969347,2.473433953,0.041278644,480
LIBD_NB,caudate,corrected,0.0939,0.026835865,0.035781153,2.220867537,0.042280775,480
LIBD_NB,hippo,standard,-0.165,9.02E-05,0.000282259,-3.949494852,0.041777495,480
LIBD_NB,hippo,corrected,-0.1629,0.000105847,0.000282259,-3.910089285,0.041661453,480
LIBD_NB,latvent,standard,0.1544,0.000203874,0.000465997,3.743291458,0.041247122,480
LIBD_NB,latvent,corrected,0.1554,0.000259571,0.000519142,3.680682981,0.042220425,480
LIBD_NB,pallidum,standard,0.3816,4.19E-19,6.71E-18,10,0.001,480
LIBD_NB,pallidum,corrected,0.3814,2.49E-18,1.99E-17,10,0.001,480
LIBD_NB,putamen,standard,0.1696,4.61E-05,0.000184556,4.112424613,0.041240878,480
LIBD_NB,putamen,corrected,0.1741,4.36E-05,0.000184556,4.126475069,0.042190973,480
LIBD_NB,thalamus,standard,-0.0281,0.496378905,0.610927884,-0.6807223,0.041279682,480
LIBD_NB,thalamus,corrected,-0.0134,0.751756912,0.802498143,-0.316508746,0.042336903,480
