Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UCLA_REST_SCZ_adj,accumbens,standard,0.192881114,0.311677738,0.539674329,1.014978383,0.190034701,162
UCLA_REST_SCZ_adj,accumbens,corrected,0.236150564,0.251478201,0.539674329,1.151149815,0.205143206,162
UCLA_REST_SCZ_adj,amy,standard,-0.222200781,0.244072579,0.539674329,-1.169256172,0.190036013,162
UCLA_REST_SCZ_adj,amy,corrected,-0.197461218,0.337296456,0.539674329,-0.962561437,0.205141418,162
UCLA_REST_SCZ_adj,caudate,standard,0.205041614,0.282257575,0.539674329,1.078966364,0.190035223,162
UCLA_REST_SCZ_adj,caudate,corrected,0.239675146,0.244502919,0.539674329,1.168329878,0.205143385,162
UCLA_REST_SCZ_adj,hippo,standard,-0.112416662,0.554991497,0.807260359,-0.591566862,0.190032048,162
UCLA_REST_SCZ_adj,hippo,corrected,-0.094766526,0.644767448,0.859689931,-0.461964281,0.205138211,162
UCLA_REST_SCZ_adj,latvent,standard,-0.002340784,0.990187604,0.990187604,-0.012317926,0.190030686,162
UCLA_REST_SCZ_adj,latvent,corrected,0.007820265,0.969640346,0.990187604,0.03812211,0.205137257,162
UCLA_REST_SCZ_adj,pallidum,standard,0.479547095,0.012623999,0.050495995,2.523198183,0.190055263,162
UCLA_REST_SCZ_adj,pallidum,corrected,0.611795771,0.003338507,0.017805371,2.981801181,0.205176581,162
UCLA_REST_SCZ_adj,putamen,standard,0.624632418,0.00125236,0.014590343,3.286293619,0.190072005,162
UCLA_REST_SCZ_adj,putamen,corrected,0.651119338,0.001823793,0.014590343,3.173379359,0.205181689,162
UCLA_REST_SCZ_adj,thalamus,standard,-0.072625732,0.702846289,0.865041586,-0.382177834,0.190031251,162
UCLA_REST_SCZ_adj,thalamus,corrected,-0.035074652,0.864465881,0.987961007,-0.170981281,0.20513738,162
