Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UCLA_SCAP_SCZ_adj,accumbens,standard,0.192881114,0.311677738,0.638745512,1.014999416,0.190030764,161
UCLA_SCAP_SCZ_adj,accumbens,corrected,0.08917948,0.671534969,0.911839736,0.424871755,0.209897408,161
UCLA_SCAP_SCZ_adj,amy,standard,-0.222200781,0.244072579,0.638745512,-1.169284412,0.190031423,161
UCLA_SCAP_SCZ_adj,amy,corrected,-0.209698155,0.319372756,0.638745512,-0.999041704,0.209899301,161
UCLA_SCAP_SCZ_adj,caudate,standard,0.205041614,0.282257575,0.638745512,1.078990195,0.190031026,161
UCLA_SCAP_SCZ_adj,caudate,corrected,0.171107907,0.416245508,0.739992014,0.815193452,0.20989853,161
UCLA_SCAP_SCZ_adj,hippo,standard,-0.112416662,0.554991497,0.887986395,-0.591575016,0.190029428,161
UCLA_SCAP_SCZ_adj,hippo,corrected,-0.00223202,0.991529586,0.991529586,-0.010633882,0.209897005,161
UCLA_SCAP_SCZ_adj,latvent,standard,-0.002340784,0.990187604,0.991529586,-0.012318052,0.190028746,161
UCLA_SCAP_SCZ_adj,latvent,corrected,-0.0265142,0.89964664,0.991529586,-0.126320035,0.209897028,161
UCLA_SCAP_SCZ_adj,pallidum,standard,0.479547095,0.012623999,0.050495995,2.523386091,0.190041111,161
UCLA_SCAP_SCZ_adj,pallidum,corrected,0.648281148,0.002396754,0.019174031,3.088248914,0.209918684,161
UCLA_SCAP_SCZ_adj,putamen,standard,0.624632418,0.00125236,0.019174031,3.286682185,0.190049534,161
UCLA_SCAP_SCZ_adj,putamen,corrected,0.616192273,0.003852198,0.020545058,2.935414352,0.209916625,161
UCLA_SCAP_SCZ_adj,thalamus,standard,-0.072625732,0.702846289,0.911839736,-0.382182305,0.190029028,161
UCLA_SCAP_SCZ_adj,thalamus,corrected,-0.069541027,0.740869786,0.911839736,-0.331309864,0.209897243,161
