Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA1_FE,accumbens,standard,-0.0981,0.064282332,0.093501574,-1.857249922,0.052820032,297
UNIBA1_FE,accumbens,corrected,-0.0869,0.121349387,0.161799182,-1.553736081,0.055929705,297
UNIBA1_FE,amy,standard,-0.2215,3.48E-05,0.000111519,-4.204367605,0.05268331,297
UNIBA1_FE,amy,corrected,-0.2113,0.000184093,0.000368186,-3.789299066,0.055762292,297
UNIBA1_FE,caudate,standard,-0.0419,0.429089412,0.4903879,-0.791852608,0.052913888,297
UNIBA1_FE,caudate,corrected,-0.0276,0.622245831,0.651404552,-0.493203693,0.055960651,297
UNIBA1_FE,hippo,standard,-0.2348,1.18E-05,4.70E-05,-4.458944033,0.052658207,297
UNIBA1_FE,hippo,corrected,-0.2235,7.73E-05,0.000206205,-4.010511522,0.055728552,297
UNIBA1_FE,latvent,standard,0.1428,0.007243504,0.01287734,2.704441571,0.052802028,297
UNIBA1_FE,latvent,corrected,0.1328,0.018100252,0.028960403,2.377195914,0.055864138,297
UNIBA1_FE,pallidum,standard,0.4033,2.23E-11,1.79E-10,6.961197958,0.05793543,297
UNIBA1_FE,pallidum,corrected,0.3645,2.97E-12,4.75E-11,7.29279732,0.049980821,297
UNIBA1_FE,putamen,standard,0.0239,0.651404552,0.651404552,0.452277969,0.052843609,297
UNIBA1_FE,putamen,corrected,0.0472,0.399728248,0.4903879,0.843362196,0.055966464,297
UNIBA1_FE,thalamus,standard,-0.2458,4.61E-06,2.46E-05,-4.669509433,0.052639363,297
UNIBA1_FE,thalamus,corrected,-0.2166,0.000126742,0.000289696,-3.885730303,0.055742417,297
