Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA1_FI,accumbens,standard,-0.1673,0.009847891,0.017507363,-2.609027035,0.064123521,281
UNIBA1_FI,accumbens,corrected,-0.1647,0.015169043,0.024270469,-2.452608493,0.067152993,281
UNIBA1_FI,amy,standard,-0.2362,0.00029073,0.00077528,-3.696208997,0.063903313,281
UNIBA1_FI,amy,corrected,-0.2245,0.000985397,0.002252335,-3.351658794,0.066981759,281
UNIBA1_FI,caudate,standard,-0.0879,0.173328957,0.213327947,-1.367034079,0.064299787,281
UNIBA1_FI,caudate,corrected,-0.0684,0.310974019,0.355398879,-1.016139047,0.067313622,281
UNIBA1_FI,hippo,standard,-0.2828,1.59E-05,8.50E-05,-4.436558615,0.0637431,281
UNIBA1_FI,hippo,corrected,-0.2859,3.03E-05,0.00012102,-4.28445435,0.066729618,281
UNIBA1_FI,latvent,standard,0.1541,0.017301256,0.025165463,2.402599044,0.064138875,281
UNIBA1_FI,latvent,corrected,0.1418,0.036225212,0.048300283,2.110722095,0.067180801,281
UNIBA1_FI,pallidum,standard,0.3663,6.60E-07,5.28E-06,5.157188284,0.071027075,281
UNIBA1_FI,pallidum,corrected,0.3277,1.21E-07,1.94E-06,5.520694086,0.059358478,281
UNIBA1_FI,putamen,standard,-0.0209,0.745762943,0.745762943,-0.324732218,0.064360722,281
UNIBA1_FI,putamen,corrected,0.0291,0.666707875,0.711155067,0.431405089,0.067454003,281
UNIBA1_FI,thalamus,standard,-0.2503,0.000126474,0.000404716,-3.918910108,0.063869799,281
UNIBA1_FI,thalamus,corrected,-0.2024,0.002913826,0.005827652,-3.019413989,0.067032875,281
