Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_RS,accumbens,standard,-0.1077,0.086828927,0.115771903,-1.718400841,0.06267455,285
UNIBA2_RS,accumbens,corrected,-0.1234,0.071233954,0.113974326,-1.810987112,0.068139635,285
UNIBA2_RS,amy,standard,-0.2011,0.001487214,0.003399346,-3.208925502,0.062668953,285
UNIBA2_RS,amy,corrected,-0.1964,0.004265252,0.008530503,-2.881849613,0.068150676,285
UNIBA2_RS,caudate,standard,-0.0616,0.326767468,0.373448535,-0.982366334,0.062705732,285
UNIBA2_RS,caudate,corrected,-0.1029,0.131977472,0.162433812,-1.510839765,0.068107818,285
UNIBA2_RS,hippo,standard,-0.2587,0.000288263,0.001153053,-3.671939013,0.07045324,285
UNIBA2_RS,hippo,corrected,-0.2302,0.000180559,0.001153053,-3.796544764,0.06063408,285
UNIBA2_RS,latvent,standard,0.1205,0.055554601,0.098763734,1.922521081,0.062678116,285
UNIBA2_RS,latvent,corrected,0.1199,0.079464393,0.115584572,1.760324734,0.068112433,285
UNIBA2_RS,pallidum,standard,0.2739,1.76E-05,0.000281584,4.369004646,0.062691625,285
UNIBA2_RS,pallidum,corrected,0.2299,0.000848166,0.00271413,3.373750633,0.068143744,285
UNIBA2_RS,putamen,standard,0.0021,0.97340689,0.97340689,0.033365504,0.062939256,285
UNIBA2_RS,putamen,corrected,-0.0075,0.912651775,0.97340689,-0.109795328,0.068308917,285
UNIBA2_RS,thalamus,standard,-0.2323,0.000253696,0.001153053,-3.706033041,0.062681578,285
UNIBA2_RS,thalamus,corrected,-0.2247,0.001105412,0.002947764,-3.297086724,0.068151074,285
