Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_NB,accumbens,standard,-0.0637,0.356507109,0.43877798,-0.923851767,0.068950455,241
UNIBA2_NB,accumbens,corrected,-0.1074,0.152960226,0.222487602,-1.433874749,0.07490194,241
UNIBA2_NB,amy,standard,-0.1759,0.01134556,0.020169885,-2.551894617,0.068929179,241
UNIBA2_NB,amy,corrected,-0.1706,0.023681659,0.037890654,-2.277329062,0.074912318,241
UNIBA2_NB,caudate,standard,-0.0521,0.450434995,0.450434995,-0.755946758,0.068920198,241
UNIBA2_NB,caudate,corrected,-0.0855,0.254908172,0.339877562,-1.141345019,0.074911616,241
UNIBA2_NB,hippo,standard,-0.2412,0.000880963,0.003523851,-3.369014476,0.071593637,241
UNIBA2_NB,hippo,corrected,-0.2323,0.00146637,0.004692383,-3.219968585,0.072143561,241
UNIBA2_NB,latvent,standard,0.2641,0.002192934,0.005847823,3.096798885,0.085281612,241
UNIBA2_NB,latvent,corrected,0.2135,0.000510517,0.002722759,3.524992836,0.060567499,241
UNIBA2_NB,pallidum,standard,0.2774,7.75E-05,0.001239436,4.022789904,0.068957118,241
UNIBA2_NB,pallidum,corrected,0.2666,0.000453973,0.002722759,3.557657814,0.074936943,241
UNIBA2_NB,putamen,standard,0.0551,0.424695727,0.450434995,0.799688048,0.068901868,241
UNIBA2_NB,putamen,corrected,0.0597,0.426193529,0.450434995,0.797130979,0.074893589,241
UNIBA2_NB,thalamus,standard,-0.2237,0.003918942,0.007837884,-2.913358245,0.07678424,241
UNIBA2_NB,thalamus,corrected,-0.2008,0.003128898,0.007151767,-2.986203754,0.067242565,241
