,ROI,zval,ci.lb,ci.ub,pval,QE,QEp
1,lContA_IPS_1,-3.380435799,-0.098640018,-0.026236868,0.00072371,3.451153946,0.968730936
2,lContA_PFCl_1,-8.444739782,-0.202576613,-0.126256734,3.05E-17,5.328559224,0.868177549
3,lContA_PFCl_2,-2.960518257,-0.153268073,-0.031166259,0.003071219,13.28384276,0.208232001
4,lContB_PFClv_1,-4.071240818,-0.158027084,-0.055318785,4.68E-05,7.588007222,0.669008865
5,lContC_Cingp_1,-4.476996968,-0.124726418,-0.048771542,7.57E-06,3.549886345,0.965377301
6,lContC_pCun_1,-2.664420991,-0.120108268,-0.018296727,0.007712098,7.213780857,0.705120345
7,lContC_pCun_2,-1.950925197,-0.081495167,0.00018835,0.051065945,8.515453387,0.578620399
8,lDefaultA_pCunPCC_1,-6.402174191,-0.162031109,-0.086075622,1.53E-10,1.599640478,0.998590068
9,lDefaultA_PFCd_1,-6.898605189,-0.174517698,-0.097293398,5.25E-12,4.098397892,0.942798908
10,lDefaultA_PFCm_1,-9.063223572,-0.211701909,-0.136419126,1.27E-19,3.866788494,0.953156332
11,lDefaultB_IPL_1,-6.513348609,-0.161954236,-0.087030889,7.35E-11,2.775315668,0.986228307
12,lDefaultB_PFCd_1,-6.925574268,-0.171788996,-0.096002873,4.34E-12,3.719549366,0.959113038
13,lDefaultB_PFCl_1,-2.065284336,-0.032043268,-0.00083841,0.038896105,4.755138342,0.906923335
14,lDefaultB_PFCv_1,-9.245057533,-0.223701416,-0.145442446,2.35E-20,3.372040055,0.971265573
15,lDefaultB_PFCv_2,-9.583782275,-0.227655866,-0.150350408,9.36E-22,1.71501834,0.998094569
16,lDefaultB_Temp_1,-7.057302633,-0.177656952,-0.100427068,1.70E-12,1.784278822,0.997742068
17,lDefaultB_Temp_2,-7.636107134,-0.188203869,-0.111323904,2.24E-14,3.094178,0.979119978
18,lDefaultC_PHC_1,-6.961799095,-0.165973382,-0.093050161,3.36E-12,2.845872324,0.984821976
19,lDefaultC_Rsp_1,-4.277447567,-0.121864978,-0.045278411,1.89E-05,2.450718226,0.991574575
20,lDorsAttnA_ParOcc_1,-4.301071735,-0.118155666,-0.044180413,1.70E-05,2.73509086,0.986989463
21,lDorsAttnA_SPL_1,-3.175984067,-0.160724757,-0.038054227,0.001493292,8.753420064,0.555653982
22,lDorsAttnA_TempOcc_1,-6.177462939,-0.153923671,-0.07977619,6.51E-10,6.951199884,0.730043815
23,lDorsAttnB_FEF_1,-4.757102815,-0.131514448,-0.054765596,1.96E-06,2.264702948,0.993879329
24,lDorsAttnB_PostC_1,-4.08616715,-0.112185362,-0.039451488,4.39E-05,1.632611376,0.998459517
