,ROI,zval,ci.lb,ci.ub,pval,QE,QEp
1,lContA_IPS_1,-4.307198595,-0.123478553,-0.046246308,1.65E-05,3.971692662,0.94861494
2,lContA_PFCl_1,-9.266208116,-0.215622123,-0.140331705,1.93E-20,5.023416997,0.889608257
3,lContA_PFCl_2,-4.573172393,-0.165344919,-0.0661368,4.80E-06,7.436709857,0.68367307
4,lContB_PFClv_1,-4.512015177,-0.19300414,-0.076106,6.42E-06,10.09380211,0.432302634
5,lContC_Cingp_1,-5.015262491,-0.136828925,-0.059933998,5.30E-07,3.897696094,0.951844082
6,lContC_pCun_1,-2.861963387,-0.11705864,-0.021897224,0.004210255,6.758462023,0.748033876
7,lContC_pCun_2,-3.884113942,-0.120941047,-0.039819577,0.000102704,4.120862339,0.941729975
8,lDefaultA_pCunPCC_1,-7.012036843,-0.172908011,-0.097363329,2.35E-12,1.741138619,0.997966734
9,lDefaultA_PFCd_1,-7.483193976,-0.179760484,-0.105140515,7.25E-14,3.05692182,0.980052559
10,lDefaultA_PFCm_1,-10.03411969,-0.232332398,-0.156401106,1.08E-23,4.776884325,0.905575269
11,lDefaultB_IPL_1,-7.1092583,-0.176125607,-0.10000004,1.17E-12,4.268741402,0.934410278
12,lDefaultB_PFCd_1,-6.909569351,-0.211561871,-0.118061203,4.86E-12,6.17731585,0.800152356
13,lDefaultB_PFCl_1,-2.225764265,-0.086393479,-0.005486121,0.026029976,4.64482122,0.913607779
14,lDefaultB_PFCv_1,-11.04165819,-0.244438235,-0.170741256,2.41E-28,3.596660816,0.96371393
15,lDefaultB_PFCv_2,-10.95457962,-0.245659819,-0.17109514,6.32E-28,3.059547834,0.979987735
16,lDefaultB_Temp_1,-7.885634423,-0.187434358,-0.112809216,3.13E-15,2.387065644,0.992421242
17,lDefaultB_Temp_2,-8.03908729,-0.191092528,-0.116178526,9.05E-16,3.459226347,0.968464713
18,lDefaultC_PHC_1,-6.633299715,-0.182400175,-0.099195985,3.28E-11,6.357532243,0.784383981
19,lDefaultC_Rsp_1,-5.201019133,-0.137399768,-0.062187023,1.98E-07,3.324197076,0.972733251
20,lDorsAttnA_ParOcc_1,-4.212065949,-0.120604986,-0.044007357,2.53E-05,3.337978376,0.972315481
21,lDorsAttnA_SPL_1,-2.994525912,-0.173312474,-0.036189899,0.002748717,11.87333582,0.293623135
22,lDorsAttnA_TempOcc_1,-5.050933335,-0.184342719,-0.081273148,4.40E-07,10.51454886,0.396566417
23,lDorsAttnB_FEF_1,-5.314424353,-0.139186459,-0.064183467,1.07E-07,1.890797341,0.997110636
24,lDorsAttnB_PostC_1,-5.273526874,-0.142281556,-0.065177228,1.34E-07,2.608685378,0.989195486
25,lDorsAttnB_PostC_2,-6.712779432,-0.164607256,-0.090207662,1.91E-11,1.704633295,0.998143724
26,lDorsAttnB_PostC_3,-1.501518509,-0.110400002,0.014621591,0.133221503,19.19208645,0.037889643
27,lLimbicA_TempPole_1,-7.479368071,-0.178657749,-0.104465476,7.47E-14,4.639077147,0.913948716
28,lLimbicA_TempPole_2,-6.387433712,-0.158999582,-0.084333568,1.69E-10,5.30490547,0.869901812
29,lLimbicB_OFC_1,-8.323679267,-0.19783878,-0.122426424,8.53E-17,5.728992135,0.837495004
30,lSalVentAttnA_FrMed_1,-6.079933543,-0.17270472,-0.088500903,1.20E-09,6.776426754,0.746369598
31,lSalVentAttnA_Ins_1,-10.37304705,-0.236547747,-0.161363339,3.29E-25,5.785920666,0.832917057
32,lSalVentAttnA_Ins_2,-12.6415057,-0.27842132,-0.203676,1.25E-36,4.579257952,0.917457025
33,lSalVentAttnA_ParMed_1,-5.437724999,-0.144758946,-0.068053283,5.40E-08,5.558629931,0.850883162
34,lSalVentAttnA_ParOper_1,-5.068829344,-0.188138163,-0.083214314,4.00E-07,7.236873637,0.702909366
35,lSalVentAttnB_PFCl_1,-9.592212025,-0.221517454,-0.146351315,8.62E-22,4.318485115,0.931837982
36,lSalVentAttnB_PFCmp_1,-10.42621307,-0.24277324,-0.165941332,1.88E-25,7.066178571,0.719182872
37,lSomMotA_1,-4.257222388,-0.179286684,-0.066246662,2.07E-05,9.487841586,0.486513699
38,lSomMotA_2,-2.218650605,-0.186493119,-0.01154528,0.026510504,27.58716558,0.002101233
39,lSomMotB_Aud_1,-6.203513794,-0.173024006,-0.089941568,5.52E-10,5.119077076,0.883082824
40,lSomMotB_Cent_1,-6.227347977,-0.15874578,-0.082741344,4.74E-10,3.088807872,0.979256118
41,lSomMotB_S2_1,-8.804979041,-0.206410473,-0.131248516,1.31E-18,7.166957913,0.7095947
42,lSomMotB_S2_2,-8.028058594,-0.223535044,-0.13580584,9.90E-16,10.71935742,0.379796574
43,lTempPar_1,-7.172856189,-0.1767801,-0.100903728,7.34E-13,2.861985166,0.984487887
44,lVisCent_ExStr_1,-5.78476566,-0.203929375,-0.100712285,7.26E-09,7.161438808,0.710121313
45,lVisCent_ExStr_2,-5.528466628,-0.145637394,-0.069401381,3.23E-08,1.78409139,0.997743082
46,lVisCent_ExStr_3,-6.371415639,-0.159192647,-0.084292242,1.87E-10,4.727073435,0.908648387
47,lVisCent_Striate_1,-2.390932642,-0.178907755,-0.017721321,0.016805636,22.14360723,0.014389495
48,lVisPeri_ExStrInf_1,-2.052983048,-0.197159542,-0.004570107,0.040074222,39.46827223,2.10E-05
49,lVisPeri_ExStrSup_1,-2.912739178,-0.149694711,-0.029270284,0.003582737,11.9266615,0.289994771
50,lVisPeri_StriCal_1,-4.283738841,-0.156563989,-0.058269824,1.84E-05,7.383511246,0.688810538
51,rContA_IPS_1,-4.116630388,-0.124688872,-0.044253785,3.84E-05,2.06962741,0.995778113
52,rContA_PFCl_1,-5.785530617,-0.243827934,-0.120428721,7.23E-09,10.24158797,0.419559861
53,rContA_PFCl_2,-7.42125765,-0.17540859,-0.1021144,1.16E-13,5.372670019,0.864934718
54,rContB_IPL_1,-5.900719078,-0.152983298,-0.076694316,3.62E-09,1.427333978,0.999144351
55,rContB_PFCld_1,-1.560422499,-0.086248149,0.009788617,0.118660072,8.11729113,0.617381168
56,rContB_PFClv_1,-7.567988687,-0.188949635,-0.111213212,3.79E-14,4.584468333,0.917154517
57,rContB_Temp_1,-4.701496387,-0.127351165,-0.052411532,2.58E-06,3.638934315,0.962169063
58,rContC_Cingp_1,-4.242052695,-0.122278107,-0.044993347,2.21E-05,3.876121517,0.952762345
59,rContC_pCun_1,-5.91988465,-0.149813851,-0.075287101,3.22E-09,2.182530998,0.99474004
60,rDefaultA_IPL_1,-5.785662879,-0.151465375,-0.074811365,7.22E-09,1.504475264,0.99892132
61,rDefaultA_pCunPCC_1,-6.756942872,-0.16778207,-0.092331725,1.41E-11,6.983274061,0.727023036
62,rDefaultA_PFCd_1,-7.036741081,-0.172117204,-0.097124522,1.97E-12,4.590371984,0.916811047
63,rDefaultA_PFCm_1,-9.532426072,-0.223635996,-0.147356215,1.54E-21,5.01145937,0.890411208
64,rDefaultB_PFCd_1,-9.288137478,-0.217216778,-0.141517414,1.57E-20,3.980248615,0.948233603
65,rDefaultB_PFCv_1,-11.9018153,-0.265920142,-0.190721441,1.16E-32,4.735103248,0.908156522
66,rDefaultB_PFCv_2,-8.547543766,-0.229127837,-0.143649468,1.26E-17,4.92104141,0.896389679
67,rDefaultC_PHC_1,-4.642952305,-0.175845608,-0.071452021,3.43E-06,10.76826483,0.375855114
68,rDefaultC_Rsp_1,-5.561757716,-0.143588017,-0.068757452,2.67E-08,3.210825643,0.976018094
69,rDorsAttnA_ParOcc_1,-6.22268738,-0.160158236,-0.083433869,4.89E-10,2.204512083,0.994518758
70,rDorsAttnA_SPL_1,-5.582938362,-0.156767878,-0.075298072,2.36E-08,5.490156574,0.856127433
71,rDorsAttnA_TempOcc_1,-6.599553744,-0.166663623,-0.090338131,4.12E-11,4.347076078,0.930334554
72,rDorsAttnB_FEF_1,-6.299362676,-0.157565417,-0.082783887,2.99E-10,2.633519838,0.988783892
73,rDorsAttnB_PostC_1,-5.503360685,-0.143318246,-0.068043858,3.73E-08,4.845846723,0.901234722
74,rDorsAttnB_PostC_2,-4.551522341,-0.127159417,-0.05060919,5.33E-06,2.312484948,0.993335767
75,rLimbicA_TempPole_1,-7.528323721,-0.180165631,-0.105733203,5.14E-14,7.282414335,0.698541339
76,rLimbicB_OFC_1,-8.323933415,-0.198495915,-0.122834941,8.51E-17,3.474933035,0.967942663
77,rSalVentAttnA_FrMed_1,-8.188858148,-0.202016028,-0.123988424,2.64E-16,5.98294282,0.816694272
78,rSalVentAttnA_Ins_1,-13.36922906,-0.290759344,-0.216407375,9.15E-41,3.430983905,0.96938996
79,rSalVentAttnA_ParMed_1,-4.852425582,-0.131178221,-0.055696751,1.22E-06,7.377367522,0.689403132
80,rSalVentAttnA_ParOper_1,-5.019456795,-0.185999863,-0.081534738,5.18E-07,8.34719661,0.594963228
81,rSalVentAttnB_IPL_1,-2.787862615,-0.093803808,-0.016356967,0.005305704,4.558480491,0.918657487
82,rSalVentAttnB_PFCl_1,-8.893055402,-0.207640772,-0.132644419,5.95E-19,6.442226181,0.77684259
83,rSalVentAttnB_PFCmp_1,-8.230936564,-0.210907854,-0.129782188,1.86E-16,6.913479328,0.733587015
