Scan,PrincipalComponent,Eigenvalue,CumulativeVariance
NB,1,8.5,47.3
NB,2,2.4,60.9
NB,3,1.6,69.7
NB,4,1.3,77.1
NB,5,1.3,84.1
NB,6,1.0,89.8
NB,7,0.7,93.8
NB,8,0.5,96.5
NB,9,0.1,97.3
NB,10,0.1,97.9
NB,11,0.1,98.4
NB,12,0.1,98.8
RS,1,8.7,48.5
RS,2,2.5,62.1
RS,3,1.6,70.7
RS,4,1.3,77.8
RS,5,1.1,83.6
RS,6,1.0,89.1
RS,7,0.7,92.9
RS,8,0.5,95.7
RS,9,0.2,96.8
RS,10,0.1,97.5
RS,11,0.1,98.1
RS,12,0.1,98.6
FI,1,8.3,46.0
FI,2,2.7,61.1
FI,3,1.7,70.5
FI,4,1.5,78.8
FI,5,1.1,84.7
FI,6,1.0,90.0
FI,7,0.5,93.0
FI,8,0.5,95.9
FI,9,0.2,97.0
FI,10,0.1,97.7
FI,11,0.1,98.3
FI,12,0.1,98.7
