MotionParameter,NB PC1,NB PC2,NB PC3,NB PC4,NB PC5,FI PC1,FI PC2,FI PC3,FI PC4,FI PC5,RS PC1,RS PC2,RS PC3,RS PC4,RS PC5
01.max_rZ,0.04,0.03,0.85,0.07,-0.02,0.1,0.85,-0.07,0.05,0.15,-0.02,0.07,0.87,0.15,0
02.mean_rZ,-0.08,0.03,0.88,0.08,-0.04,-0.07,0.9,-0.11,0.01,0.14,-0.01,-0.08,0.91,0.06,-0.02
03.max_rY,0.07,-0.03,0.06,-0.02,0.94,0.13,0.03,0.04,0.91,0.01,0.01,0.05,0.12,0.17,0.85
04.mean_rY,-0.07,-0.05,0.02,0,0.99,-0.05,0.03,0.04,0.97,-0.04,-0.02,-0.04,0.08,0.09,0.93
05.max_rX,0.23,0.3,-0.07,0.43,0.19,0.2,0.02,0.02,0.05,0.85,0.05,0.19,0.03,0.8,0.15
06.mean_rX,0,0.31,-0.09,0.51,0.17,-0.1,0.05,0.12,-0.03,0.93,0.17,-0.05,-0.03,0.8,0.19
07.max_Z,0.22,0.88,0.01,-0.1,0.02,0.27,-0.07,0.71,0.13,0.12,0.65,0.22,0.06,0.3,-0.11
08.mean_Z,-0.06,1,-0.03,-0.08,0,-0.15,-0.08,0.95,0.1,0.1,0.86,-0.07,0.04,0.2,-0.14
09.max_Y,0.28,-0.04,0.05,0.78,-0.02,0.62,0.01,0.33,-0.07,0.04,0.6,0.3,0.01,-0.04,0.13
10.mean_Y,-0.08,-0.06,0.06,0.96,-0.02,0.35,0.07,0.47,-0.16,-0.03,0.77,0.05,-0.09,-0.23,0.23
11.max_X,0.11,0.02,0.84,-0.07,0.09,0.1,0.87,0.12,0.03,-0.1,0.05,0.14,0.82,-0.12,0.1
12.mean_X,-0.01,-0.01,0.87,-0.09,0.08,-0.07,0.93,0.09,-0.01,-0.11,0.06,-0.04,0.89,-0.19,0.09
13.max_FD,0.77,0.16,0.01,0.03,0.11,0.81,0,-0.05,0.09,0.25,0.01,0.75,0.12,0.29,-0.02
14.mean_FD,0.95,-0.05,0.06,0.04,-0.01,0.91,0.07,-0.03,0.05,-0.01,0.01,0.93,0,-0.07,0.06
15.max_eu_rel,0.83,0.15,-0.02,0,0.08,0.86,-0.03,0.01,0.07,0.11,0.08,0.78,0.07,0.22,-0.07
16.mean_eu_rel,0.97,-0.07,0.02,0.01,-0.07,0.94,0.03,-0.01,0.02,-0.11,0.02,0.94,-0.04,-0.15,0.02
17.max_eu,0.18,0.72,0.16,0.14,-0.01,0.29,0.07,0.68,0.09,0.11,0.69,0.2,0.15,0.2,-0.05
18.mean_eu,-0.09,0.79,0.21,0.24,0,-0.08,0.22,0.88,0.04,0.06,0.9,-0.09,0.19,0.07,-0.03
