MotionParameter,Scan,PC,Loadings
10.mean_Y,RS,PC4,-0.23
12.mean_X,RS,PC4,-0.19
10.mean_Y,FI,PC4,-0.16
16.mean_eu_rel,RS,PC4,-0.15
08.mean_Z,FI,PC1,-0.15
08.mean_Z,RS,PC5,-0.14
11.max_X,RS,PC4,-0.12
02.mean_rZ,FI,PC3,-0.11
07.max_Z,RS,PC5,-0.11
16.mean_eu_rel,FI,PC5,-0.11
12.mean_X,FI,PC5,-0.11
07.max_Z,NB,PC4,-0.10
06.mean_rX,FI,PC1,-0.10
11.max_X,FI,PC5,-0.10
18.mean_eu,RS,PC2,-0.09
18.mean_eu,NB,PC1,-0.09
12.mean_X,NB,PC4,-0.09
10.mean_Y,RS,PC3,-0.09
06.mean_rX,NB,PC3,-0.09
18.mean_eu,FI,PC1,-0.08
02.mean_rZ,NB,PC1,-0.08
08.mean_Z,NB,PC4,-0.08
08.mean_Z,FI,PC2,-0.08
10.mean_Y,NB,PC1,-0.08
02.mean_rZ,RS,PC2,-0.08
11.max_X,NB,PC4,-0.07
07.max_Z,FI,PC2,-0.07
14.mean_FD,RS,PC4,-0.07
01.max_rZ,FI,PC3,-0.07
16.mean_eu_rel,NB,PC2,-0.07
15.max_eu_rel,RS,PC5,-0.07
08.mean_Z,RS,PC2,-0.07
04.mean_rY,NB,PC1,-0.07
12.mean_X,FI,PC1,-0.07
09.max_Y,FI,PC4,-0.07
02.mean_rZ,FI,PC1,-0.07
16.mean_eu_rel,NB,PC5,-0.07
05.max_rX,NB,PC3,-0.07
10.mean_Y,NB,PC2,-0.06
08.mean_Z,NB,PC1,-0.06
13.max_FD,FI,PC3,-0.05
14.mean_FD,NB,PC2,-0.05
06.mean_rX,RS,PC2,-0.05
04.mean_rY,FI,PC1,-0.05
17.max_eu,RS,PC5,-0.05
04.mean_rY,NB,PC2,-0.05
09.max_Y,NB,PC2,-0.04
09.max_Y,RS,PC4,-0.04
04.mean_rY,RS,PC2,-0.04
02.mean_rZ,NB,PC5,-0.04
16.mean_eu_rel,RS,PC3,-0.04
12.mean_X,RS,PC2,-0.04
04.mean_rY,FI,PC5,-0.04
10.mean_Y,FI,PC5,-0.03
14.mean_FD,FI,PC3,-0.03
06.mean_rX,RS,PC3,-0.03
18.mean_eu,RS,PC5,-0.03
06.mean_rX,FI,PC4,-0.03
15.max_eu_rel,FI,PC2,-0.03
03.max_rY,NB,PC2,-0.03
08.mean_Z,NB,PC3,-0.03
13.max_FD,RS,PC5,-0.02
09.max_Y,NB,PC5,-0.02
15.max_eu_rel,NB,PC3,-0.02
04.mean_rY,RS,PC1,-0.02
01.max_rZ,NB,PC5,-0.02
02.mean_rZ,RS,PC5,-0.02
10.mean_Y,NB,PC5,-0.02
01.max_rZ,RS,PC1,-0.02
03.max_rY,NB,PC4,-0.02
02.mean_rZ,RS,PC1,-0.01
14.mean_FD,NB,PC5,-0.01
12.mean_X,NB,PC2,-0.01
14.mean_FD,FI,PC5,-0.01
17.max_eu,NB,PC5,-0.01
12.mean_X,FI,PC4,-0.01
16.mean_eu_rel,FI,PC3,-0.01
12.mean_X,NB,PC1,-0.01
18.mean_eu,NB,PC5,-0.00
01.max_rZ,RS,PC5,-0.00
04.mean_rY,NB,PC4,0.00
15.max_eu_rel,NB,PC4,0.00
13.max_FD,FI,PC2,0.00
14.mean_FD,RS,PC3,0.00
06.mean_rX,NB,PC1,0.00
08.mean_Z,NB,PC5,0.00
14.mean_FD,RS,PC1,0.01
15.max_eu_rel,FI,PC3,0.01
09.max_Y,FI,PC2,0.01
03.max_rY,FI,PC5,0.01
13.max_FD,RS,PC1,0.01
07.max_Z,NB,PC3,0.01
