MotionParameter,NB PC1,NB PC2,NB PC3,NB PC4,NB PC5,FE PC1,FE PC2,FE PC3,FE PC4,FE PC5,FI PC1,FI PC2,FI PC3,FI PC4,FI PC5
01.max_rZ,0.17,0.86,-0.1,0.12,-0.02,0.22,-0.06,0.76,0.11,-0.05,0.19,-0.03,0.81,-0.04,0.15
02.mean_rZ,0.01,0.94,-0.14,0.16,-0.07,-0.06,-0.02,0.87,0.1,-0.06,-0.04,-0.05,0.87,-0.04,0.14
03.max_rY,0.11,0.03,0,0.03,0.9,0.18,-0.09,0.12,0.84,0.03,0.16,0.01,0.02,0.88,0.04
04.mean_rY,-0.05,-0.01,-0.02,0.05,0.99,-0.09,-0.05,0.1,0.93,0.06,-0.04,0.01,0.02,0.98,-0.05
05.max_rX,0.28,0.02,-0.01,0.67,0.16,0.36,0.38,-0.04,0.38,-0.4,0.23,0.08,0.04,0.04,0.79
06.mean_rX,-0.01,0.03,-0.01,0.84,0.16,0.06,0.51,-0.01,0.44,-0.42,-0.04,0.07,0.06,-0.01,0.93
07.max_Z,0.33,0,0.72,0.04,0.01,0.35,0.73,0.03,-0.1,-0.04,0.25,0.71,-0.11,0.09,0.17
08.mean_Z,0.02,-0.05,0.92,0.05,0.04,-0.03,0.95,0.06,-0.04,0.01,-0.18,0.94,-0.04,0.11,0.16
09.max_Y,0.37,0.03,0.16,0.54,-0.03,0.59,0.15,-0.07,0.2,0.45,0.71,0.37,0.02,-0.06,-0.11
10.mean_Y,-0.07,0.05,0.23,0.79,-0.04,0.11,0.38,-0.04,0.35,0.56,0.24,0.65,0.07,-0.11,-0.11
11.max_X,0.07,0.76,0.21,-0.16,0.16,0.17,0.05,0.84,-0.05,0.04,0.11,0.07,0.84,0.06,-0.08
12.mean_X,-0.12,0.81,0.22,-0.16,0.16,-0.1,0.12,0.9,-0.02,0.04,-0.12,0.06,0.91,0.09,-0.09
13.max_FD,0.89,0.01,-0.01,0.07,0.05,0.88,0.02,0.05,0.06,-0.03,0.84,0,0.02,0.09,0.15
14.mean_FD,0.85,0.1,0.04,0.01,0.08,0.87,-0.02,0.12,0.07,-0.06,0.85,-0.04,0.09,0.08,0.1
15.max_eu_rel,0.95,-0.03,0.03,0.02,-0.01,0.94,0.05,-0.01,-0.05,0.04,0.89,0.03,-0.04,0.06,0.05
16.mean_eu_rel,0.9,0.04,0.06,-0.05,0.01,0.91,0,0.09,-0.04,0,0.91,-0.03,0.06,0.06,0.01
17.max_eu,0.3,0.14,0.58,0.2,0.02,0.42,0.59,0.13,-0.05,0.11,0.34,0.65,0.08,0.07,0.06
18.mean_eu,-0.05,0.21,0.7,0.3,0.06,-0.05,0.83,0.27,0.04,0.16,-0.11,0.86,0.26,0.06,0.06
