Scan,PrincipalComponent,Eigenvalue,CumulativeVariance
NB,1,10.94,60.79
NB,2,2.12,72.58
NB,3,1.16,79.05
NB,4,0.94,84.26
NB,5,0.89,89.23
NB,6,0.61,92.63
NB,7,0.45,95.12
NB,8,0.36,97.15
NB,9,0.14,97.93
NB,10,0.10,98.48
NB,11,0.07,98.89
NB,12,0.06,99.22
RS,1,9.35,51.92
RS,2,2.57,66.19
RS,3,1.52,74.64
RS,4,1.22,81.42
RS,5,1.05,87.28
RS,6,0.97,92.66
RS,7,0.41,94.91
RS,8,0.37,96.99
RS,9,0.16,97.90
RS,10,0.09,98.40
RS,11,0.07,98.76
RS,12,0.06,99.11
FI,1,10.53,58.52
FI,2,2.37,71.70
FI,3,1.34,79.13
FI,4,0.98,84.58
FI,5,0.85,89.30
FI,6,0.61,92.66
FI,7,0.39,94.82
FI,8,0.34,96.73
FI,9,0.19,97.77
FI,10,0.11,98.36
FI,11,0.09,98.85
FI,12,0.06,99.18
