MotionParameter,FI PC1,FI PC2,FI PC3,FI PC4,FI PC5,NB PC1,NB PC2,NB PC3,NB PC4,NB PC5,RS PC1,RS PC2,RS PC3,RS PC4,RS PC5
01.max_rZ,0.29,0.84,0.12,0.21,0.14,-0.06,0.13,0.86,0.02,0.08,-0.08,0.13,0.89,0.04,0.07
02.mean_rZ,0.02,0.89,0.12,0.18,0.13,-0.02,-0.03,0.95,-0.04,0.05,-0.08,-0.08,0.95,0.05,0.03
03.max_rY,0.33,0.32,0.21,0.22,0.8,0.01,0.1,0.07,0.87,0.01,0.01,0.09,0.05,0.89,0.05
04.mean_rY,0.11,0.31,0.23,0.13,0.88,-0.03,-0.09,-0.04,1.05,-0.01,0.02,-0.04,0,0.98,0.01
05.max_rX,0.49,0.16,0.31,0.6,0.26,0.11,0.45,0.12,0.09,0.55,-0.04,0.25,0.01,0,0.87
06.mean_rX,0.18,0.17,0.39,0.66,0.29,0.25,0.11,0.14,0.1,0.68,0.09,-0.16,0.02,0.04,0.97
07.max_Z,0.48,0.15,0.77,0.27,0.18,0.7,0.27,-0.06,0.06,0.19,0.66,0.29,-0.05,0.18,0
08.mean_Z,0.24,0.12,0.87,0.27,0.2,0.94,-0.09,-0.03,0.03,0.21,0.87,-0.04,-0.05,0.16,0
09.max_Y,0.45,0.2,0.25,0.75,0.09,0.59,0.38,0.07,0.08,-0.26,0.7,0.22,-0.01,-0.1,0.08
10.mean_Y,0.21,0.18,0.28,0.85,0.05,0.79,0.11,0.05,0.04,-0.33,0.83,-0.06,0.01,-0.12,0.07
11.max_X,0.28,0.85,0.2,0.09,0.22,0.04,0.08,0.84,0.08,-0.03,0.1,0.1,0.88,-0.01,-0.01
12.mean_X,0.06,0.9,0.16,0.08,0.18,0.05,-0.09,0.94,0.03,-0.08,0.1,-0.07,0.94,-0.03,-0.05
13.max_FD,0.82,0.18,0.32,0.23,0.12,0.04,0.85,0.03,0.06,0.04,-0.07,0.92,0,0.06,0.09
14.mean_FD,0.87,0.19,0.12,0.27,0.2,-0.07,0.89,0.12,0.04,0.05,0.08,0.84,0.1,0,0.05
15.max_eu_rel,0.83,0.13,0.4,0.16,0.07,0.13,0.87,-0.06,0.03,0,0.03,0.92,-0.05,0.08,-0.01
16.mean_eu_rel,0.89,0.13,0.18,0.22,0.14,-0.01,0.92,0.05,-0.01,0,0.14,0.86,0.06,-0.03,-0.03
17.max_eu,0.45,0.27,0.74,0.32,0.17,0.69,0.27,0.06,0.05,0.13,0.67,0.25,0.12,0.13,0.03
18.mean_eu,0.22,0.34,0.78,0.4,0.18,0.9,-0.09,0.17,0.04,0.12,0.86,-0.07,0.2,0.08,0.03
